        tauB               sizeBin             clust_size          interface_id       press_align_bub1     press_align_bub2     press_align_bub3     press_align_bub4     press_align_bub5  
        0.00               5.025009                10                   1                   nan                0.000000             0.000000             0.000000             0.000000      
        0.10               5.025009               3045                  1                   nan                0.000000             0.000000             0.000000             0.000000      
        0.20               5.025009               3319                  1                190.912844            0.000000             0.000000             0.000000             0.000000      
        0.30               5.025009               2056                  1                60.673357             0.000000             0.000000             0.000000             0.000000      
        0.40               5.025009               4037                  1                358.993853            0.000000             0.000000             0.000000             0.000000      
        0.50               5.025009               3458                  1                299.351574            0.000000             0.000000             0.000000             0.000000      
        0.60               5.025009               4611                  1                100.574502              nan                0.000000             0.000000             0.000000      
        0.70               5.025009               2457                  1               -133.920201              nan                0.000000             0.000000             0.000000      
        0.80               5.025009               3668                  1                -89.242455              nan                0.000000             0.000000             0.000000      
        0.90               5.025009               4023                  1                51.153880               nan                0.000000             0.000000             0.000000      
        1.00               5.025009               5248                  1                610.460225              nan                0.000000             0.000000             0.000000      
        1.10               5.025009               6370                  1               -147.282009            0.000000             0.000000             0.000000             0.000000      
        1.20               5.025009              12129                  1               -4616.486064           0.000000             0.000000             0.000000             0.000000      
        1.30               5.025009              13665                  1               1636.682428            0.000000             0.000000             0.000000             0.000000      
        1.40               5.025009              15475                  1               6967.152324          -217.673212           34.211333             0.000000             0.000000      
        1.50               5.025009              17196                  2               16130.477689         5726.509806           188.816563           -56.421292            0.000000      
        1.60               5.025009              18973                  1               1967.559418          5126.066415          5171.750397          -176.784919            0.000000      
        1.70               5.025009              20301                  4               7717.986943          6616.900589          5419.536087          5386.598449            0.000000      
        1.80               5.025009              27392                  4               7625.532026          5117.191989          4687.289165          5056.955949           453.314603     
        1.90               5.025009              22697                  4               9214.856987          10681.330326         5010.534254          4004.811145            0.000000      
        2.00               5.025009              29549                  5               8538.429054          10182.696121         4626.687851          3854.766561            0.000000      
        2.10               5.025009              30486                  4               8049.633182          13747.626735         4218.341814          3845.967795            0.000000      
        2.20               5.025009              30856                  4               4342.180855          2060.815959          4182.154665          3311.553580            0.000000      
        2.30               5.025009              31056                  4               4213.317384          5914.686264          2659.444260          3309.914988            0.000000      
        2.40               5.025009              31457                  4               3915.882652          6019.091280          3321.768230          3409.302131            0.000000      
        2.50               5.025009              31862                  4               4009.675743          7078.166833          2938.766426          3344.378568            0.000000      
        2.60               5.025009              31788                  4                263.277938          7001.883852          3344.267289          3331.170234            0.000000      
        2.70               5.025009              31790                  4               3612.439291          6242.772105          3419.834014          3127.242409            0.000000      
        2.80               5.025009              31934                  4               3372.254622          3378.029087          3186.326938          3247.176576           863.366472     
        2.90               5.025009              31790                  4               3390.406664          2371.778480          3382.507292          2898.153782            0.000000      
        3.00               5.025009              31582                  4               3273.586657          2250.138070          3193.945673          3048.298472          1472.257261     
        3.10               5.025009              31052                  4               3151.340756          3383.904178          2971.244302          2889.991295           734.002643     
        3.20               5.025009              30921                  4               3663.009705          3651.332901          3293.235592          1525.982218           364.668229     
        3.30               5.025009              31114                  3               3588.328341          3333.733470           997.348203          3138.262221          3123.398179     
        3.40               5.025009              31420                  3               3753.749362          3529.851139          3542.875518          3428.520555          2906.299139     
        3.50               5.025009              31776                  3               3570.821219          6910.674891          3668.395205          3526.539024            0.000000      
        3.60               5.025009              32093                  3               3176.548914          4613.322290          3459.024711          3262.814174            0.000000      
        3.70               5.025009              32337                  1               3334.682464          1845.933441          3277.601192          2918.416090            0.000000      
        3.80               5.025009              32380                  3               3276.886277          4395.820149          3269.868217          2939.650292            0.000000      
        3.90               5.025009              32430                  3               3395.420536          5485.456384          3239.520843          3949.153003            0.000000      
        4.00               5.025009              32656                  3               3346.706124          6824.628785          3336.615629          3135.527628            0.000000      
        4.10               5.025009              32917                  3               3511.908364          6622.954630          3324.686900          2846.185170            0.000000      
        4.20               5.025009              33100                  3               3026.406317          6466.092524          3057.974567          8475.896559            0.000000      
        4.30               5.025009              33267                  2               3245.117474          3703.969297          7875.006369            0.000000             0.000000      
        4.40               5.025009              33678                  3               3413.939589          6004.875318          3423.920216          7990.988515           46.206640      
        4.50               5.025009              33875                  3               3472.907690          4220.961582          3469.884514          6850.690191            0.000000      
        4.60               5.025009              34096                  3               3358.665810          6435.410893          3246.915801          5232.413923            0.000000      
        4.70               5.025009              34436                  3               3489.570881          6213.387041          2926.948649          1360.652932            0.000000      
        4.80               5.025009              34516                  3               3486.510757          6015.822660           692.724543            0.000000             0.000000      
        4.90               5.025009              34735                  2               3243.395669          4039.441420            0.000000             0.000000             0.000000      
        5.00               5.025009              35042                  1               2042.732685          3307.436327            0.000000             0.000000             0.000000      
        5.10               5.025009              35323                  3               3262.387237          5928.402053          3393.581386            0.000000             0.000000      
        5.20               5.025009              35695                  2               3459.018905          7611.233116            0.000000             0.000000             0.000000      
        5.30               5.025009              36078                  1               2170.302495          3418.695161            0.000000             0.000000             0.000000      
        5.40               5.025009              36602                  3               3322.536691          7264.741853          3374.154236            0.000000             0.000000      
        5.50               5.025009              37156                  1               8042.522460            0.000000             0.000000             0.000000             0.000000      
        5.60               5.025009              37421                  3               3258.554498          6369.361595          3357.405333            0.000000             0.000000      
        5.70               5.025009              37820                  2               3052.701551          7251.911307            0.000000             0.000000             0.000000      
        5.80               5.025009              38115                  1               1929.655222          3405.343997            0.000000             0.000000             0.000000      
        5.90               5.025009              38267                  3               3079.437830          7083.356236            0.000000             0.000000             0.000000      
        6.00               5.025009              38550                  2               3075.728662          6801.874279            0.000000             0.000000             0.000000      
        6.10               5.025009              38388                  3               3089.506589          6302.604528          3257.141372            0.000000             0.000000      
        6.20               5.025009              38397                  1               7684.208819            0.000000             0.000000             0.000000             0.000000      
        6.30               5.025009              38790                  1               6064.187473            0.000000             0.000000             0.000000             0.000000      
        6.40               5.025009              38888                  2               6685.830945          3778.974067            0.000000             0.000000             0.000000      
        6.50               5.025009              38845                  1               6267.960763            0.000000             0.000000             0.000000             0.000000      
        6.60               5.025009              39091                  2               3207.121403          5572.152848            0.000000             0.000000             0.000000      
        6.70               5.025009              39100                  2               3282.073492          5075.174025            0.000000             0.000000             0.000000      
        6.80               5.025009              39049                  2               3274.435516          3880.506734            0.000000             0.000000             0.000000      
        6.90               5.025009              38992                  2               3182.209897          6486.442827            0.000000             0.000000             0.000000      
        7.00               5.025009              39225                  2               3358.631242          2196.530593            0.000000             0.000000             0.000000      
        7.10               5.025009              40935                  2               5048.600612          3386.488769            0.000000             0.000000             0.000000      
        7.20               5.025009              41115                  4               4998.002568          3329.704556          1726.499991            0.000000             0.000000      
        7.30               5.025009              41361                  2               4750.284214          2987.773373            0.000000             0.000000             0.000000      
        7.40               5.025009              41529                  3               4966.576731          3152.460832          7795.161779            0.000000             0.000000      
        7.50               5.025009              41575                  4               5155.071528          3148.582195          5252.447449            0.000000             0.000000      
        7.60               5.025009              41539                  2               4621.010425          3377.888336            0.000000             0.000000             0.000000      
        7.70               5.025009              41808                  3               5117.606074          2928.788495          2636.667084            0.000000             0.000000      
        7.80               5.025009              42050                  2               3373.352416          3785.407451            0.000000             0.000000             0.000000      
        7.90               5.025009              42593                  2               3203.222187          4879.224902            0.000000             0.000000             0.000000      
        8.00               5.025009              42860                  2               3091.988316          4908.651940            0.000000             0.000000             0.000000      
        8.10               5.025009              43152                  2               3239.093278          5626.670824            0.000000             0.000000             0.000000      
        8.20               5.025009              43427                  2               3289.086084          5485.984621            0.000000             0.000000             0.000000      
        8.30               5.025009              43589                  2               3317.134576          3413.951190            0.000000             0.000000             0.000000      
        8.40               5.025009              43861                  2               3379.578413          5207.691248            0.000000             0.000000             0.000000      
        8.50               5.025009              44079                  2               3347.341586          4320.818707            0.000000             0.000000             0.000000      
        8.60               5.025009              44031                  2               3371.463572          4059.028639            0.000000             0.000000             0.000000      
        8.70               5.025009              44124                  2               3390.849435          4186.298299            0.000000             0.000000             0.000000      
        8.80               5.025009              44338                  3               3257.610857          4220.411284            0.000000             0.000000             0.000000      
        8.90               5.025009              44399                  2               2982.920139          4415.113350            0.000000             0.000000             0.000000      
        9.00               5.025009              44452                  2               2979.973374          4307.993090            0.000000             0.000000             0.000000      
        9.10               5.025009              44335                  2               3043.784141          -4228.170416           0.000000             0.000000             0.000000      
        9.20               5.025009              44312                  3               3108.290165          4256.802322            0.000000             0.000000             0.000000      
        9.30               5.025009              44356                  3               3068.953700          4694.051262            0.000000             0.000000             0.000000      
        9.40               5.025009              44451                  2               2916.933262          4638.292867            0.000000             0.000000             0.000000      
        9.50               5.025009              44274                  2               3193.801002          4450.404178            0.000000             0.000000             0.000000      
        9.60               5.025009              44202                  2               3292.682125          4686.645032            0.000000             0.000000             0.000000      
        9.70               5.025009              44289                  3               3335.000855          4431.271829            0.000000             0.000000             0.000000      
        9.80               5.025009              44467                  2               3310.089097          1922.270951            0.000000             0.000000             0.000000      
        9.90               5.025009              44612                  2               3298.421126          5201.674197            0.000000             0.000000             0.000000      
       10.00               5.025009              44759                  2               3387.722691          4892.815808            0.000000             0.000000             0.000000      
       10.10               5.025009              44965                  3               3392.740832          4839.961071            0.000000             0.000000             0.000000      
       10.20               5.025009              45162                  2               3194.384707          4271.206057            0.000000             0.000000             0.000000      
       10.30               5.025009              45490                  2               3134.627098          4643.157776            0.000000             0.000000             0.000000      
       10.40               5.025009              45763                  2               3135.313783          4826.716698            0.000000             0.000000             0.000000      
       10.50               5.025009              45823                  2               6465.251024          3120.294643            0.000000             0.000000             0.000000      
       10.60               5.025009              46051                  2               3044.636388          2964.165082            0.000000             0.000000             0.000000      
       10.70               5.025009              46104                  2               2966.167449          3019.949217            0.000000             0.000000             0.000000      
       10.80               5.025009              46277                  2               3221.936173          2916.811692            0.000000             0.000000             0.000000      
       10.90               5.025009              46607                  2               3148.967933          4551.729588            0.000000             0.000000             0.000000      
       11.00               5.025009              46860                  3               3059.496990          3275.602451            0.000000             0.000000             0.000000      
       11.10               5.025009              46843                  2               2909.421902          4550.043650            0.000000             0.000000             0.000000      
       11.20               5.025009              46755                  3               3077.469409          4719.115622          -179.083748            0.000000             0.000000      
       11.30               5.025009              46845                  3               3090.896984          2937.687719           -98.767505            0.000000             0.000000      
       11.40               5.025009              46901                  2               3157.851537          4583.868185            0.000000             0.000000             0.000000      
       11.50               5.025009              46969                  2               3164.328480          4623.474649            0.000000             0.000000             0.000000      
       11.60               5.025009              47119                  2               3229.645741          4803.418516            0.000000             0.000000             0.000000      
       11.70               5.025009              47438                  2               3319.188977          4672.331325            0.000000             0.000000             0.000000      
       11.80               5.025009              47495                  3               3392.110450          4203.229716            0.000000             0.000000             0.000000      
       11.90               5.025009              47668                  2               3148.094366          4095.628986            0.000000             0.000000             0.000000      
       12.00               5.025009              47425                  2               3145.005814          3890.211156            0.000000             0.000000             0.000000      
       12.10               5.025009              47275                  2               3330.504382          1619.946218            0.000000             0.000000             0.000000      
       12.20               5.025009              47145                  2               3208.591271          4171.474189            0.000000             0.000000             0.000000      
       12.30               5.025009              47077                  2               3199.431356          3477.025448            0.000000             0.000000             0.000000      
       12.40               5.025009              46981                  2               3125.622489          4161.235588            0.000000             0.000000             0.000000      
       12.50               5.025009              47048                  2               3215.878061          4078.118602            0.000000             0.000000             0.000000      
       12.60               5.025009              47291                  3               3157.002522          4008.145744            0.000000             0.000000             0.000000      
       12.70               5.025009              47513                  2               3084.789495          2984.993028            0.000000             0.000000             0.000000      
       12.80               5.025009              47601                  2               3023.056521          4230.955786            0.000000             0.000000             0.000000      
       12.90               5.025009              47608                  2               3177.217749          4183.937740            0.000000             0.000000             0.000000      
       13.00               5.025009              47540                  2               3220.028585          4442.028949            0.000000             0.000000             0.000000      
       13.10               5.025009              47933                  2               3092.976053          4123.278030            0.000000             0.000000             0.000000      
       13.20               5.025009              48298                  2               3207.646791          4434.253177            0.000000             0.000000             0.000000      
       13.30               5.025009              48436                  2               3184.050567          4535.466755            0.000000             0.000000             0.000000      
       13.40               5.025009              48652                  2               3192.867663          4181.150685            0.000000             0.000000             0.000000      
       13.50               5.025009              48862                  2               3392.954153          4098.687143            0.000000             0.000000             0.000000      
       13.60               5.025009              49138                  2               3216.141472          3934.361072            0.000000             0.000000             0.000000      
       13.70               5.025009              49410                  2               3148.624321          3708.003761            0.000000             0.000000             0.000000      
       13.80               5.025009              49773                  2               3228.244639          3705.163808            0.000000             0.000000             0.000000      
       13.90               5.025009              50201                  2               3096.128258          3671.924621            0.000000             0.000000             0.000000      
       14.00               5.025009              50354                  2               3103.140106          3568.949476            0.000000             0.000000             0.000000      
       14.10               5.025009              50520                  2               3021.934219          3710.495177            0.000000             0.000000             0.000000      
       14.20               5.025009              50813                  2               2975.922993          3839.188197            0.000000             0.000000             0.000000      
       14.30               5.025009              51073                  3               2956.922326          3878.733294           219.174757            0.000000             0.000000      
       14.40               5.025009              51107                  2               3062.923272          3716.207333            0.000000             0.000000             0.000000      
       14.50               5.025009              51216                  2               3150.816767          3479.500635            0.000000             0.000000             0.000000      
       14.60               5.025009              51396                  2               3274.736102          3575.913627            0.000000             0.000000             0.000000      
       14.70               5.025009              51684                  3               3136.076909          3617.602915            0.000000             0.000000             0.000000      
       14.80               5.025009              51971                  2               3163.239159          3778.734387            0.000000             0.000000             0.000000      
       14.90               5.025009              52307                  2               3384.858734          3575.722149            0.000000             0.000000             0.000000      
       15.00               5.025009              52583                  4               3405.106803          3416.136024          5700.543494          -147.503883            0.000000      
       15.10               5.025009              52942                  3               3367.459288          3618.962931            0.000000             0.000000             0.000000      
       15.20               5.025009              53197                  3               3543.913223           503.118669            0.000000             0.000000             0.000000      
       15.30               5.025009              53582                  2               3427.502946           -31.439689            0.000000             0.000000             0.000000      
       15.40               5.025009              54075                  4               3395.998747          3125.898221           96.903114             0.000000             0.000000      
       15.50               5.025009              54501                  2               3311.659169          3215.206647            0.000000             0.000000             0.000000      
       15.60               5.025009              54935                  2               3378.486523          2986.807889            0.000000             0.000000             0.000000      
       15.70               5.025009              55216                  2               3409.739160          2869.397899            0.000000             0.000000             0.000000      
       15.80               5.025009              55584                  2               3188.872854          2968.371481            0.000000             0.000000             0.000000      
       15.90               5.025009              55949                  2               3075.519271          2965.559691            0.000000             0.000000             0.000000      
       16.00               5.025009              55927                  2               3029.697025          2989.036953            0.000000             0.000000             0.000000      
       16.10               5.025009              56111                  2               3095.018305          2993.146749            0.000000             0.000000             0.000000      
       16.20               5.025009              56206                  2               3009.530782          3115.120363            0.000000             0.000000             0.000000      
       16.30               5.025009              56294                  2               2881.472117          3169.570899            0.000000             0.000000             0.000000      
       16.40               5.025009              56291                  2               3035.145375          3319.176249            0.000000             0.000000             0.000000      
       16.50               5.025009              56107                  3               3135.716899          3001.457485            0.000000             0.000000             0.000000      
       16.60               5.025009              56279                  2               3093.315743          2906.346059            0.000000             0.000000             0.000000      
       16.70               5.025009              56261                  2               3176.795146          2622.853488            0.000000             0.000000             0.000000      
       16.80               5.025009              56307                  2               3231.490389          2670.632163            0.000000             0.000000             0.000000      
       16.90               5.025009              56343                  2               3210.897411          2948.858865            0.000000             0.000000             0.000000      
       17.00               5.025009              56327                  2               2998.366799          2799.631104            0.000000             0.000000             0.000000      
       17.10               5.025009              56314                  2               3073.326514          3180.555820            0.000000             0.000000             0.000000      
       17.20               5.025009              56412                  2               2935.207946          3135.678881            0.000000             0.000000             0.000000      
       17.30               5.025009              56697                  2               3169.575384          3221.470620            0.000000             0.000000             0.000000      
       17.40               5.025009              56801                  1               6464.880766            0.000000             0.000000             0.000000             0.000000      
       17.50               5.025009              57059                  2               3167.184555          3211.662138            0.000000             0.000000             0.000000      
       17.60               5.025009              57299                  2               3085.887472          3222.284974            0.000000             0.000000             0.000000      
       17.70               5.025009              57586                  2               3048.253962          1319.129067            0.000000             0.000000             0.000000      
       17.80               5.025009              57556                  2               3092.258440          1150.980976            0.000000             0.000000             0.000000      
       17.90               5.025009              57636                  2               3044.322037          1437.898554            0.000000             0.000000             0.000000      
       18.00               5.025009              57699                  2               3229.142704          3400.379250            0.000000             0.000000             0.000000      
       18.10               5.025009              57744                  2               3104.211049          3140.730359            0.000000             0.000000             0.000000      
       18.20               5.025009              57999                  2               3073.586022          2935.829974            0.000000             0.000000             0.000000      
       18.30               5.025009              58315                  2               2984.775387          2894.707011            0.000000             0.000000             0.000000      
       18.40               5.025009              58193                  2               3001.312557          2987.025304            0.000000             0.000000             0.000000      
       18.50               5.025009              58341                  2               3040.967439          3112.838173            0.000000             0.000000             0.000000      
       18.60               5.025009              58479                  2               3038.774598          3015.252220            0.000000             0.000000             0.000000      
       18.70               5.025009              58442                  2               3067.971265          3108.257771            0.000000             0.000000             0.000000      
       18.80               5.025009              58560                  2               2910.851948          3120.213584            0.000000             0.000000             0.000000      
       18.90               5.025009              58493                  3               3116.159566          3267.273777            0.000000             0.000000             0.000000      
       19.00               5.025009              58422                  2               3094.261585          3131.003917            0.000000             0.000000             0.000000      
       19.10               5.025009              58644                  2               3168.562052          3187.902375            0.000000             0.000000             0.000000      
       19.20               5.025009              58977                  2               3151.445452          3174.362181            0.000000             0.000000             0.000000      
       19.30               5.025009              59027                  2               3326.897835          2988.992115            0.000000             0.000000             0.000000      
       19.40               5.025009              59324                  2               3140.223821          1214.764475            0.000000             0.000000             0.000000      
       19.50               5.025009              59469                  2               3138.913985          1328.559232            0.000000             0.000000             0.000000      
       19.60               5.025009              59674                  2               3178.886057          3022.260094            0.000000             0.000000             0.000000      
       19.70               5.025009              59955                  2               3186.962938          3053.267311            0.000000             0.000000             0.000000      
       19.80               5.025009              60086                  2               3055.539815          3219.592515            0.000000             0.000000             0.000000      
       19.90               5.025009              60277                  3               3236.024303          3247.259531            0.000000             0.000000             0.000000      
       20.00               5.025009              60514                  2               3161.760275          3170.920879            0.000000             0.000000             0.000000      
       20.10               5.025009              60866                  2               3132.928059          3213.459974            0.000000             0.000000             0.000000      
       20.20               5.025009              61025                  2               3142.327480          1990.672613            0.000000             0.000000             0.000000      
       20.30               5.025009              61289                  2               3193.626482          3058.429760            0.000000             0.000000             0.000000      
       20.40               5.025009              61565                  2               3079.757476          3019.625361            0.000000             0.000000             0.000000      
       20.50               5.025009              61737                  2               2439.992385          2782.529948            0.000000             0.000000             0.000000      
       20.60               5.025009              61635                  2               3101.108318          2856.102168            0.000000             0.000000             0.000000      
       20.70               5.025009              61625                  2               3199.193595          2660.251668            0.000000             0.000000             0.000000      
       20.80               5.025009              61687                  2               3138.638143          2699.950320            0.000000             0.000000             0.000000      
       20.90               5.025009              61781                  2               3077.662563          2880.986077            0.000000             0.000000             0.000000      
       21.00               5.025009              61980                  2               3011.809063          2847.930000            0.000000             0.000000             0.000000      
       21.10               5.025009              62134                  2               2958.908794          2994.996733            0.000000             0.000000             0.000000      
       21.20               5.025009              61979                  2               3107.589705          3044.257615            0.000000             0.000000             0.000000      
