      tauB          sizeBin        clust_size        int_id          bub_id            Na              Nb            radius        radius_err        sa_ext          sa_int        edge_width    edge_width_err       NBin     
      0.00          5.025009         84666             1               1             10886           10979         132.511403       2.619332       876.057247      785.635058      18.001566        6.507920          757      
      0.10          5.025009         84375             1               1             12977           13532         135.924523       5.473247       981.806248      780.322317      23.443712        9.900013          979      
      0.10          5.025009         84375             1               5              900             871          14.328483        4.280143       108.207043       0.000000       14.328483        4.280143           46      
      0.10          5.025009         84375             1               7              264             270           7.173406        1.075969       48.133498        0.000000        7.173406        1.075969           15      
      0.10          5.025009         84375             1               2              223             217           7.270405        3.749893       68.862793        0.000000        7.270405        3.749893           12      
      0.10          5.025009         84375             1               8              209             190           5.586960        1.146160       36.966942        0.000000        5.586960        1.146160           11      
      0.20          5.025009         82725             4               4             17745           18081         135.532369       6.508919       968.914622      883.123985      38.097772       23.300372          1197     
      0.20          5.025009         82725             4               9              4345            4151         28.604139       12.341983       237.838127       0.000000       28.604139       12.341983          215      
      0.20          5.025009         82725             4               7              1596            1474          9.467182        4.323993       77.596158        0.000000        9.467182        4.323993           77      
      0.20          5.025009         82725             4               11             317             317           7.653077        1.012899       50.160987        0.000000        7.653077        1.012899           16      
      0.20          5.025009         82725             4               13             261             217           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           13      
      0.30          5.025009         80863             3               3             32178           32417         136.357558       7.058208       203.875175     1110.027409      48.945476       22.265563          1974     
      0.30          5.025009         80863             3               17              92             111          13.511079        5.173555       108.966733       0.000000       13.511079        5.173555           40      
      0.30          5.025009         80863             3               12              92              81          14.868948        6.665307       144.985436       0.000000       14.868948        6.665307           39      
      0.30          5.025009         80863             3               5               61              67           9.114922        1.876673       64.051796        0.000000        9.114922        1.876673           28      
      0.30          5.025009         80863             3               11              57              66           9.250226        2.889331       71.811450        0.000000        9.250226        2.889331           21      
      0.40          5.025009         79634             3               3             31295           31918         132.644919      12.091719       558.470291     1091.157984      55.798405       28.923500          1908     
      0.40          5.025009         79634             3               8               55              83           8.998320        3.518013       67.209847        0.000000        8.998320        3.518013           23      
      0.40          5.025009         79634             3               12              63              52          10.139785        3.063470       72.886851        0.000000       10.139785        3.063470           23      
      0.50          5.025009         78862             6               6             28420           29697         129.258563      10.908457       883.323487     1025.092659      41.139181       30.638009          1678     
      0.50          5.025009         78862             6               13              58              68           9.273944        2.572479       67.694086        0.000000        9.273944        2.572479           21      
      0.60          5.025009         78339             6               6             28348           29975         126.731749       8.689838       525.877868     1005.147532      41.990974       25.457521          1669     
      0.60          5.025009         78339             6               2              149             144           9.912886        3.708878       79.141608        0.000000        9.912886        3.708878           54      
      0.60          5.025009         78339             6               7               68              63          15.815870        8.014716       139.894224       0.000000       15.815870        8.014716           26      
      0.60          5.025009         78339             6               5               66              59          10.504253        0.679931       67.927622        0.000000       10.504253        0.679931           26      
      0.60          5.025009         78339             6               8               91              29           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           12      
      0.70          5.025009         78009             6               6             26041           28733         124.987851      11.561424       802.675008      971.236365      44.959002       30.078679          1496     
      0.70          5.025009         78009             6               11             131              80          12.797541        2.232776       88.589360        0.000000       12.797541        2.232776           33      
      0.70          5.025009         78009             6               10              85              95          11.469193        2.310368       84.609316        0.000000       11.469193        2.310368           33      
      0.70          5.025009         78009             6               1               48              66           9.256931        1.139394       61.473717        0.000000        9.256931        1.139394           21      
      0.70          5.025009         78009             6               2               50              59          92.370274       52.559724      1322.421181       0.000000       92.370274       52.559724           20      
      0.80          5.025009         76940             6               6             27016           29864         118.916453      17.154616      1141.389988      941.492472      42.733962       45.852453          1553     
      0.80          5.025009         76940             6               15              64              79           7.843333        2.097970       54.180632        0.000000        7.843333        2.097970           26      
      0.80          5.025009         76940             6               9               85              46           9.831181        3.786246       80.259984        0.000000        9.831181        3.786246           17      
      0.80          5.025009         76940             6               17              44              60           4.173754        1.633777       35.350939        0.000000        4.173754        1.633777           19      
      0.90          5.025009         76069             5               5             26283           29262         123.127516       6.848547       759.817502      931.225720      38.430902       23.825414          1508     
      0.90          5.025009         76069             5               15             166             168          10.830303        2.586778       85.320574        0.000000       10.830303        2.586778           63      
      0.90          5.025009         76069             5               2              133             162          107.545901      56.297533       899.146290       0.000000       107.545901      56.297533           53      
      0.90          5.025009         76069             5               17             136              95           5.993169        2.813881       64.811503        0.000000        5.993169        2.813881           16      
      0.90          5.025009         76069             5               4               71             103           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           31      
      1.00          5.025009         76134             8               8             25133           28174         122.053516       5.094028      1136.693168      899.708024      46.158727       27.233804          1452     
      1.00          5.025009         76134             8               11             122             134          14.278473        5.540075       111.437305       0.000000       14.278473        5.540075           47      
      1.00          5.025009         76134             8               7               73              84          11.413937        3.806215       95.401669        0.000000       11.413937        3.806215           28      
      1.00          5.025009         76134             8               16              56              71          10.593996        3.505903       76.678032        0.000000       10.593996        3.505903           24      
      1.10          5.025009         75618             7               7             25735           29071         123.398572       8.094315      1148.704137      939.611952      48.930885       31.872004          1497     
      1.10          5.025009         75618             7               5               99              90          11.688326        1.597629       80.181406        0.000000       11.688326        1.597629           29      
      1.10          5.025009         75618             7               10              89             100          104.145110      56.644202       858.575169       0.000000       104.145110      56.644202           37      
      1.10          5.025009         75618             7               14              65              75          11.544280        4.160898       126.634292       0.000000       11.544280        4.160898           26      
      1.20          5.025009         75432             10              10            17603           21470         122.137315      10.104172       939.755791      809.077310      38.960606       29.219894          1086     
      1.20          5.025009         75432             10              14             6373            6567         49.887597        7.553516       357.662700      115.598039      32.575010        9.365284          322      
      1.20          5.025009         75432             10              1              210             177          18.415214        6.419030       226.109773       0.000000       18.415214        6.419030           63      
      1.20          5.025009         75432             10              20             110             101          14.893036        3.633607       128.280979       0.000000       14.893036        3.633607           44      
      1.20          5.025009         75432             10              17              47              66           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           19      
      1.30          5.025009         75312             12              12            23594           27565         122.147439      13.040417       926.641080      824.213590      49.458892       35.836529          1387     
      1.30          5.025009         75312             12              4              134             151           8.277442        1.876214       65.910166        0.000000        8.277442        1.876214           46      
      1.30          5.025009         75312             12              21             107             125          12.315423        4.340772       99.810730        0.000000       12.315423        4.340772           44      
      1.30          5.025009         75312             12              3              107             104          11.583749        3.559181       86.807552        0.000000       11.583749        3.559181           35      
      1.30          5.025009         75312             12              1               86             107           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           38      
      1.40          5.025009         74937             4               4             20532           25288         102.757570      16.095152       471.691370     1014.778085      28.763103       38.923628          1233     
      1.50          5.025009         74734             5               5             14726           19738         117.810057       6.411466       882.229742      667.511607      29.553654       15.097142          950      
      1.50          5.025009         74734             5               7              4543            4412         42.040453        4.901220       288.466237      111.762338      25.090060        7.271906          229      
      1.50          5.025009         74734             5               12              72              42           6.997514        0.441427       44.731927        0.000000        6.997514        0.441427           14      
      1.50          5.025009         74734             5               11              44              59          102.570193      60.109449       812.838830       0.000000       102.570193      60.109449           20      
      1.60          5.025009         73755             7               7             15129           20219         118.256410       7.568844       866.633436      638.085533      31.475688       15.559183          982      
      1.60          5.025009         73755             7               11             5027            4881         43.083913        6.184296       296.983859      90.721980       29.340481        8.349569          248      
      1.60          5.025009         73755             7               3               91              93          12.160988        3.307162       93.306697        0.000000       12.160988        3.307162           37      
      1.60          5.025009         73755             7               9               77             104          11.761941        5.373206       95.107442        0.000000       11.761941        5.373206           32      
      1.60          5.025009         73755             7               18              69              79           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           30      
