    Timestep        gasArea         gasSigXX        gasSigXY        gasSigYX        gasSigYY        gasTrace        bulkArea       bulkSigXX       bulkSigXY       bulkSigYX       bulkSigYY       bulkTrace         Length          NDense    
     0.400         120716.596     26237063.123      2110.344        2110.344      26212797.129    26227040.470      1566.748      1520993.921      14854.548       14854.548      1502702.504     1526702.761        2398.9           7932     
     0.900         127260.073     57360920.688     245740.962      245740.962     56968412.722    57410407.667      2238.392      12043822.706     43782.969       43782.969      11929973.660    12030681.152       358.4            5091     
     1.000         114877.588     27471003.229    -306310.250     -306310.250     26597058.356    26727720.542     10193.330      60012371.858    -348194.481     -348194.481     60138192.987    59727087.942       1498.9           6268     
     1.100         112550.823     29203965.470    -125248.132     -125248.132     29442333.503    29197901.355     12362.284      79907530.178    -216487.294     -216487.294     79879393.733    79676974.661       1502.3          13954     
     1.200         106537.591     15639449.891     46276.821       46276.821      15464084.102    15598043.818     17120.602     114669548.176    -1027071.907    -1027071.907   117731080.432   115173242.397       1819.1          12834     
     1.300         104623.659     14321145.345     11968.576       11968.576      14568626.492    14456854.495     19569.830     142134535.087    -214824.862     -214824.862    143820487.710   142762686.536       1621.4          14612     
     1.400         102131.508     14104358.503      1051.624        1051.624      14125563.238    14116012.495     22011.482     174000782.319    -143354.101     -143354.101    175441115.822   174577594.969       1645.0          16613     
     1.500         99752.980      13534661.538     94447.753       94447.753      13412836.168    13568196.606     24432.934     203682315.955     687064.213      687064.213    202051359.721   203553902.050       1616.9          18468     
     1.600         97382.027      13122019.004     153452.613      153452.613     13041682.914    13235303.572     26975.585     230271861.609     -93807.901      -93807.901    224407956.888   227246101.348       1543.8          20135     
     1.700         95213.072      12910734.378     215249.186      215249.186     13022383.281    13181808.015     29171.052     246877217.134    1893585.600     1893585.600    239234045.239   244949216.787       1539.3          21743     
     1.800         92987.306      13592120.880     245982.558      245982.558     13537214.902    13810650.450     31242.795     262768241.470    2603709.547     2603709.547    254151236.182   261063448.373       1557.3          38260     
     1.900         91522.819      13313777.926     513333.274      513333.274     13686581.366    14013512.920     32955.992     278805004.176    1110513.240     1110513.240    268668464.466   274847247.561       1515.7          40299     
     2.000         90005.308      11745230.426     355051.897      355051.897     11879208.649    12167271.434     34636.364     287035193.401     993761.421      993761.421    279190124.424   284106420.334       1448.3          57773     
     2.100         88688.533      10460369.075     104083.164      104083.164     10625422.486    10646978.945     36004.901     294683959.805    1084773.908     1084773.908    283072470.388   289962989.004       1433.7          59767     
     2.200         87622.993      8091379.388      85031.190       85031.190      8243979.229     8252710.499      37173.965     294432278.597     291679.495      291679.495    286542218.045   290778927.816       1425.9          61344     
     2.300         86481.704      6766563.796      78174.542       78174.542      6493422.740     6708167.809      38236.980     286606143.866    -596547.005     -596547.005    282142744.768   283777897.311       1416.9          62574     
     2.400         85714.111      4642146.924      86088.024       86088.024      4684978.499     4749650.736      39207.833     282795497.496    -2337272.643    -2337272.643   279739159.050   278930055.630       1368.6          63697     
     2.500         85127.054      2770301.803      55585.614       55585.614      2797717.071     2839595.052      39735.553     282866066.321    -2011020.340    -2011020.340   281308128.115   280076076.878       1380.9          64598     
     2.600         84609.434      1250122.911      -7507.626       -7507.626      1243140.373     1239124.016      40274.636     287241716.599    -2497890.365    -2497890.365   282450476.419   282348206.144       1391.0          65195     
     2.700         84040.052       608509.072      11379.897       11379.897       624172.664      627720.765      40849.068     287406834.681    -856268.932     -856268.932    281231276.041   283462786.430       1388.8          65900     
     2.800         83637.318       552292.835       4036.474        4036.474       542679.171      551522.477      41381.838     286560447.986     590486.945      590486.945    282719016.796   285230219.336       1329.2          66467     
     2.900         83099.498       500250.458       8814.423        8814.423       515195.928      516537.616      41662.110     284118427.746    1491408.727     1491408.727    283209304.799   285155275.000       1425.9          66909     
     3.000         83297.709       498674.006       8966.159        8966.159       490212.846      503409.585      41636.861     286768014.778    -994717.986     -994717.986    286007590.841   285393084.823       1375.3          67040     
     3.100         82929.062       481144.740      -10646.957      -10646.957      497108.305      478479.566      41794.672     288032702.910    -170495.270     -170495.270    285242153.850   286466933.110       1436.0          67207     
     3.200         82906.337       446693.228      -3183.268       -3183.268       433737.673      437032.182      42001.720     290263751.267    1647280.809     1647280.809    286748744.082   290153528.483       1374.2          67512     
     3.300         82763.676       446501.036       542.310         542.310        454447.971      451016.813      41965.108     288441350.742    -649967.155     -649967.155    286267400.742   286704408.587       1420.2          67757     
     3.400         82685.402       391546.413      -4285.372       -4285.372       402682.769      392829.219      42318.604     284171719.176    -2815993.585    -2815993.585   284615704.025   281577718.015       1339.3          67973     
     3.500         82493.504       405146.918       1847.496        1847.496       383338.799      396090.354      42510.503     281709402.698    -1472367.568    -1472367.568   280598253.643   279681460.603       1356.2          68194     
     3.600         82199.344       400578.355      -4074.756       -4074.756       387343.342      389886.092      42678.413     275189774.514     751830.436      751830.436    273491256.089   275092345.737       1373.0          68269     
     3.700         82235.956       392566.548       6483.574        6483.574       390552.194      398042.945      42567.315     273399774.097     369693.257      369693.257    274376305.491   274257733.050       1409.0          68354     
     3.800         82382.405       394717.603       311.507         311.507        426922.922      411131.770      42550.902     274256268.362    -642642.407     -642642.407    271304114.198   272137548.873       1386.5          68365     
     3.900         82353.368       413291.786      -4247.377       -4247.377       399340.896      402068.964      42555.952     270225322.887     777969.189      777969.189    269231819.509   270506540.387       1355.1          68090     
     4.000         82325.593       434373.382      -4121.699       -4121.699       427782.207      426956.095      42475.153     271727378.073    1793818.772     1793818.772    269347823.953   272331419.784       1400.0          68039     
     4.100         82583.140       430768.885      -4404.428       -4404.428       430131.037      426045.533      42251.692     277158781.871     899276.231      899276.231    275261056.900   277109195.616       1406.8          67946     
     4.200         82508.654       445172.254      -1469.680       -1469.680       434936.417      438584.656      42328.704     273957356.943    -383846.430     -383846.430    276477096.793   274833380.437       1387.7          68132     
     4.300         82446.792       414008.471      10912.841       10912.841       428298.082      432066.117      42408.241     273240712.631    1141682.518     1141682.518    279396765.589   277460421.627       1394.4          68412     
     4.400         82557.891       424652.674       6490.824        6490.824       432929.201      435281.761      42370.366     274964253.609    2003346.286     2003346.286    281338471.036   280154708.609       1383.2          68463     
     4.500         82764.939       427953.642       5812.322        5812.322       418160.822      428869.554      42449.903     277313073.086     179110.515      179110.515    281457104.752   279564199.434       1300.0          68634     
     4.600         82400.080       398003.393      -3292.055       -3292.055       400706.089      396062.686      42653.164     272342625.385    -177209.054     -177209.054    276713206.252   274350706.765       1345.0          87576     
     4.700         82567.991       422347.238       7869.614        7869.614       446109.736      442098.100      42659.476     267933066.684    -1388122.806    -1388122.806   274868182.092   270012501.581       1283.2          68769     
     4.800         82449.317       427214.795      -9933.120       -9933.120       437828.907      422588.731      42555.952     268559927.632    -2693204.527    -2693204.527   273408701.428   268291110.002       1362.9          87260     
     4.900         82458.154       424719.627      -6429.625       -6429.625       420547.117      416203.747      42553.427     271026076.715    -3048497.297    -3048497.297   272380261.293   268654671.707       1366.3          69157     
     5.000         82422.804       399390.341       4048.453        4048.453       425919.488      416703.368      42639.276     270054830.553    -2947317.859    -2947317.859   269171430.388   266665812.612       1346.1          87298     
     5.100         82525.066       422653.281       427.421         427.421        427407.912      425458.017      42672.101     269098692.898    -1613579.699    -1613579.699   270440668.290   268156100.896       1301.1          87290     
     5.200         82540.216       394716.323       1453.271        1453.271       411786.380      404704.622      42660.739     271669771.825    -1405254.147    -1405254.147   274256020.773   271557642.152       1323.6          87299     
     5.300         82894.975       424294.973      13111.384       13111.384       427725.605      439121.674      42447.378     277773840.590    -1875977.370    -1875977.370   281153447.052   277587666.451       1274.2          87174     
     5.400         82854.575       422860.225      -2492.577       -2492.577       424574.315      421224.692      42515.552     280395449.894    -1043169.169    -1043169.169   283693519.165   281001315.361       1262.9          87324     
