        tauB               sizeBin             clust_size           bulk_area            bulk_ndens         bulk_ndens_std          int_area            int_ndens          int_ndens_std           bub_area            bub_ndens          bub_ndens_std           gas_area            gas_ndens          gas_ndens_std    
        0.00               5.025009              84671             38456.839630           1.639448             0.062791           19670.307336           1.152041             0.581434             0.000000             0.000000             0.000000           72772.561927           0.196379             0.070318      
        0.10               5.025009              85189             38179.081761           1.655881             0.086376           20276.324506           1.096254             0.643206            707.020033            1.495007             0.049220           71737.282594           0.188117             0.090062      
        0.20               5.025009              84943             31512.892882           1.688960             0.087389           24392.191125           1.122777             0.622173           4216.869480            1.478111             0.113287           70777.755407           0.185878             0.089725      
        0.30               5.025009              84196             22321.632458           1.720349             0.085453           34795.485890           1.315429             0.524112           2020.057236            1.113830             0.682887           71762.533309           0.189207             0.096228      
        0.40               5.025009              83449             17094.734360           1.748316             0.089795           41764.683354           1.339313             0.538310            530.265024            0.196128             0.064063           71510.026155           0.196798             0.099159      
        0.50               5.025009              82630             15453.437855           1.776368             0.086506           40148.637566           1.418006             0.471758           1161.532911            0.222981             0.103258           74136.100561           0.207173             0.106969      
        0.60               5.025009              81646             17119.985075           1.783938             0.085708           35603.508785           1.417669             0.455315           3812.858033            0.667478             0.679695           74363.357000           0.221077             0.123678      
        0.70               5.025009              80562             12726.360587           1.798786             0.084137           45072.527078           1.348449             0.547087           3661.353740            0.230789             0.118430           69439.467488           0.223000             0.123128      
        0.80               5.025009              79172             16539.218620           1.809336             0.078031           36689.289549           1.403352             0.491521           1186.783626            0.305869             0.147888           76484.417098           0.238271             0.136209      
        0.90               5.025009              78794             17953.258685           1.812819             0.077374           34290.471581           1.408321             0.476218           1287.786488            0.246159             0.114273           77368.192139           0.243576             0.134272      
        1.00               5.025009              78031             18508.774425           1.813950             0.081597           32649.175077           1.420189             0.465263             0.000000             0.000000             0.000000           79741.759391           0.251537             0.142243      
        1.10               5.025009              77829             16286.711465           1.829099             0.072232           39517.369679           1.310057             0.555878           4822.886651            0.257937             0.127049           70272.741098           0.244704             0.131695      
        1.20               5.025009              77405             20049.068067           1.831008             0.076677           29215.077776           1.375694             0.489446           2701.826553            1.004876             0.708241           78933.736497           0.258242             0.141339      
        1.30               5.025009              76837             17448.244376           1.847120             0.075011           33053.186524           1.413298             0.489707           1136.282195            0.345865             0.163905           79261.995798           0.260705             0.138913      
        1.40               5.025009              76444             19013.788734           1.848501             0.073489           32169.411483           1.365925             0.515380           2146.310813            0.299584             0.137785           77570.197863           0.261299             0.137383      
        1.50               5.025009              76140             18685.529433           1.851968             0.073913           25907.234052           1.249651             0.577671           10150.787611           1.283447             0.639410           76156.157797           0.262513             0.133811      
        1.60               5.025009              76193             19619.805905           1.853841             0.072321           27346.524832           1.196496             0.596121           7600.465350            1.440438             0.518253           76332.912806           0.261486             0.131925      
        1.70               5.025009              76066             20200.572360           1.853660             0.070413           30932.126426           1.311420             0.554260           1868.552943            0.547482             0.548303           77898.457163           0.269158             0.140698      
        1.80               5.025009              75230             20579.333092           1.853170             0.077379           24493.193987           1.275701             0.563821           5731.912407            1.546953             0.394850           80095.269408           0.271552             0.138242      
        1.90               5.025009              75415             20629.834523           1.853287             0.070243           23508.416084           1.312083             0.536468           9443.767578            1.055405             0.704862           77317.690708           0.271025             0.135153      
        2.00               5.025009              74937             21210.600978           1.853036             0.068962           22902.398913           1.312657             0.544328           8433.738960            1.075324             0.702062           78352.970042           0.275216             0.137727      
        2.10               5.025009              74762             23407.413222           1.848389             0.071315           21993.373157           1.323671             0.539164           3333.094439            1.429902             0.506373           82165.828075           0.278169             0.136801      
        2.20               5.025009              74575             24316.438978           1.846858             0.080464           21942.871726           1.323072             0.534021           2020.057236            1.436593             0.512928           82620.340953           0.280282             0.137627      
        2.30               5.025009              74344             23710.421808           1.853404             0.072355           22624.641043           1.317281             0.543586           3055.336569            1.107243             0.701531           81509.309473           0.280569             0.138811      
        2.40               5.025009              74273             24998.208296           1.852373             0.075218           22220.629596           1.306534             0.545051           1111.031480            1.173684             0.672458           82569.839522           0.282888             0.138557      
        2.50               5.025009              73835             24669.948995           1.857928             0.068075           22675.142474           1.311612             0.546345           2348.316537            0.588933             0.551580           81206.300887           0.283734             0.139724      
        2.60               5.025009              73405             25174.963304           1.856686             0.072434           22094.376019           1.322554             0.540079           1565.544358            0.333430             0.140387           82064.825213           0.286542             0.138014      
        2.70               5.025009              73332             24972.957580           1.860893             0.066884           21564.110994           1.337778             0.534784            580.766455            0.229008             0.128438           83781.873863           0.292987             0.141955      
        2.80               5.025009              73085             24897.205434           1.865912             0.069753           22296.381742           1.306669             0.551489             0.000000             0.000000             0.000000           83706.121717           0.291615             0.139179      
        2.90               5.025009              73165             25200.214019           1.866333             0.068205           21261.102409           1.325660             0.534930             0.000000             0.000000             0.000000           84438.392465           0.293504             0.139956      
        3.00               5.025009              72904             24619.447564           1.867061             0.070372           22599.390328           1.307469             0.549003           1843.302228            0.354256             0.138108           81837.568774           0.291223             0.135118      
