      tauB          sizeBin        clust_size       Na_bulk         Nb_bulk        NBin_bulk         Na_gas          Nb_gas         NBin_gas         Na_int          Nb_int         NBin_int         Na_bub          Nb_bub         NBin_bub   
      0.00          5.025009         84665           30855           30941            1491            7082            7054            2846           11625           11520            823             438             485              24      
      0.10          5.025009         85463           32701           32811            1570            7075            6625            2873            9800           10113            718             424             451              23      
      0.20          5.025009         85636           30834           30921            1462            6987            6227            2860           10437           11079            767             1742            1773             95      
      0.30          5.025009         85146           22870           22994            1068            7105            6295            2862           14889           15457            990             5136            5254            264      
      0.40          5.025009         84464           20701           20937            959             7531            6584            2899           16477           17266            1003            5291            5213            323      
      0.50          5.025009         83632           18919           19122            867             8047            6908            2965           18414           19449            1104            4620            4521            248      
      0.60          5.025009         82868           18050           18149            820             8499            7079            2958           18265           19585            1072            5186            5187            334      
      0.70          5.025009         82147           15814           15924            714             8829            7320            2984           25125           26565            1425            232             191              61      
      0.80          5.025009         81586           15132           15352            681             8800            7235            2909           25874           27278            1540            194             135              54      
      0.90          5.025009         81057           16407           16691            739             8640            7000            2806           17622           19173            1161            7331            7136            478      
      1.00          5.025009         80955           18204           18622            820             9486            7534            3003           16303           17978            1043            6007            5866            318      
      1.10          5.025009         80634           17642           18019            793             9390            7324            2915           16597           18426            1157            6371            6231            319      
      1.20          5.025009         80419           20026           20540            902            10161            7732            3059           13891           16055            896             5922            5673            327      
      1.30          5.025009         79962           21116           21751            952            10292            7654            3045           13103           15403            897             5489            5192            290      
      1.40          5.025009         79682           20976           21483            943            10687            7829            3092           12799           15291            872             5538            5397            277      
      1.50          5.025009         79598           23437           24001            1055           11129            8003            3150           11542           14333            781             3892            3663            198      
      1.60          5.025009         79212           21808           22302            979            10903            7851            3087           12385           15142            862             4904            4705            256      
      1.70          5.025009         79125           22668           23196            1017           11296            7992            3139           11847           14804            819             4189            4008            209      
      1.80          5.025009         79116           22709           23316            1020           11286            7917            3117           11830           14881            826             4175            3886            221      
      1.90          5.025009         79035           22274           22941            1002           11328            7802            3106           12072           15235            868             4326            4022            208      
      2.00          5.025009         78645           22121           22683            992            11614            8008            3135           12058           15422            857             4207            3887            200      
      2.10          5.025009         78364           22759           23408            1021           11745            7994            3140           11852           15267            850             3644            3331            173      
      2.20          5.025009         78293           23706           24326            1062           11991            8091            3162           11691           15199            834             2612            2384            126      
      2.30          5.025009         78036           23921           24519            1069           12163            8151            3170           11496           15100            828             2420            2230            117      
      2.40          5.025009         78074           23871           24434            1064           12234            8171            3177           11637           15321            834             2258            2074            109      
      2.50          5.025009         77794           23926           24510            1066           12282            8147            3173           11618           15362            841             2174            1981            104      
      2.60          5.025009         77907           23542           24114            1049           12184            8041            3146           12043           15790            883             2231            2055            106      
      2.70          5.025009         77822           24455           25050            1091           12404            8047            3177           11561           15457            840             1580            1446             76      
      2.80          5.025009         77682           25171           25809            1125           12556            8075            3177           10925           14891            818             1348            1225             64      
      2.90          5.025009         77587           25186           25944            1130           12617            8128            3178           10966           14929            820             1231            999              56      
      3.00          5.025009         77489           25720           26376            1151           12775            8165            3193           10931           15075            814             574             384              26      
      3.10          5.025009         77253           25188           25818            1125           12876            8224            3199           11151           15359            825             785             599              35      
      3.20          5.025009         77223           24990           25564            1112           12689            8068            3146           11407           15645            872             914             723              54      
      3.30          5.025009         77151           25693           26327            1142           12986            8214            3203           10882           15182            821             439             277              18      
      3.40          5.025009         76893           25978           26502            1152           12944            8244            3189           11078           15254            843              0               0               0       
      3.50          5.025009         76919           26187           26761            1162           13020            8265            3198           10718           14935            811              75              39              13      
      3.60          5.025009         76826           25876           26391            1147           13108            8231            3204           11016           15378            833              0               0               0       
      3.70          5.025009         76679           26057           26755            1158           13301            8383            3228           10642           14862            798              0               0               0       
      3.80          5.025009         76785           25423           26013            1128           13047            8172            3180           11530           15815            876              0               0               0       
      3.90          5.025009         76820           26032           26744            1158           13423            8293            3234           10545           14963            792              0               0               0       
      4.00          5.025009         76591           25743           26472            1145           13278            8204            3201           10979           15324            838              0               0               0       
      4.10          5.025009         76704           25717           26440            1145           13387            8153            3203           10896           15407            836              0               0               0       
      4.20          5.025009         76664           25613           26314            1140           13365            8089            3188           11022           15597            856              0               0               0       
      4.30          5.025009         76509           25220           25914            1122           13247            7961            3150           11533           16125            912              0               0               0       
      4.40          5.025009         76484           25337           26059            1127           13424            8029            3174           11239           15912            883              0               0               0       
      4.50          5.025009         76256           25397           26156            1129           13610            8110            3201           10993           15734            854              0               0               0       
      4.60          5.025009         76030           25092           25734            1112           13645            8217            3195           11195           16014            862              68              35              15      
      4.70          5.025009         75784           25109           25801            1112           14031            8501            3251           10860           15698            821              0               0               0       
      4.80          5.025009         75576           25019           25647            1104           14031            8493            3240           10950           15860            840              0               0               0       
      4.90          5.025009         75414           25250           25956            1113           14307            8578            3275           10443           15466            796              0               0               0       
      5.00          5.025009         75625           25090           25759            1104           14103            8305            3224           10719           15870            834              88              66              22      
      5.10          5.025009         75673           24863           25476            1094           14064            8249            3216           11073           16275            874              0               0               0       
      5.20          5.025009         75394           24949           25622            1100           14185            8291            3230           10866           16087            854              0               0               0       
      5.30          5.025009         75559           25165           25918            1113           14211            8302            3218           10544           15740            836              80              40              17      
      5.40          5.025009         75298           24989           25775            1107           14461            8398            3251           10550           15827            826              0               0               0       
