        tauB               sizeBin             clust_size      press_align
        0.00               5.016308              41902             15134.441760    
        0.10               5.016308              42532             14870.179117    
        0.20               5.016308              43539             11803.323287    
        0.30               5.016308              44421             9421.186729     
        0.40               5.016308              44810             7449.560388     
        0.50               5.016308              45153             5993.198025     
        0.60               5.016308              45324             4969.454475     
        0.70               5.016308              45225             4205.205826     
        0.80               5.016308              45131             3723.605563     
        0.90               5.016308              44954             3532.178164     
        1.00               5.016308              44886             3309.469845     
        1.10               5.016308              44674             3202.029291     
        1.20               5.016308              44436             3043.647560     
        1.30               5.016308              44186             3086.290025     
        1.40               5.016308              44154             3108.730022     
        1.50               5.016308              44017             3144.183248     
        1.60               5.016308              43959             3389.723222     
        1.70               5.016308              43921             3427.021253     
        1.80               5.016308              43895             3516.651452     
        1.90               5.016308              44053             3550.938725     
        2.00               5.016308              44307             3486.287890     
        2.10               5.016308              44563             3493.520286     
        2.20               5.016308              44625             3376.221048     
        2.30               5.016308              44623             3165.663053     
        2.40               5.016308              44456             3000.872114     
        2.50               5.016308              44238             2951.330839     
        2.60               5.016308              44101             3136.673130     
        2.70               5.016308              44025             3116.322903     
        2.80               5.016308              44003             3209.304354     
        2.90               5.016308              43868             3166.220973     
        3.00               5.016308              43921             3257.865558     
        3.10               5.016308              44142             3361.609116     
        3.20               5.016308              44062             3331.699631     
        3.30               5.016308              44001             3213.327599     
        3.40               5.016308              43822             3112.106948     
        3.50               5.016308              43744             3157.753295     
        3.60               5.016308              43634             3259.923423     
        3.70               5.016308              43416             3464.548234     
        3.80               5.016308              43415             3391.967232     
        3.90               5.016308              43554             3489.995152     
        4.00               5.016308              43635             3575.656795     
        4.10               5.016308              43658             3479.416767     
        4.20               5.016308              43648             3471.262789     
        4.30               5.016308              43788             3532.132810     
        4.40               5.016308              43572             3471.342510     
        4.50               5.016308              43663             3439.283659     
        4.60               5.016308              43661             3201.575733     
        4.70               5.016308              43747             3130.991585     
        4.80               5.016308              43714             3241.155189     
        4.90               5.016308              43684             3327.955154     
        5.00               5.016308              43775             3433.722321     
        5.10               5.016308              43924             3388.767354     
        5.20               5.016308              43943             3417.879869     
        5.30               5.016308              43871             3308.685713     
        5.40               5.016308              43942             3184.997954     
        5.50               5.016308              43970             3271.795641     
        5.60               5.016308              44051             3439.603501     
        5.70               5.016308              44105             3330.567637     
        5.80               5.016308              43929             3298.869213     
        5.90               5.016308              43722             3179.199700     
        6.00               5.016308              43686             3286.482922     
        6.10               5.016308              43586             3531.557559     
        6.20               5.016308              43550             3671.982929     
        6.30               5.016308              43785             3541.764650     
        6.40               5.016308              43992             3551.694510     
        6.50               5.016308              43952             3431.932392     
        6.60               5.016308              44132             3332.429527     
        6.70               5.016308              44212             3370.217848     
        6.80               5.016308              44314             3423.756196     
        6.90               5.016308              44278             3369.990912     
        7.00               5.016308              44294             3286.464372     
        7.10               5.016308              44100             3233.029345     
        7.20               5.016308              44062             3247.204838     
        7.30               5.016308              44129             3320.694283     
        7.40               5.016308              44079             3249.574256     
        7.50               5.016308              43887             3103.337415     
        7.60               5.016308              43991             3121.242611     
        7.70               5.016308              43933             3134.677144     
        7.80               5.016308              43872             3084.662145     
        7.90               5.016308              43686             3308.552870     
        8.00               5.016308              43707             3281.968988     
        8.10               5.016308              43766             3323.680505     
        8.20               5.016308              43958             3411.564777     
        8.30               5.016308              43934             3346.595404     
        8.40               5.016308              43867             3344.818938     
        8.50               5.016308              43880             3367.045969     
        8.60               5.016308              43915             3306.017488     
        8.70               5.016308              43963             3372.209133     
        8.80               5.016308              43780             3284.487241     
        8.90               5.016308              43656             3370.005930     
        9.00               5.016308              43653             3418.052072     
        9.10               5.016308              43711             3385.597006     
        9.20               5.016308              43833             3288.001095     
        9.30               5.016308              43848             3492.793885     
        9.40               5.016308              43837             3378.975350     
        9.50               5.016308              43813             3257.832907     
        9.60               5.016308              43780             3316.351927     
        9.70               5.016308              43945             3404.628953     
        9.80               5.016308              44112             3485.572119     
        9.90               5.016308              44279             3512.844730     
       10.00               5.016308              44162             3427.967474     
       10.10               5.016308              44039             3550.438786     
       10.20               5.016308              43942             3519.095895     
       10.30               5.016308              43893             3491.265791     
       10.40               5.016308              43700             3522.193328     
       10.50               5.016308              43457             3466.373483     
       10.60               5.016308              43540             3522.032533     
       10.70               5.016308              43763             3529.617792     
       10.80               5.016308              43757             3418.010608     
       10.90               5.016308              43685             3271.602868     
       11.00               5.016308              43772             3219.578039     
       11.10               5.016308              43873             3276.501086     
       11.20               5.016308              43987             3293.180478     
       11.30               5.016308              43900             3277.987290     
       11.40               5.016308              43904             3346.752184     
       11.50               5.016308              43909             3325.043825     
       11.60               5.016308              43840             3330.840358     
       11.70               5.016308              43792             3295.494431     
       11.80               5.016308              43622             3407.853622     
       11.90               5.016308              43571             3454.809806     
       12.00               5.016308              43735             3554.288564     
       12.10               5.016308              43781             3373.147936     
       12.20               5.016308              44010             3259.787855     
       12.30               5.016308              44044             3136.728344     
       12.40               5.016308              43845             3139.066707     
       12.50               5.016308              43470             3112.600281     
       12.60               5.016308              43370             3206.573211     
       12.70               5.016308              43461             3180.443869     
       12.80               5.016308              43381             3408.378448     
       12.90               5.016308              43393             3406.871633     
       13.00               5.016308              43380             3445.491513     
       13.10               5.016308              43372             3542.168912     
       13.20               5.016308              43454             3387.833753     
       13.30               5.016308              43352             3365.663863     
       13.40               5.016308              43355             3291.986033     
       13.50               5.016308              43412             3354.912340     
       13.60               5.016308              43395             3258.835846     
       13.70               5.016308              43425             3201.829441     
       13.80               5.016308              43444             3223.448309     
       13.90               5.016308              43436             3331.839736     
       14.00               5.016308              43276             3113.406622     
       14.10               5.016308              43052             3047.876604     
       14.20               5.016308              43054             3169.220853     
       14.30               5.016308              43283             3264.054258     
       14.40               5.016308              43282             3292.688360     
       14.50               5.016308              43234             3413.478812     
       14.60               5.016308              43017             3327.456326     
       14.70               5.016308              42840             3537.003236     
       14.80               5.016308              43013             3516.104596     
       14.90               5.016308              43120             3560.103695     
       15.00               5.016308              43194             3422.260268     
       15.10               5.016308              43267             3343.827369     
       15.20               5.016308              43277             3401.890807     
       15.30               5.016308              43191             3316.247886     
       15.40               5.016308              43056             3228.327083     
       15.50               5.016308              43064             3261.889808     
       15.60               5.016308              43065             3347.016103     
       15.70               5.016308              42937             3306.206219     
       15.80               5.016308              42997             3264.555850     
       15.90               5.016308              43047             3195.178792     
       16.00               5.016308              42865             3230.000490     
       16.10               5.016308              42887             3170.661800     
       16.20               5.016308              42764             3184.293381     
       16.30               5.016308              42888             3225.104925     
       16.40               5.016308              42883             3130.867697     
       16.50               5.016308              42866             3208.054092     
       16.60               5.016308              42966             3180.757815     
       16.70               5.016308              42946             3205.511399     
       16.80               5.016308              42858             3015.034285     
       16.90               5.016308              42864             3086.676320     
       17.00               5.016308              42826             3136.371939     
       17.10               5.016308              42644             3148.360153     
       17.20               5.016308              42465             3302.385068     
       17.30               5.016308              42271             3278.202980     
       17.40               5.016308              42330             3255.417901     
       17.50               5.016308              42132             3286.987207     
       17.60               5.016308              42279             3356.163807     
       17.70               5.016308              42332             3294.963740     
       17.80               5.016308              42273             3229.910038     
       17.90               5.016308              42398             3329.572514     
       18.00               5.016308              42420             3226.867472     
       18.10               5.016308              42397             3203.992125     
       18.20               5.016308              42410             3283.626669     
       18.30               5.016308              42707             3303.762065     
       18.40               5.016308              42702             3310.390962     
       18.50               5.016308              42840             3179.672637     
       18.60               5.016308              42845             3280.051306     
       18.70               5.016308              42641             3164.914201     
       18.80               5.016308              42813             3158.323948     
       18.90               5.016308              42832             3067.347677     
       19.00               5.016308              42758             2991.963365     
       19.10               5.016308              42501             3044.403460     
       19.20               5.016308              42513             2991.246341     
       19.30               5.016308              42316             3039.833957     
       19.40               5.016308              42041             3111.005796     
       19.50               5.016308              41867             3136.151093     
       19.60               5.016308              41822             3125.335994     
       19.70               5.016308              41894             3245.413882     
       19.80               5.016308              41967             3171.691440     
       19.90               5.016308              41941             3220.017971     
       20.00               5.016308              42006             3363.266652     
       20.10               5.016308              42064             3329.057882     
       20.20               5.016308              42090             3472.321372     
       20.30               5.016308              42211             3375.622362     
       20.40               5.016308              42061             3361.916060     
       20.50               5.016308              41955             3160.534565     
       20.60               5.016308              41592             3361.390344     
       20.70               5.016308              41436             3576.294839     
       20.80               5.016308              41572             3456.063794     
       20.90               5.016308              41554             3506.186914     
       21.00               5.016308              41609             3681.582424     
       21.10               5.016308              41748             3739.524302     
       21.20               5.016308              41878             3595.324126     
       21.30               5.016308              41742             3510.749115     
       21.40               5.016308              41586             3415.239024     
       21.50               5.016308              41619             3245.030767     
       21.60               5.016308              41618             3124.221540     
       21.70               5.016308              41764             3253.959517     
       21.80               5.016308              41910             3151.488026     
       21.90               5.016308              42121             3187.951288     
       22.00               5.016308              41907             3166.248452     
       22.10               5.016308              41950             3164.787787     
       22.20               5.016308              41941             3194.375898     
       22.30               5.016308              42055             3102.502777     
       22.40               5.016308              41905             3116.629288     
       22.50               5.016308              41847             3237.575894     
       22.60               5.016308              41659             3354.967841     
       22.70               5.016308              41599             3339.175288     
       22.80               5.016308              41739             3417.110296     
       22.90               5.016308              41793             3355.293274     
       23.00               5.016308              41812             3343.835364     
       23.10               5.016308              41756             3273.031901     
       23.20               5.016308              41629             3248.958376     
       23.30               5.016308              41382             3187.566741     
       23.40               5.016308              41278             3097.751375     
       23.50               5.016308              41074             3196.661935     
       23.60               5.016308              41065             3329.259507     
       23.70               5.016308              41080             3383.022048     
       23.80               5.016308              41243             3353.170134     
       23.90               5.016308              41522             3385.987646     
       24.00               5.016308              41635             3264.283655     
       24.10               5.016308              41496             3302.259587     
       24.20               5.016308              41496             3331.235275     
       24.30               5.016308              41495             3261.537866     
       24.40               5.016308              41417             3409.903568     
       24.50               5.016308              41500             3305.599909     
       24.60               5.016308              41560             3171.263295     
       24.70               5.016308              41667             3095.589129     
       24.80               5.016308              41628             3205.222534     
       24.90               5.016308              41481             3362.368053     
       25.00               5.016308              41427             3306.215226     
       25.10               5.016308              41421             3291.299942     
       25.20               5.016308              41456             3295.243811     
       25.30               5.016308              41561             3261.435193     
       25.40               5.016308              41602             3217.751818     
       25.50               5.016308              41600             3160.071961     
       25.60               5.016308              41403             3211.133260     
       25.70               5.016308              41480             3189.852317     
       25.80               5.016308              41216             3040.456991     
       25.90               5.016308              40970             2972.613232     
       26.00               5.016308              40615             3003.025670     
       26.10               5.016308              40747             3169.671416     
       26.20               5.016308              40784             3241.421556     
       26.30               5.016308              40725             3281.912220     
       26.40               5.016308              40660             3304.533511     
       26.50               5.016308              40702             3254.595400     
       26.60               5.016308              40719             3245.443764     
       26.70               5.016308              40629             3391.872203     
       26.80               5.016308              40679             3341.695937     
       26.90               5.016308              40688             3435.523280     
       27.00               5.016308              40899             3445.892994     
       27.10               5.016308              41004             3319.302596     
       27.20               5.016308              40945             3187.087364     
       27.30               5.016308              40912             3155.812396     
       27.40               5.016308              40834             3086.949903     
       27.50               5.016308              41059             3077.541284     
       27.60               5.016308              41193             3130.728985     
       27.70               5.016308              41075             3088.843206     
       27.80               5.016308              40820             3070.098481     
       27.90               5.016308              40584             3049.696845     
       28.00               5.016308              40550             3224.625913     
       28.10               5.016308              40871             3267.202196     
       28.20               5.016308              41078             3242.836584     
       28.30               5.016308              41021             3132.273004     
       28.40               5.016308              40958             2958.453127     
       28.50               5.016308              40875             2792.147587     
       28.60               5.016308              40704             3041.375812     
       28.70               5.016308              40770             3029.095133     
       28.80               5.016308              40947             2883.420766     
       28.90               5.016308              40926             2864.879880     
       29.00               5.016308              40489             2814.640941     
       29.10               5.016308              40267             2935.061784     
       29.20               5.016308              40068             2983.544781     
       29.30               5.016308              39934             2833.068474     
       29.40               5.016308              40074             3103.140941     
       29.50               5.016308              40083             3348.851529     
       29.60               5.016308              40196             3330.521747     
       29.70               5.016308              40241             3362.487354     
       29.80               5.016308              40221             3250.404787     
       29.90               5.016308              40179             3289.232584     
       30.00               5.016308              40141             3157.449460     
       30.10               5.016308              40258             3047.390369     
       30.20               5.016308              40388             3081.771244     
       30.30               5.016308              40203             3120.141750     
       30.40               5.016308              39954             3122.095402     
       30.50               5.016308              39645             3135.231518     
       30.60               5.016308              39591             3299.580154     
       30.70               5.016308              39108             3484.912828     
       30.80               5.016308              39244             3505.725188     
       30.90               5.016308              39514             3637.698011     
       31.00               5.016308              39266             3655.554244     
       31.10               5.016308              39335             3647.381143     
       31.20               5.016308              39480             3696.023420     
       31.30               5.016308              39548             3747.444197     
       31.40               5.016308              39555             3768.636034     
       31.50               5.016308              39640             3790.278087     
       31.60               5.016308              40105             3505.674368     
       31.70               5.016308              40520             3406.093468     
       31.80               5.016308              40221             3247.364685     
       31.90               5.016308              40140             3087.680668     
       32.00               5.016308              39815             2933.118033     
       32.10               5.016308              39708             3020.491423     
       32.20               5.016308              39932             2875.407648     
       32.30               5.016308              39705             2824.302686     
       32.40               5.016308              39246             2910.205564     
       32.50               5.016308              39082             3100.249914     
       32.60               5.016308              38966             3136.010467     
       32.70               5.016308              39288             3209.984307     
       32.80               5.016308              39389             3148.960225     
       32.90               5.016308              39177             3165.068911     
       33.00               5.016308              39140             3175.327364     
       33.10               5.016308              39119             3211.545459     
       33.20               5.016308              39143             3274.709122     
       33.30               5.016308              38839             3230.209852     
       33.40               5.016308              38514             3323.535213     
       33.50               5.016308              38569             3290.609357     
       33.60               5.016308              38580             3358.497007     
       33.70               5.016308              38683             3459.994363     
       33.80               5.016308              38392             3450.497936     
       33.90               5.016308              38095             3592.785336     
       34.00               5.016308              38262             3462.515357     
       34.10               5.016308              38399             3482.952885     
