        tauB               sizeBin             clust_size      press_align
        0.00               5.016308              36759             6042.062966     
        0.10               5.016308              36965             5393.732125     
        0.20               5.016308              37335             4349.478402     
        0.30               5.016308              37735             3407.473200     
        0.40               5.016308              38137             2736.578736     
        0.50               5.016308              38523             2134.971072     
        0.60               5.016308              38699             1741.415856     
        0.70               5.016308              38764             1565.649791     
        0.80               5.016308              38743             1471.497223     
        0.90               5.016308              38724             1377.228330     
        1.00               5.016308              38628             1250.466871     
        1.10               5.016308              38488             1002.077079     
        1.20               5.016308              38441             1039.344855     
        1.30               5.016308              38258              903.928204     
        1.40               5.016308              38175              961.570864     
        1.50               5.016308              37955              859.771626     
        1.60               5.016308              37500              942.724861     
        1.70               5.016308              37224              910.043636     
        1.80               5.016308              36914              946.842649     
        1.90               5.016308              36597              986.190649     
        2.00               5.016308              36513             1082.311415     
        2.10               5.016308              36347             1187.484167     
        2.20               5.016308              36406             1191.167814     
        2.30               5.016308              36504             1306.916457     
        2.40               5.016308              36347             1379.768656     
        2.50               5.016308              36396             1330.265656     
        2.60               5.016308              36469             1336.222651     
        2.70               5.016308              36445             1308.423656     
        2.80               5.016308              36415             1437.798131     
        2.90               5.016308              36375             1536.558179     
        3.00               5.016308              36401             1515.871831     
        3.10               5.016308              36366             1472.334135     
        3.20               5.016308              36330             1531.122714     
        3.30               5.016308              36270             1410.397532     
        3.40               5.016308              36028             1481.528492     
        3.50               5.016308              35975             1463.662295     
        3.60               5.016308              35887             1488.848022     
        3.70               5.016308              35870             1484.095364     
        3.80               5.016308              35912             1622.896216     
        3.90               5.016308              35921             1601.509717     
        4.00               5.016308              35936             1557.994964     
        4.10               5.016308              36031             1500.154241     
        4.20               5.016308              36185             1365.730255     
        4.30               5.016308              36143             1300.056382     
        4.40               5.016308              36039             1230.026439     
        4.50               5.016308              36194             1185.244830     
        4.60               5.016308              36044             1292.091920     
        4.70               5.016308              36051             1347.583617     
        4.80               5.016308              36088             1359.915687     
        4.90               5.016308              36147             1287.010190     
        5.00               5.016308              36123             1234.914184     
        5.10               5.016308              36096             1202.314298     
        5.20               5.016308              36067             1291.230717     
        5.30               5.016308              35882             1339.499628     
        5.40               5.016308              35758             1347.597484     
        5.50               5.016308              35597             1349.862603     
        5.60               5.016308              35668             1340.852610     
        5.70               5.016308              35610             1409.247306     
        5.80               5.016308              35377             1393.641634     
        5.90               5.016308              35557             1324.032212     
        6.00               5.016308              35886             1393.092782     
        6.10               5.016308              36043             1313.313138     
        6.20               5.016308              36086             1359.654680     
        6.30               5.016308              36168             1335.962006     
        6.40               5.016308              36052             1343.755132     
        6.50               5.016308              36022             1329.066876     
        6.60               5.016308              35878             1451.226524     
        6.70               5.016308              35920             1516.149625     
        6.80               5.016308              36035             1511.674162     
        6.90               5.016308              36136             1421.023831     
        7.00               5.016308              36367             1444.048376     
