        tauB               sizeBin             clust_size      press_align
        0.00               5.016308              38874             7253.383804     
        0.10               5.016308              38939             6318.274873     
        0.20               5.016308              39328             4955.153460     
        0.30               5.016308              39770             3993.584953     
        0.40               5.016308              40157             3219.420475     
        0.50               5.016308              40624             2745.301506     
        0.60               5.016308              41005             2103.170460     
        0.70               5.016308              41224             1722.519202     
        0.80               5.016308              41494             1487.037087     
        0.90               5.016308              41594             1235.307757     
        1.00               5.016308              41658             1101.944774     
        1.10               5.016308              41779              978.854052     
        1.20               5.016308              41725              940.968011     
        1.30               5.016308              41738              791.062445     
        1.40               5.016308              41742              668.217164     
        1.50               5.016308              41719              767.889087     
        1.60               5.016308              41761              801.253665     
        1.70               5.016308              41755              722.081358     
        1.80               5.016308              41650              882.799829     
        1.90               5.016308              41441              882.042024     
        2.00               5.016308              41518              865.870888     
        2.10               5.016308              41538              844.353319     
        2.20               5.016308              41395              826.636436     
        2.30               5.016308              41296              907.096599     
        2.40               5.016308              41010              860.166496     
        2.50               5.016308              40890              920.012621     
        2.60               5.016308              40589              951.045904     
        2.70               5.016308              40423             1078.610285     
        2.80               5.016308              40496             1030.344961     
        2.90               5.016308              40412              977.165009     
        3.00               5.016308              40471              762.377207     
        3.10               5.016308              40515              765.273266     
        3.20               5.016308              40524              820.483105     
        3.30               5.016308              40552              706.100140     
        3.40               5.016308              40549              796.643682     
        3.50               5.016308              40501              869.616200     
        3.60               5.016308              40550              729.099300     
        3.70               5.016308              40618              654.233894     
        3.80               5.016308              40692              704.871983     
        3.90               5.016308              40607              783.030577     
        4.00               5.016308              40613              834.612540     
        4.10               5.016308              40569              790.272338     
        4.20               5.016308              40710              788.130375     
        4.30               5.016308              40796              748.612356     
        4.40               5.016308              40753              922.981260     
        4.50               5.016308              40771              993.768245     
        4.60               5.016308              40595             1118.588094     
        4.70               5.016308              40581             1048.547038     
        4.80               5.016308              40478             1048.270501     
        4.90               5.016308              40341             1013.595206     
        5.00               5.016308              40296              981.547083     
        5.10               5.016308              40259             1071.225051     
        5.20               5.016308              40289             1090.145083     
        5.30               5.016308              40446              999.435749     
        5.40               5.016308              40525             1122.544965     
        5.50               5.016308              40423             1167.672964     
        5.60               5.016308              40453             1114.779169     
        5.70               5.016308              40432             1175.096309     
        5.80               5.016308              40527             1061.385998     
        5.90               5.016308              40566              813.093548     
        6.00               5.016308              40580              786.831049     
        6.10               5.016308              40500              682.173425     
        6.20               5.016308              40570              758.835434     
        6.30               5.016308              40543              730.442196     
        6.40               5.016308              40541              871.910710     
        6.50               5.016308              40591              801.412268     
        6.60               5.016308              40595              911.641516     
        6.70               5.016308              40506              914.510419     
        6.80               5.016308              40423              826.599082     
        6.90               5.016308              40408              807.660334     
        7.00               5.016308              40306              969.945719     
        7.10               5.016308              40261              956.064980     
        7.20               5.016308              40276              883.423040     
        7.30               5.016308              40246             1021.886368     
        7.40               5.016308              40293             1040.582678     
        7.50               5.016308              40307              977.987941     
        7.60               5.016308              40365             1016.287777     
        7.70               5.016308              40371              904.486356     
        7.80               5.016308              40394              919.793092     
        7.90               5.016308              40334              943.613641     
        8.00               5.016308              40321              871.648815     
        8.10               5.016308              40128              632.056236     
        8.20               5.016308              40123              661.659874     
        8.30               5.016308              40025              807.203189     
        8.40               5.016308              40029              863.449505     
        8.50               5.016308              39998              872.030512     
        8.60               5.016308              40013              895.730311     
        8.70               5.016308              39835              880.226836     
        8.80               5.016308              39972             1012.452112     
        8.90               5.016308              40023              876.431399     
        9.00               5.016308              39999              843.037668     
        9.10               5.016308              40027              698.730185     
        9.20               5.016308              40018              827.747061     
        9.30               5.016308              40111              794.769835     
        9.40               5.016308              40030              977.672491     
        9.50               5.016308              40029             1069.785581     
        9.60               5.016308              40107              968.731169     
        9.70               5.016308              40046             1016.371136     
        9.80               5.016308              40173             1118.310445     
        9.90               5.016308              40108             1150.102826     
       10.00               5.016308              40228             1077.172271     
       10.10               5.016308              40149              990.647792     
       10.20               5.016308              40094             1032.599080     
       10.30               5.016308              40123             1003.980377     
       10.40               5.016308              40052              894.716459     
       10.50               5.016308              39903              864.892708     
       10.60               5.016308              39857              894.239161     
       10.70               5.016308              39887              907.910179     
       10.80               5.016308              39840              919.911842     
       10.90               5.016308              39846              981.750911     
       11.00               5.016308              39809             1074.540906     
       11.10               5.016308              39792             1033.683633     
       11.20               5.016308              39843             1002.588131     
       11.30               5.016308              39962              939.281560     
       11.40               5.016308              39949              946.826809     
       11.50               5.016308              39906              856.621904     
       11.60               5.016308              39829              823.057268     
       11.70               5.016308              39776              910.755294     
       11.80               5.016308              39723             1064.287252     
       11.90               5.016308              39835             1104.370914     
       12.00               5.016308              39885             1066.587530     
       12.10               5.016308              39944             1189.762136     
       12.20               5.016308              40007             1009.122072     
       12.30               5.016308              40013              893.550912     
       12.40               5.016308              39928              953.387889     
       12.50               5.016308              39963              858.394650     
       12.60               5.016308              39949              883.712241     
       12.70               5.016308              39928              897.091320     
       12.80               5.016308              39947              819.418093     
       12.90               5.016308              39964              884.785516     
       13.00               5.016308              40089             1016.987235     
       13.10               5.016308              40055             1080.142334     
       13.20               5.016308              40199              913.168175     
       13.30               5.016308              40186              890.597274     
       13.40               5.016308              40217             1160.991627     
       13.50               5.016308              40291             1089.247224     
       13.60               5.016308              40511             1021.444330     
       13.70               5.016308              40483             1027.988847     
       13.80               5.016308              40424             1003.690817     
       13.90               5.016308              40353             1000.695052     
       14.00               5.016308              40469             1074.692009     
       14.10               5.016308              40361             1117.115521     
       14.20               5.016308              40172             1129.654387     
       14.30               5.016308              40096             1068.570770     
       14.40               5.016308              40041             1050.110833     
       14.50               5.016308              40046             1241.662006     
       14.60               5.016308              40068             1092.212309     
       14.70               5.016308              40070             1062.644083     
       14.80               5.016308              40041              959.330116     
       14.90               5.016308              40085              994.413443     
       15.00               5.016308              40018              881.946088     
       15.10               5.016308              40068              775.202469     
       15.20               5.016308              40118              803.314747     
       15.30               5.016308              40089              860.147967     
       15.40               5.016308              40203             1030.929618     
       15.50               5.016308              40282             1033.938100     
