        tauB               sizeBin             clust_size      press_align
        0.00               5.016308              33379              736.842610     
        0.10               5.016308              33409              389.695916     
        0.20               5.016308              33733              192.906383     
        0.30               5.016308              33990              -18.457242     
        0.40               5.016308              34153             -291.636287     
        0.50               5.016308              34462             -444.625090     
        0.60               5.016308              34540             -495.630033     
        0.70               5.016308              34828             -727.999442     
        0.80               5.016308              35304             -866.422492     
        0.90               5.016308              35626             -1178.568204    
        1.00               5.016308              36018             -1411.617034    
        1.10               5.016308              36072             -1521.953450    
        1.20               5.016308              35220             -1345.496318    
        1.30               5.016308              21645              670.955307     
        1.40               5.016308              19814              706.107275     
        1.50               5.016308              14563              80.732499      
        1.60               5.016308              16961              475.696733     
        1.70               5.016308              24239              824.433423     
        1.80               5.016308              23071              765.189186     
        1.90               5.016308              13243              231.864313     
        2.00               5.016308              25781              761.717222     
        2.10               5.016308              26495              723.129743     
        2.20               5.016308              27119              664.708479     
        2.30               5.016308              27162              680.389669     
        2.40               5.016308              27801              637.945878     
        2.50               5.016308              28562              555.154177     
        2.60               5.016308              29049              524.288556     
        2.70               5.016308              29650              451.348691     
        2.80               5.016308              29745              434.840892     
        2.90               5.016308              30771              468.760993     
        3.00               5.016308              30792              405.748255     
        3.10               5.016308              31586              354.334068     
        3.20               5.016308              31834              300.481036     
        3.30               5.016308              32175              316.563883     
        3.40               5.016308              32311              416.892351     
        3.50               5.016308              32385              408.951708     
        3.60               5.016308              32824              420.957130     
        3.70               5.016308              33352              454.245362     
        3.80               5.016308              33805              430.972561     
        3.90               5.016308              34157              379.327597     
        4.00               5.016308              34467              376.293047     
        4.10               5.016308              34684              402.702419     
        4.20               5.016308              34825              382.033064     
        4.30               5.016308              35409              447.767921     
        4.40               5.016308              35552              436.551222     
        4.50               5.016308              35708              431.504035     
        4.60               5.016308              35917              435.535363     
        4.70               5.016308              36402              565.227813     
        4.80               5.016308              36391              691.178125     
        4.90               5.016308              36440              604.214723     
        5.00               5.016308              36506              633.551332     
        5.10               5.016308              36873              762.970489     
        5.20               5.016308              37078              816.071818     
        5.30               5.016308              37166              815.538238     
        5.40               5.016308              37435              774.736869     
        5.50               5.016308              37627              832.288912     
        5.60               5.016308              37893              778.401165     
        5.70               5.016308              37942              775.986666     
        5.80               5.016308              38027              770.078731     
        5.90               5.016308              38208              831.426955     
        6.00               5.016308              38316              823.505778     
        6.10               5.016308              38375              888.179748     
        6.20               5.016308              38315              795.442533     
        6.30               5.016308              38499              819.902406     
        6.40               5.016308              38444              722.048440     
        6.50               5.016308              38427              717.952146     
        6.60               5.016308              38287              733.750183     
        6.70               5.016308              38340              674.646470     
        6.80               5.016308              38119              716.300215     
        6.90               5.016308              37698              698.349358     
        7.00               5.016308              37486              743.006450     
