        tauB               sizeBin             clust_size          interface_id            bub_id               r_min                r_max                align               num_dens              press        
        0.00               5.016308              45357                  1                    1                 0.000000             3.230769             0.176128             3.893557            308.594478     
        0.00               5.016308              45357                  1                    1                 3.230769             6.461538             0.468519             3.007121            634.002369     
        0.00               5.016308              45357                  1                    1                 6.461538             9.692308             0.714308             3.584645           1152.242501     
        0.00               5.016308              45357                  1                    1                 9.692308            12.923077             0.920557             4.728208           1958.663940     
        0.00               5.016308              45357                  1                    1                12.923077            16.153846             0.977339             2.165820            952.533800     
        0.00               5.016308              45357                  1                    1                16.153846            19.384615             0.980613             1.505195            664.206039     
        0.00               5.016308              45357                  1                    1                19.384615            22.615385             0.000000             0.000000             0.000000      
        0.00               5.016308              45357                  1                    1                22.615385            25.846154             0.989804             0.053304            23.742226      
        0.00               5.016308              45357                  1                    1                25.846154            29.076923             0.927651             0.176027            73.481385      
        0.00               5.016308              45357                  1                    1                29.076923            32.307692             0.823182             0.247810            91.796806      
        0.00               5.016308              45357                  1                    1                32.307692            35.538462             0.557937             0.172521            43.315224      
        0.00               5.016308              45357                  1                    1                35.538462            38.769231             0.115192             0.073292             3.799206      
        0.00               5.016308              45357                  1                    1                38.769231            42.000000             0.052041             0.023858             0.558703      
