        tauB               sizeBin             clust_size          interface_id            bub_id               r_min                r_max                align               num_dens              press        
        0.00               5.016308              28427                  1                    1                 0.000000             3.125000             0.155685             2.932480            45.654196      
        0.00               5.016308              28427                  1                    1                 3.125000             6.250000             0.450652             3.153282            142.103267     
        0.00               5.016308              28427                  1                    1                 6.250000             9.375000             0.668503             3.341265            223.364504     
        0.00               5.016308              28427                  1                    1                 9.375000            12.500000             0.918614             3.828038            351.648845     
        0.00               5.016308              28427                  1                    1                12.500000            15.625000             0.944911             2.826479            267.077001     
        0.00               5.016308              28427                  1                    1                15.625000            18.750000             0.971850             2.282568            221.831463     
        0.00               5.016308              28427                  1                    1                18.750000            21.875000             0.974030             1.298813            126.508275     
        0.00               5.016308              28427                  1                    1                21.875000            25.000000             0.955895             0.024509             2.342848      
        0.00               5.016308              28427                  1                    1                25.000000            28.125000             0.000000             0.000000             0.000000      
        0.00               5.016308              28427                  1                    1                28.125000            31.250000             0.781927             0.007487             0.585428      
        0.00               5.016308              28427                  1                    1                31.250000            34.375000             0.524793             0.088200             4.628672      
        0.00               5.016308              28427                  1                    1                34.375000            37.500000             0.327135             0.292712             9.575623      
        0.00               5.016308              28427                  1                    1                37.500000            40.625000             0.032800             0.344137             1.128787      
        0.00               5.016308              28427                  1                    1                40.625000            43.750000             0.011505             0.264753             0.304603      
        0.00               5.016308              28427                  1                    1                43.750000            46.875000             0.079984             0.101340             0.810550      
        0.00               5.016308              28427                  1                    1                46.875000            50.000000            -0.215292             0.025577            -0.550649      
        0.10               5.016308              28309                  1                    1                 0.000000             3.133333             0.137014             3.492838            47.856642      
        0.10               5.016308              28309                  1                    1                 3.133333             6.266667             0.400476             3.470002            138.965376     
        0.10               5.016308              28309                  1                    1                 6.266667             9.400000             0.612561             3.903805            239.131811     
        0.10               5.016308              28309                  1                    1                 9.400000            12.533333             0.687733             3.810075            262.031548     
        0.10               5.016308              28309                  1                    1                12.533333            15.666667             0.726200             3.461773            251.393935     
        0.10               5.016308              28309                  1                    1                15.666667            18.800000             0.709945             2.095718            148.784454     
        0.10               5.016308              28309                  1                    1                18.800000            21.933333             0.717706             0.067131             4.817997      
        0.10               5.016308              28309                  1                    1                21.933333            25.066667             0.000000             0.000000             0.000000      
        0.10               5.016308              28309                  1                    1                25.066667            28.200000             0.699573             0.014438             1.010038      
        0.10               5.016308              28309                  1                    1                28.200000            31.333333             0.741270             0.117063             8.677507      
        0.10               5.016308              28309                  1                    1                31.333333            34.466667             0.620838             0.152055             9.440154      
        0.10               5.016308              28309                  1                    1                34.466667            37.600000             0.628757             0.217506            13.675859      
        0.10               5.016308              28309                  1                    1                37.600000            40.733333             0.456240             0.140339             6.402843      
        0.10               5.016308              28309                  1                    1                40.733333            43.866667             0.366307             0.058136             2.129560      
        0.10               5.016308              28309                  1                    1                43.866667            47.000000             0.413485             0.013989             0.578436      
        0.20               5.016308              28653                  1                    1                 0.000000             3.187500             0.138020             3.785070            52.241434      
        0.20               5.016308              28653                  1                    1                 3.187500             6.375000             0.293324             2.978011            87.352355      
        0.20               5.016308              28653                  1                    1                 6.375000             9.562500             0.450003             3.940816            177.337853     
        0.20               5.016308              28653                  1                    1                 9.562500            12.750000             0.511884             4.480775            229.363482     
        0.20               5.016308              28653                  1                    1                12.750000            15.937500             0.539322             2.419358            130.481319     
        0.20               5.016308              28653                  1                    1                15.937500            19.125000             0.519838             3.013126            156.633652     
        0.20               5.016308              28653                  1                    1                19.125000            22.312500             0.000000             0.000000             0.000000      
        0.20               5.016308              28653                  1                    1                22.312500            25.500000             0.398198             0.001452             0.057838      
        0.20               5.016308              28653                  1                    1                25.500000            28.687500             0.463035             0.014447             0.668947      
        0.20               5.016308              28653                  1                    1                28.687500            31.875000             0.539458             0.084954             4.582915      
        0.20               5.016308              28653                  1                    1                31.875000            35.062500             0.412656             0.131932             5.444262      
        0.20               5.016308              28653                  1                    1                35.062500            38.250000             0.417528             0.170475             7.117805      
        0.20               5.016308              28653                  1                    1                38.250000            41.437500             0.405845             0.118738             4.818914      
        0.20               5.016308              28653                  1                    1                41.437500            44.625000             0.362095             0.074041             2.680971      
        0.20               5.016308              28653                  1                    1                44.625000            47.812500             0.403414             0.026653             1.075220      
        0.20               5.016308              28653                  1                    1                47.812500            51.000000             0.131381             0.012060             0.158439      
        0.30               5.016308              29098                  1                    1                 0.000000             3.166667             0.103110             3.117765            32.147232      
        0.30               5.016308              29098                  1                    1                 3.166667             6.333333             0.185766             3.472823            64.513226      
        0.30               5.016308              29098                  1                    1                 6.333333             9.500000             0.349511             3.031578            105.956850     
        0.30               5.016308              29098                  1                    1                 9.500000            12.666667             0.388620             3.922115            152.421446     
        0.30               5.016308              29098                  1                    1                12.666667            15.833333             0.393169             3.041203            119.570669     
        0.30               5.016308              29098                  1                    1                15.833333            19.000000             0.377107             2.520688            95.056893      
        0.30               5.016308              29098                  1                    1                19.000000            22.166667             0.383166             1.464053            56.097573      
        0.30               5.016308              29098                  1                    1                22.166667            25.333333             0.125889             0.026098             0.328545      
        0.30               5.016308              29098                  1                    1                25.333333            28.500000             0.370066             0.008244             0.305083      
        0.30               5.016308              29098                  1                    1                28.500000            31.666667             0.576071             0.030030             1.729956      
        0.30               5.016308              29098                  1                    1                31.666667            34.833333             0.380327             0.059702             2.270649      
        0.30               5.016308              29098                  1                    1                34.833333            38.000000             0.293847             0.117566             3.454646      
        0.30               5.016308              29098                  1                    1                38.000000            41.166667             0.277958             0.143722             3.994863      
        0.30               5.016308              29098                  1                    1                41.166667            44.333333             0.290167             0.147016             4.265932      
        0.30               5.016308              29098                  1                    1                44.333333            47.500000             0.312313             0.100904             3.151358      
        0.30               5.016308              29098                  1                    1                47.500000            50.666667             0.248312             0.045251             1.123641      
        0.30               5.016308              29098                  1                    1                50.666667            53.833333             0.429325             0.014527             0.623691      
        0.30               5.016308              29098                  1                    1                53.833333            57.000000             0.367892             0.003269             0.120267      
        0.40               5.016308              29507                  1                    1                 0.000000             3.157895             0.067183             3.373791            22.666173      
        0.40               5.016308              29507                  1                    1                 3.157895             6.315789             0.204091             2.687264            54.844652      
        0.40               5.016308              29507                  1                    1                 6.315789             9.473684             0.307685             3.192605            98.231607      
        0.40               5.016308              29507                  1                    1                 9.473684            12.631579             0.329711             3.456959            113.979770     
        0.40               5.016308              29507                  1                    1                12.631579            15.789474             0.309764             2.877358            89.130334      
        0.40               5.016308              29507                  1                    1                15.789474            18.947368             0.290307             2.412789            70.044868      
        0.40               5.016308              29507                  1                    1                18.947368            22.105263             0.316790             1.352142            42.834491      
        0.40               5.016308              29507                  1                    1                22.105263            25.263158             0.260858             0.133357             3.478726      
        0.40               5.016308              29507                  1                    1                25.263158            28.421053             0.782649             0.001318             0.103170      
        0.40               5.016308              29507                  1                    1                28.421053            31.578947             0.305493             0.014423             0.440614      
        0.40               5.016308              29507                  1                    1                31.578947            34.736842             0.279721             0.049637             1.388458      
        0.40               5.016308              29507                  1                    1                34.736842            37.894737             0.292143             0.121742             3.556615      
        0.40               5.016308              29507                  1                    1                37.894737            41.052632             0.221975             0.143400             3.183120      
        0.40               5.016308              29507                  1                    1                41.052632            44.210526             0.188168             0.142293             2.677495      
        0.40               5.016308              29507                  1                    1                44.210526            47.368421             0.193295             0.091827             1.774973      
        0.40               5.016308              29507                  1                    1                47.368421            50.526316             0.214029             0.052927             1.132787      
        0.40               5.016308              29507                  1                    1                50.526316            53.684211             0.082075             0.016847             0.138270      
        0.40               5.016308              29507                  1                    1                53.684211            56.842105             0.013992             0.009483             0.013270      
        0.40               5.016308              29507                  1                    1                56.842105            60.000000            -0.130006             0.003491            -0.045381      
        0.50               5.016308              29970                  1                    1                 0.000000             3.111111             0.082834             3.323120            27.526795      
        0.50               5.016308              29970                  1                    1                 3.111111             6.222222             0.202405             2.908468            58.868934      
        0.50               5.016308              29970                  1                    1                 6.222222             9.333333             0.254398             3.197803            81.351594      
        0.50               5.016308              29970                  1                    1                 9.333333            12.444444             0.258805             3.380414            87.486873      
        0.50               5.016308              29970                  1                    1                12.444444            15.555556             0.250929             3.254248            81.658649      
        0.50               5.016308              29970                  1                    1                15.555556            18.666667             0.221223             2.156542            47.707687      
        0.50               5.016308              29970                  1                    1                18.666667            21.777778             0.196407             0.921139            18.091831      
        0.50               5.016308              29970                  1                    1                21.777778            24.888889             0.139993             0.028805             0.403249      
        0.50               5.016308              29970                  1                    1                24.888889            28.000000             0.369536             0.014076             0.520161      
        0.50               5.016308              29970                  1                    1                28.000000            31.111111             0.411288             0.058958             2.424891      
        0.50               5.016308              29970                  1                    1                31.111111            34.222222             0.210989             0.087173             1.839257      
        0.50               5.016308              29970                  1                    1                34.222222            37.333333             0.191963             0.126070             2.420073      
        0.50               5.016308              29970                  1                    1                37.333333            40.444444             0.143250             0.164780             2.360473      
        0.50               5.016308              29970                  1                    1                40.444444            43.555556             0.123344             0.135185             1.667428      
