        tauB               sizeBin             clust_size          interface_id            bub_id               r_min                r_max                align               num_dens              press        
        0.00               5.016308              36768                  1                    1                 0.000000             3.187500             0.186145             3.576904            99.873554      
        0.00               5.016308              36768                  1                    1                 3.187500             6.375000             0.556513             2.193189            183.080837     
        0.00               5.016308              36768                  1                    1                 6.375000             9.562500             0.629332             3.763502            355.273957     
        0.00               5.016308              36768                  1                    1                 9.562500            12.750000             0.855565             4.205105            539.661192     
        0.00               5.016308              36768                  1                    1                12.750000            15.937500             0.960400             2.060955            296.901198     
        0.00               5.016308              36768                  1                    1                15.937500            19.125000             0.971633             3.180491            463.540708     
        0.00               5.016308              36768                  1                    1                19.125000            22.312500             0.990101             0.133210            19.783718      
        0.00               5.016308              36768                  1                    1                22.312500            25.500000             0.989722             0.417574            61.992303      
        0.00               5.016308              36768                  1                    1                25.500000            28.687500             0.980877             0.008076             1.188195      
        0.00               5.016308              36768                  1                    1                28.687500            31.875000             0.878139             0.096540            12.716339      
        0.00               5.016308              36768                  1                    1                31.875000            35.062500             0.574569             0.213834            18.429339      
        0.00               5.016308              36768                  1                    1                35.062500            38.250000             0.446035             0.266318            17.818094      
        0.00               5.016308              36768                  1                    1                38.250000            41.437500             0.096485             0.184630             2.672092      
        0.00               5.016308              36768                  1                    1                41.437500            44.625000             0.048713             0.112137             0.819373      
        0.00               5.016308              36768                  1                    1                44.625000            47.812500            -0.021542             0.047001            -0.151876      
        0.00               5.016308              36768                  1                    1                47.812500            51.000000             0.057379             0.020840             0.179368      
        0.10               5.016308              36823                  1                    1                 0.000000             3.285714             0.121603             4.275214            77.981951      
        0.10               5.016308              36823                  1                    1                 3.285714             6.571429             0.485469             2.743368            199.773045     
        0.10               5.016308              36823                  1                    1                 6.571429             9.857143             0.609147             3.728616            340.691337     
        0.10               5.016308              36823                  1                    1                 9.857143            13.142857             0.724267             5.242511            569.546845     
        0.10               5.016308              36823                  1                    1                13.142857            16.428571             0.730668             2.157988            236.515870     
        0.10               5.016308              36823                  1                    1                16.428571            19.714286             0.733416             1.852997            203.852602     
        0.10               5.016308              36823                  1                    1                19.714286            23.000000             0.000000             0.000000             0.000000      
        0.10               5.016308              36823                  1                    1                23.000000            26.285714             0.690557             0.020040             2.075793      
        0.10               5.016308              36823                  1                    1                26.285714            29.571429             0.754004             0.115187            13.027692      
        0.10               5.016308              36823                  1                    1                29.571429            32.857143             0.680382             0.168785            17.225723      
        0.10               5.016308              36823                  1                    1                32.857143            36.142857             0.566597             0.142819            12.138151      
        0.10               5.016308              36823                  1                    1                36.142857            39.428571             0.540328             0.079194             6.418644      
        0.10               5.016308              36823                  1                    1                39.428571            42.714286             0.386026             0.024918             1.442873      
        0.10               5.016308              36823                  1                    1                42.714286            46.000000             0.253791             0.007165             0.272753      
        0.20               5.016308              37224                  1                    1                 0.000000             3.235294             0.092534             3.996503            55.472140      
        0.20               5.016308              37224                  1                    1                 3.235294             6.470588             0.284857             2.714300            115.977994     
        0.20               5.016308              37224                  1                    1                 6.470588             9.705882             0.454164             3.825897            260.637916     
        0.20               5.016308              37224                  1                    1                 9.705882            12.941176             0.534113             5.190066            415.812230     
        0.20               5.016308              37224                  1                    1                12.941176            16.176471             0.514480             2.079815            160.503515     
        0.20               5.016308              37224                  1                    1                16.176471            19.411765             0.520288             2.967965            231.629716     
        0.20               5.016308              37224                  1                    1                19.411765            22.647059             0.602041             0.032982             2.978467      
        0.20               5.016308              37224                  1                    1                22.647059            25.882353             0.763930             0.011514             1.319401      
        0.20               5.016308              37224                  1                    1                25.882353            29.117647             0.528638             0.038393             3.044407      
        0.20               5.016308              37224                  1                    1                29.117647            32.352941             0.504780             0.077391             5.859804      
        0.20               5.016308              37224                  1                    1                32.352941            35.588235             0.350236             0.096872             5.089220      
        0.20               5.016308              37224                  1                    1                35.588235            38.823529             0.397498             0.107268             6.395835      
        0.20               5.016308              37224                  1                    1                38.823529            42.058824             0.312800             0.067130             3.149738      
        0.20               5.016308              37224                  1                    1                42.058824            45.294118             0.355172             0.048791             2.599374      
        0.20               5.016308              37224                  1                    1                45.294118            48.529412             0.403567             0.020886             1.264322      
        0.20               5.016308              37224                  1                    1                48.529412            51.764706             0.513119             0.008241             0.634256      
        0.20               5.016308              37224                  1                    1                51.764706            55.000000             0.518681             0.002210             0.171980      
        0.30               5.016308              37665                  1                    1                 0.000000             3.157895             0.085484             3.798879            48.711568      
        0.30               5.016308              37665                  1                    1                 3.157895             6.315789             0.229344             3.129797            107.670094     
        0.30               5.016308              37665                  1                    1                 6.315789             9.473684             0.363583             3.386254            184.677600     
        0.30               5.016308              37665                  1                    1                 9.473684            12.631579             0.405202             4.113858            250.041304     
        0.30               5.016308              37665                  1                    1                12.631579            15.789474             0.402738             2.965053            179.120768     
        0.30               5.016308              37665                  1                    1                15.789474            18.947368             0.379653             2.331047            132.748428     
        0.30               5.016308              37665                  1                    1                18.947368            22.105263             0.391175             0.584984            34.324636      
        0.30               5.016308              37665                  1                    1                22.105263            25.263158             0.071460             0.026819             0.287475      
        0.30               5.016308              37665                  1                    1                25.263158            28.421053             0.471798             0.017367             1.229092      
        0.30               5.016308              37665                  1                    1                28.421053            31.578947             0.201216             0.041343             1.247822      
        0.30               5.016308              37665                  1                    1                31.578947            34.736842             0.232605             0.085752             2.991937      
        0.30               5.016308              37665                  1                    1                34.736842            37.894737             0.286361             0.100122             4.300652      
        0.30               5.016308              37665                  1                    1                37.894737            41.052632             0.206310             0.086776             2.685398      
        0.30               5.016308              37665                  1                    1                41.052632            44.210526             0.230896             0.062470             2.163592      
        0.30               5.016308              37665                  1                    1                44.210526            47.368421             0.341925             0.041819             2.144832      
        0.30               5.016308              37665                  1                    1                47.368421            50.526316             0.213110             0.031270             0.999582      
        0.30               5.016308              37665                  1                    1                50.526316            53.684211             0.378423             0.020237             1.148740      
        0.30               5.016308              37665                  1                    1                53.684211            56.842105             0.172807             0.008772             0.227378      
        0.30               5.016308              37665                  1                    1                56.842105            60.000000             0.039463             0.005781             0.034219      
        0.40               5.016308              38055                  1                    1                 0.000000             3.210526             0.133628             4.004690            80.270664      
        0.40               5.016308              38055                  1                    1                 3.210526             6.421053             0.189295             2.825275            80.221371      
        0.40               5.016308              38055                  1                    1                 6.421053             9.631579             0.331563             3.584794            178.287661     
        0.40               5.016308              38055                  1                    1                 9.631579            12.842105             0.299558             4.879945            219.274194     
        0.40               5.016308              38055                  1                    1                12.842105            16.052632             0.332278             2.052114            102.280771     
        0.40               5.016308              38055                  1                    1                16.052632            19.263158             0.301914             2.185074            98.955533      
        0.40               5.016308              38055                  1                    1                19.263158            22.473684             0.375831             0.027249             1.536165      
