        tauB               sizeBin             clust_size          interface_id            bub_id               r_min                r_max                align               num_dens              press        
        0.00               5.016308              33379                  1                    1                 0.000000             3.272727             0.106653             3.304489            17.995617      
        0.00               5.016308              33379                  1                    1                 3.272727             6.545455             0.421227             1.914672            38.268583      
        0.00               5.016308              33379                  1                    1                 6.545455             9.818182             0.557760             2.971145            82.792537      
        0.00               5.016308              33379                  1                    1                 9.818182            13.090909             0.843435             2.579357            112.462697     
        0.00               5.016308              33379                  1                    1                13.090909            16.363636             0.973860             0.028723             1.398630      
        0.00               5.016308              33379                  1                    1                16.363636            19.636364             0.455476             0.078428             1.786110      
        0.00               5.016308              33379                  1                    1                19.636364            22.909091             0.243322             0.227042             2.762216      
        0.00               5.016308              33379                  1                    1                22.909091            26.181818            -0.025523             0.251078            -0.320410      
        0.00               5.016308              33379                  1                    1                26.181818            29.454545            -0.013812             0.176813            -0.122103      
        0.00               5.016308              33379                  1                    1                29.454545            32.727273             0.060338             0.071001             0.214201      
        0.00               5.016308              33379                  1                    1                32.727273            36.000000            -0.012701             0.020011            -0.012709      
        0.10               5.016308              33409                  1                    1                 0.000000             3.272727             0.069265             3.437773             1.947998      
        0.10               5.016308              33409                  1                    1                 3.272727             6.545455             0.291003             1.984747            22.587002      
        0.10               5.016308              33409                  1                    1                 6.545455             9.818182             0.530682             2.766198            70.293916      
        0.10               5.016308              33409                  1                    1                 9.818182            13.090909             0.653541             1.962574            62.988994      
        0.10               5.016308              33409                  1                    1                13.090909            16.363636             0.751582             0.028688             1.078072      
        0.10               5.016308              33409                  1                    1                16.363636            19.636364             0.455577             0.137280             3.127084      
        0.10               5.016308              33409                  1                    1                19.636364            22.909091             0.197410             0.248003             2.447916      
        0.10               5.016308              33409                  1                    1                22.909091            26.181818             0.058557             0.198318             0.580649      
        0.10               5.016308              33409                  1                    1                26.181818            29.454545            -0.060244             0.142535            -0.429342      
        0.10               5.016308              33409                  1                    1                29.454545            32.727273             0.177315             0.050126             0.444401      
        0.10               5.016308              33409                  1                    1                32.727273            36.000000             0.144857             0.009415             0.068194      
        0.20               5.016308              33733                  1                    1                 0.000000             3.129032             0.133620             1.766502             5.110488      
        0.20               5.016308              33733                  1                    1                 3.129032             6.258065             0.254808             2.254032            15.802989      
        0.20               5.016308              33733                  1                    1                 6.258065             9.387097             0.398879             2.784044            49.026075      
        0.20               5.016308              33733                  1                    1                 9.387097            12.516129             0.472610             1.784986            39.457915      
        0.20               5.016308              33733                  1                    1                12.516129            15.645161             0.337456             0.789600             8.009256      
        0.20               5.016308              33733                  1                    1                15.645161            18.774194             0.296887             0.554324             6.537166      
        0.20               5.016308              33733                  1                    1                18.774194            21.903226             0.042235             0.849722            -4.406998      
        0.20               5.016308              33733                  1                    1                21.903226            25.032258             0.018081             0.609423            -0.428203      
        0.20               5.016308              33733                  1                    1                25.032258            28.161290            -0.000547             0.429738            -0.964783      
        0.20               5.016308              33733                  1                    1                28.161290            31.290323            -0.036141             0.151976            -1.937980      
        0.20               5.016308              33733                  1                    1                31.290323            34.419355             0.020567             0.055364            -0.312507      
