        tauB               sizeBin             clust_size          interface_id       press_align_bub1     press_align_bub2     press_align_bub3     press_align_bub4     press_align_bub5  
        0.00               5.016308              39961                  1               10385.241826           0.000000             0.000000             0.000000             0.000000      
        0.10               5.016308              40524                  1               9432.478036            0.000000             0.000000             0.000000             0.000000      
        0.20               5.016308              41458                  1               7604.518200            0.000000             0.000000             0.000000             0.000000      
        0.30               5.016308              42389                  1               6153.024998            0.000000             0.000000             0.000000             0.000000      
        0.40               5.016308              43058                  1               5223.185745            0.000000             0.000000             0.000000             0.000000      
        0.50               5.016308              43508                  1               4134.288985            0.000000             0.000000             0.000000             0.000000      
        0.60               5.016308              43904                  1               3438.105250            0.000000             0.000000             0.000000             0.000000      
        0.70               5.016308              44135                  1               2902.304383            0.000000             0.000000             0.000000             0.000000      
        0.80               5.016308              44371                  2               2583.666620            0.000000             0.000000             0.000000             0.000000      
        0.90               5.016308              44299                  1               2513.918132            0.000000             0.000000             0.000000             0.000000      
        1.00               5.016308              44163                  1               2279.202878            0.000000             0.000000             0.000000             0.000000      
        1.10               5.016308              44060                  2               2209.492267            0.000000             0.000000             0.000000             0.000000      
        1.20               5.016308              43948                  1               2133.042611            0.000000             0.000000             0.000000             0.000000      
        1.30               5.016308              43866                  1               2139.775655            0.000000             0.000000             0.000000             0.000000      
        1.40               5.016308              43754                  1               2149.322689            0.000000             0.000000             0.000000             0.000000      
        1.50               5.016308              43654                  3               2096.692952            0.000000             0.000000             0.000000             0.000000      
        1.60               5.016308              43449                  1               2230.609442            0.000000             0.000000             0.000000             0.000000      
        1.70               5.016308              43486                  3               2256.612976            0.000000             0.000000             0.000000             0.000000      
        1.80               5.016308              43658                  1               2292.952264            0.000000             0.000000             0.000000             0.000000      
        1.90               5.016308              43705                  1               2128.320377            0.000000             0.000000             0.000000             0.000000      
        2.00               5.016308              43767                  1               2175.139268            0.000000             0.000000             0.000000             0.000000      
        2.10               5.016308              43881                  2               2262.651654            0.000000             0.000000             0.000000             0.000000      
        2.20               5.016308              43840                  1               2189.506427            0.000000             0.000000             0.000000             0.000000      
        2.30               5.016308              43724                  1               2106.122715            0.000000             0.000000             0.000000             0.000000      
