        tauB               sizeBin             clust_size          press_align          press_alignA     press_alignB
        0.00               5.016308              36494             5696.419269           -12.326400          5708.745669     
        0.10               5.016308              36898             5284.980232           -53.003368          5337.983600     
        0.20               5.016308              37707             4572.271601           -47.561202          4619.832802     
        0.30               5.016308              38516             3956.048733           -50.758539          4006.807271     
        0.40               5.016308              39314             3325.186520           -76.757807          3401.944327     
        0.50               5.016308              40077             2893.611207           -1.297498           2894.908705     
        0.60               5.016308              40724             2513.470284           -26.953220          2540.423504     
        0.70               5.016308              41231             2291.677090           -2.498406           2294.175497     
        0.80               5.016308              41619             2014.706819           -19.636574          2034.343392     
        0.90               5.016308              42056             1915.686884           -20.971355          1936.658239     
        1.00               5.016308              42495             1801.418653           -45.465874          1846.884527     
        1.10               5.016308              42871             1680.225033           -29.580326          1709.805360     
        1.20               5.016308              43317             1573.300807           -27.792967          1601.093774     
        1.30               5.016308              43414             1534.135584           -38.965721          1573.101305     
        1.40               5.016308              43515             1423.610381           -41.812504          1465.422885     
        1.50               5.016308              43508             1366.888371           -15.825285          1382.713656     
        1.60               5.016308              43552             1425.383337           -2.329402           1427.712739     
        1.70               5.016308              43314             1411.123799            1.677684           1409.446115     
        1.80               5.016308              43233             1418.715527           47.356556           1371.358971     
        1.90               5.016308              43063             1458.502863           71.226375           1387.276488     
        2.00               5.016308              43146             1445.180356           20.078923           1425.101434     
        2.10               5.016308              42993             1460.802795            8.231814           1452.570981     
        2.20               5.016308              42993             1402.492383           -8.647165           1411.139548     
        2.30               5.016308              42716             1376.498294           -26.728229          1403.226523     
        2.40               5.016308              42651             1398.056567           -6.632025           1404.688592     
        2.50               5.016308              42566             1514.466936           -23.689658          1538.156595     
        2.60               5.016308              42556             1588.946377           -3.355830           1592.302207     
        2.70               5.016308              42659             1493.928192           -22.769670          1516.697861     
        2.80               5.016308              42579             1531.884011           -4.634593           1536.518604     
        2.90               5.016308              42541             1529.364638            9.920768           1519.443870     
        3.00               5.016308              42436             1516.922955           -29.949377          1546.872332     
        3.10               5.016308              42410             1517.614232           -32.639626          1550.253858     
        3.20               5.016308              42585             1482.764069           -21.492677          1504.256746     
        3.30               5.016308              42488             1392.228307           -31.165445          1423.393752     
        3.40               5.016308              42572             1369.147039           -38.969951          1408.116990     
        3.50               5.016308              42473             1289.491558           -45.334956          1334.826514     
        3.60               5.016308              42390             1330.530896           -24.661999          1355.192894     
        3.70               5.016308              42358             1372.555057           -32.052577          1404.607634     
        3.80               5.016308              42362             1456.205106            8.651047           1447.554059     
        3.90               5.016308              42361             1542.679547           42.248767           1500.430780     
        4.00               5.016308              42413             1550.763684           24.542122           1526.221562     
        4.10               5.016308              42344             1460.007704           -27.875997          1487.883701     
        4.20               5.016308              42543             1536.603607           -24.505455          1561.109062     
        4.30               5.016308              42529             1569.624314           -21.523734          1591.148048     
        4.40               5.016308              42578             1440.022445           -63.069768          1503.092213     
        4.50               5.016308              42501             1521.559978            3.361585           1518.198393     
        4.60               5.016308              42575             1474.708043            6.125969           1468.582074     
        4.70               5.016308              42655             1476.160463           -21.721897          1497.882359     
        4.80               5.016308              42610             1497.696509           -11.427021          1509.123530     
        4.90               5.016308              42625             1520.675197           -2.600428           1523.275626     
        5.00               5.016308              42580             1560.881278           73.640877           1487.240401     
        5.10               5.016308              42733             1507.799167           66.350204           1441.448963     
        5.20               5.016308              42695             1480.629491           71.166184           1409.463307     
        5.30               5.016308              42680             1474.453200           47.771184           1426.682016     
        5.40               5.016308              42522             1458.123726           17.924122           1440.199604     
        5.50               5.016308              42509             1415.741244           55.505738           1360.235506     
        5.60               5.016308              42398             1492.477388           83.957647           1408.519741     
        5.70               5.016308              42207             1543.378382           88.404908           1454.973475     
        5.80               5.016308              42270             1551.239959           81.314243           1469.925716     
        5.90               5.016308              42253             1478.110652           17.492916           1460.617736     
        6.00               5.016308              42250             1479.831583           15.467024           1464.364558     
        6.10               5.016308              42220             1441.363668            4.858368           1436.505300     
        6.20               5.016308              42369             1504.247815            0.124904           1504.122911     
        6.30               5.016308              42374             1539.996611           -28.551621          1568.548232     
        6.40               5.016308              42317             1525.429020           19.811436           1505.617584     
        6.50               5.016308              42249             1533.024166           16.424957           1516.599209     
        6.60               5.016308              42316             1533.293573           43.935119           1489.358453     
        6.70               5.016308              42387             1602.226464           104.494634          1497.731830     
        6.80               5.016308              42420             1578.332408           77.716944           1500.615464     
        6.90               5.016308              42518             1538.915551           43.683572           1495.231979     
        7.00               5.016308              42492             1453.189601           -15.778656          1468.968257     
        7.10               5.016308              42425             1481.883659           15.514166           1466.369492     
        7.20               5.016308              42428             1459.957970            9.983654           1449.974315     
        7.30               5.016308              42508             1541.719208           39.206888           1502.512320     
        7.40               5.016308              42523             1521.455453           21.842034           1499.613419     
        7.50               5.016308              42342             1438.009631           -4.570447           1442.580079     
        7.60               5.016308              42185             1405.917279           -3.870807           1409.788086     
        7.70               5.016308              42126             1411.061336           12.198817           1398.862519     
        7.80               5.016308              42082             1418.549294           22.711074           1395.838219     
        7.90               5.016308              42010             1456.854470           13.234178           1443.620292     
        8.00               5.016308              42028             1418.881540           -37.575789          1456.457329     
        8.10               5.016308              41950             1439.461201           -51.583779          1491.044980     
        8.20               5.016308              41976             1539.542042           -43.795437          1583.337480     
        8.30               5.016308              42111             1528.673379           -40.346395          1569.019774     
        8.40               5.016308              42235             1483.567291           -39.198482          1522.765773     
        8.50               5.016308              42373             1480.008889           -14.076883          1494.085772     
        8.60               5.016308              42483             1578.212751            9.115376           1569.097375     
        8.70               5.016308              42474             1599.296225           27.143903           1572.152322     
        8.80               5.016308              42623             1539.145864           -33.828868          1572.974731     
        8.90               5.016308              42718             1527.701854           -10.534645          1538.236499     
        9.00               5.016308              42710             1441.943587           -29.746604          1471.690192     
        9.10               5.016308              42732             1489.655215            5.729043           1483.926172     
        9.20               5.016308              42793             1403.535051           -27.001825          1430.536876     
        9.30               5.016308              42805             1418.385881           -23.529354          1441.915235     
        9.40               5.016308              42812             1428.706127           -13.528006          1442.234132     
        9.50               5.016308              42767             1329.890527           -16.046931          1345.937458     
        9.60               5.016308              42652             1317.385378           -12.264563          1329.649941     
        9.70               5.016308              42582             1386.105968           15.969959           1370.136009     
        9.80               5.016308              42414             1436.055989           32.538774           1403.517215     
        9.90               5.016308              42486             1465.237706            1.893567           1463.344139     
       10.00               5.016308              42373             1432.317024           -20.339718          1452.656742     
       10.10               5.016308              42459             1495.671976            8.683720           1486.988256     
       10.20               5.016308              42524             1531.723667           51.465942           1480.257725     
       10.30               5.016308              42456             1521.459255           59.144813           1462.314442     
       10.40               5.016308              42408             1514.298196           46.382193           1467.916003     
       10.50               5.016308              42463             1516.650379           26.564766           1490.085613     
       10.60               5.016308              42608             1503.363671           15.760503           1487.603168     
       10.70               5.016308              42603             1522.732188            5.705726           1517.026462     
       10.80               5.016308              42570             1479.137083           -20.449837          1499.586920     
       10.90               5.016308              42581             1434.367857           -72.255077          1506.622934     
       11.00               5.016308              42746             1403.637044           -52.255138          1455.892183     
       11.10               5.016308              42776             1482.397206           -35.092526          1517.489732     
       11.20               5.016308              42788             1516.886273           -27.711454          1544.597727     
       11.30               5.016308              42719             1497.841341           -21.184900          1519.026241     
       11.40               5.016308              42681             1422.194597           -7.584198           1429.778794     
       11.50               5.016308              42725             1404.319637           -12.168119          1416.487755     
       11.60               5.016308              42709             1410.862179           14.403445           1396.458734     
       11.70               5.016308              42685             1377.107680            6.693784           1370.413897     
       11.80               5.016308              42695             1421.283544           -2.600324           1423.883868     
       11.90               5.016308              42606             1401.352650           -15.654681          1417.007331     
       12.00               5.016308              42668             1427.262039           25.582379           1401.679660     
       12.10               5.016308              42667             1417.134404            8.295284           1408.839119     
       12.20               5.016308              42615             1436.867062           -0.961712           1437.828774     
       12.30               5.016308              42532             1389.252988           -17.659902          1406.912890     
       12.40               5.016308              42643             1420.992073           -13.881898          1434.873971     
       12.50               5.016308              42737             1396.001570           -19.872898          1415.874467     
       12.60               5.016308              42616             1381.077300           -27.404355          1408.481655     
       12.70               5.016308              42545             1358.421184           -31.462022          1389.883206     
       12.80               5.016308              42454             1380.458945           17.482941           1362.976004     
       12.90               5.016308              42466             1423.947756           50.127537           1373.820219     
       13.00               5.016308              42461             1483.295323           48.141294           1435.154029     
       13.10               5.016308              42482             1439.724621            3.066206           1436.658416     
       13.20               5.016308              42512             1456.579483           16.150621           1440.428861     
       13.30               5.016308              42621             1504.380613           28.377465           1476.003148     
       13.40               5.016308              42550             1448.915545           -1.811840           1450.727385     
       13.50               5.016308              42653             1487.908246           -9.106378           1497.014624     
       13.60               5.016308              42756             1444.074959           -49.602519          1493.677478     
       13.70               5.016308              42703             1515.643100           -17.051538          1532.694638     
       13.80               5.016308              42618             1474.847833           24.447503           1450.400330     
       13.90               5.016308              42485             1427.403470           38.592020           1388.811450     
       14.00               5.016308              42455             1449.427118           25.020016           1424.407102     
       14.10               5.016308              42593             1415.928812            9.227713           1406.701099     
       14.20               5.016308              42628             1439.872279           40.972740           1398.899539     
       14.30               5.016308              42517             1459.241732           37.169298           1422.072433     
       14.40               5.016308              42616             1416.946123           12.403493           1404.542630     
       14.50               5.016308              42440             1400.987478           18.453552           1382.533925     
       14.60               5.016308              42293             1414.698446           11.047806           1403.650640     
       14.70               5.016308              42085             1412.985376           -2.237834           1415.223210     
       14.80               5.016308              41969             1430.686203            2.238184           1428.448020     
       14.90               5.016308              41862             1472.479412           14.189039           1458.290373     
       15.00               5.016308              41858             1509.534136           -24.538784          1534.072921     
       15.10               5.016308              42003             1455.536183           -37.966498          1493.502681     
       15.20               5.016308              41998             1498.400247            4.591379           1493.808868     
       15.30               5.016308              42155             1544.713069           -34.489589          1579.202659     
       15.40               5.016308              42254             1544.559132           -18.712516          1563.271648     
