        tauB               sizeBin             clust_size      press_align
        0.00               5.016308              39961             10435.824221    
        0.10               5.016308              40524             10014.609322    
        0.20               5.016308              41458             8281.332740     
        0.30               5.016308              42389             6788.674935     
        0.40               5.016308              43058             5435.968392     
        0.50               5.016308              43508             4479.041492     
        0.60               5.016308              43904             3736.708307     
        0.70               5.016308              44135             3247.240969     
        0.80               5.016308              44371             2761.637247     
        0.90               5.016308              44299             2581.557413     
        1.00               5.016308              44163             2396.500073     
        1.10               5.016308              44060             2305.364713     
        1.20               5.016308              43948             2240.296930     
        1.30               5.016308              43866             2250.390312     
        1.40               5.016308              43754             2185.656441     
        1.50               5.016308              43654             2231.891582     
        1.60               5.016308              43449             2328.891842     
        1.70               5.016308              43486             2351.665361     
        1.80               5.016308              43658             2437.743598     
        1.90               5.016308              43705             2388.609372     
        2.00               5.016308              43767             2302.101826     
        2.10               5.016308              43881             2416.341908     
        2.20               5.016308              43840             2392.338785     
        2.30               5.016308              43724             2227.243114     
        2.40               5.016308              43738             2168.011916     
        2.50               5.016308              43675             2204.894713     
        2.60               5.016308              43513             2317.909626     
        2.70               5.016308              43597             2295.658502     
        2.80               5.016308              43667             2331.992174     
        2.90               5.016308              43610             2328.286159     
        3.00               5.016308              43370             2201.543000     
        3.10               5.016308              43350             2217.235306     
        3.20               5.016308              43200             2229.843882     
        3.30               5.016308              43209             2337.514679     
        3.40               5.016308              43292             2352.109395     
        3.50               5.016308              43295             2309.762288     
        3.60               5.016308              43345             2318.554340     
        3.70               5.016308              43480             2391.105693     
        3.80               5.016308              43471             2304.822417     
        3.90               5.016308              43510             2342.476803     
        4.00               5.016308              43567             2317.843154     
        4.10               5.016308              43560             2295.566048     
        4.20               5.016308              43551             2340.045721     
        4.30               5.016308              43532             2378.459003     
        4.40               5.016308              43359             2243.513518     
        4.50               5.016308              43428             2318.854542     
        4.60               5.016308              43409             2323.599222     
        4.70               5.016308              43405             2316.392271     
        4.80               5.016308              43338             2286.354797     
        4.90               5.016308              43397             2333.380134     
        5.00               5.016308              43389             2324.332718     
        5.10               5.016308              43345             2363.479791     
        5.20               5.016308              43396             2357.151774     
        5.30               5.016308              43369             2336.783043     
        5.40               5.016308              43274             2323.071140     
        5.50               5.016308              43261             2387.744449     
        5.60               5.016308              43226             2556.078939     
        5.70               5.016308              43196             2514.837371     
        5.80               5.016308              43234             2581.366467     
        5.90               5.016308              43425             2433.003061     
        6.00               5.016308              43507             2381.182352     
        6.10               5.016308              43659             2281.549314     
        6.20               5.016308              43711             2358.727995     
        6.30               5.016308              43532             2289.381973     
        6.40               5.016308              43502             2246.636679     
        6.50               5.016308              43349             2293.142593     
        6.60               5.016308              43419             2359.441244     
        6.70               5.016308              43384             2461.118603     
        6.80               5.016308              43489             2657.824387     
        6.90               5.016308              43418             2562.868476     
        7.00               5.016308              43261             2467.283175     
        7.10               5.016308              43425             2489.745666     
        7.20               5.016308              43413             2507.160000     
        7.30               5.016308              43402             2517.111174     
        7.40               5.016308              43417             2401.663140     
        7.50               5.016308              43399             2420.412524     
        7.60               5.016308              43322             2380.533755     
        7.70               5.016308              43437             2365.586417     
        7.80               5.016308              43549             2407.459834     
        7.90               5.016308              43609             2364.259248     
        8.00               5.016308              43637             2276.035738     
        8.10               5.016308              43700             2289.876608     
        8.20               5.016308              43738             2413.851836     
        8.30               5.016308              43774             2303.821825     
        8.40               5.016308              43818             2234.244100     
        8.50               5.016308              43650             2250.879584     
        8.60               5.016308              43636             2147.779353     
        8.70               5.016308              43572             2148.812754     
        8.80               5.016308              43300             2147.878071     
        8.90               5.016308              43212             2289.051188     
        9.00               5.016308              42944             2339.779512     
        9.10               5.016308              42756             2472.412763     
        9.20               5.016308              42886             2491.218800     
        9.30               5.016308              43047             2654.641751     
        9.40               5.016308              43153             2507.594846     
        9.50               5.016308              43360             2562.648217     
        9.60               5.016308              43457             2334.217534     
        9.70               5.016308              43480             2357.678209     
        9.80               5.016308              43466             2337.571339     
        9.90               5.016308              43522             2275.251822     
       10.00               5.016308              43595             2337.019046     
       10.10               5.016308              43611             2248.785198     
       10.20               5.016308              43572             2275.331370     
       10.30               5.016308              43453             2352.019605     
       10.40               5.016308              43355             2308.519883     
       10.50               5.016308              43461             2228.105840     
       10.60               5.016308              43561             2259.367614     
       10.70               5.016308              43589             2236.434546     
       10.80               5.016308              43608             2324.847729     
       10.90               5.016308              43669             2350.438762     
       11.00               5.016308              43590             2278.588849     
       11.10               5.016308              43416             2297.828595     
       11.20               5.016308              43379             2341.358000     
       11.30               5.016308              43355             2381.723425     
       11.40               5.016308              43373             2331.749041     
       11.50               5.016308              43336             2209.769559     
       11.60               5.016308              43309             2295.895510     
       11.70               5.016308              43348             2433.959802     
       11.80               5.016308              43278             2484.755896     
       11.90               5.016308              43440             2449.915506     
       12.00               5.016308              43476             2478.751461     
       12.10               5.016308              43473             2357.271814     
       12.20               5.016308              43569             2365.426207     
       12.30               5.016308              43572             2240.342777     
       12.40               5.016308              43522             2330.851425     
       12.50               5.016308              43598             2296.403317     
       12.60               5.016308              43670             2285.737654     
       12.70               5.016308              43828             2280.250730     
       12.80               5.016308              44026             2163.602575     
       12.90               5.016308              43970             2150.945625     
       13.00               5.016308              43701             2153.830721     
       13.10               5.016308              43570             2138.426834     
       13.20               5.016308              43297             2160.086475     
       13.30               5.016308              43168             2217.758699     
       13.40               5.016308              43066             2245.382390     
       13.50               5.016308              43073             2294.149954     
       13.60               5.016308              43182             2324.692236     
       13.70               5.016308              43220             2345.894209     
       13.80               5.016308              43195             2418.241055     
       13.90               5.016308              43275             2464.900406     
       14.00               5.016308              43253             2466.487746     
       14.10               5.016308              43381             2279.162665     
       14.20               5.016308              43438             2290.873097     
       14.30               5.016308              43458             2230.645440     
       14.40               5.016308              43423             2146.889806     
       14.50               5.016308              43364             2163.403736     
       14.60               5.016308              43362             2232.568300     
       14.70               5.016308              43378             2207.233918     
       14.80               5.016308              43420             2186.213701     
       14.90               5.016308              43252             2250.576163     
       15.00               5.016308              43088             2148.901323     
       15.10               5.016308              42944             2308.363824     
       15.20               5.016308              42922             2342.656761     
       15.30               5.016308              42801             2327.611866     
       15.40               5.016308              42813             2345.989229     
       15.50               5.016308              42945             2417.212361     
       15.60               5.016308              43143             2354.992043     
       15.70               5.016308              43296             2364.305709     
       15.80               5.016308              43254             2365.074862     
       15.90               5.016308              43331             2417.153024     
       16.00               5.016308              43406             2429.465113     
       16.10               5.016308              43432             2379.095926     
       16.20               5.016308              43482             2352.051702     
       16.30               5.016308              43408             2294.491743     
       16.40               5.016308              43402             2184.704569     
       16.50               5.016308              43266             2255.647501     
       16.60               5.016308              43031             2304.987500     
       16.70               5.016308              42876             2342.990821     
       16.80               5.016308              42840             2341.025389     
       16.90               5.016308              42931             2465.212923     
       17.00               5.016308              42871             2389.732773     
       17.10               5.016308              42943             2333.355249     
       17.20               5.016308              42939             2299.057799     
       17.30               5.016308              43004             2259.335703     
       17.40               5.016308              43120             2206.231322     
       17.50               5.016308              43156             2142.150963     
       17.60               5.016308              43220             2193.170450     
       17.70               5.016308              42915             2181.747822     
       17.80               5.016308              42947             2174.449954     
       17.90               5.016308              42934             2189.444231     
       18.00               5.016308              43051             2247.558123     
       18.10               5.016308              43113             2325.712796     
