      tauB          sizeBin        clust_size        int_id          bub_id            Na              Nb            radius        radius_err        sa_ext          sa_int        edge_width    edge_width_err       NBin     
      0.00          5.016308         41911             1               1              7027           17591         93.486533        1.540285       604.306256      407.413341      31.836776        3.494990          740      
      0.10          5.016308         42340             1               1              6548           17728         83.056649        1.597317       541.025235      354.616642      28.606009        2.788719          604      
      0.20          5.016308         43112             1               1              6387           18701         84.445134        2.322379       557.044223      354.638586      30.068815        3.644376          631      
      0.30          5.016308         43799             1               1              5927           19362         85.133438        1.246878       554.608108      360.942432      29.592897        2.406790          634      
      0.40          5.016308         44260             1               1              4523           19813         86.467486        1.459570       566.862019      381.873871      28.157496        3.201473          628      
      0.50          5.016308         44518             2               2              3199           20076         88.057017        2.150491       581.448842      404.998550      27.133021        4.628086          627      
      0.60          5.016308         44768             1               1              878            19705         88.844857        2.238239       598.729377      432.043002      23.414981        4.442464          579      
      0.70          5.016308         44864             1               1              341            18855         89.457295        2.345626       600.922189      447.493585      21.521072        4.543154          552      
      0.80          5.016308         44717             1               1              397            18671         89.416720        1.772979       592.153397      456.239847      21.107807        4.166796          549      
      0.90          5.016308         44632             2               2              254            18283         90.101300        2.220996       593.043493      460.615901      20.794961        4.435460          546      
      1.00          5.016308         44446             2               2              412            18313         91.296986        3.146016       630.723352      459.896704      22.007426        5.762277          571      
      1.10          5.016308         44217             1               1              257            17360         90.530007        2.644993       613.346188      468.715017      19.927301        5.883993          535      
      1.20          5.016308         44084             1               1              155            17273         90.511764        3.889096       614.977779      471.596031      19.660556        6.417392          526      
      1.30          5.016308         43818             1               1              418            17473         90.701617        2.773917       609.301098      474.737570      20.442520        5.608623          551      
      1.40          5.016308         43654             1               1              325            17122         90.942213        2.527889       607.549619      469.674433      20.249909        5.528094          544      
      1.50          5.016308         43579             2               2              174            16909         90.794874        2.560396       604.616466      470.511847      19.625716        5.185470          530      
      1.60          5.016308         43539             2               2              367            17057         90.016278        3.079843       620.216837      469.810629      19.546655        5.750919          523      
      1.70          5.016308         43451             2               2              450            17070         89.700826        2.461546       600.976132      461.620783      19.554195        5.067489          525      
      1.80          5.016308         43383             1               1              399            16853         89.966159        2.184716       593.968915      460.709915      19.678419        4.858630          524      
      1.90          5.016308         43350             1               1              386            16737         90.009604        3.087499       604.650502      464.460585      19.551790        5.921112          524      
      2.00          5.016308         43560             1               1              618            17369         92.126727        4.611849       644.658790      466.322475      22.229822        7.882784          584      
      2.10          5.016308         43433             2               2              740            17336         89.770684        3.600487       606.127433      459.885012      20.524186        7.075007          536      
      2.20          5.016308         43376             1               1              841            16888         90.123731        3.295634       594.336612      456.966186      20.524475        7.141039          542      
      2.30          5.016308         43490             1               1              441            16258         89.178006        2.997556       585.447787      463.532169      18.419063        6.251897          496      
      2.40          5.016308         43538             1               1              447            16179         90.177275        3.211534       612.085878      468.408479      18.864491        6.313736          516      
      2.50          5.016308         43650             3               3              506            16944         91.760561        4.330857       638.445123      460.957026      21.116462        7.101606          559      
      2.60          5.016308         43750             1               1              305            16375         90.481749        3.697889       623.180006      468.522320      18.895644        6.446695          522      
      2.70          5.016308         43833             1               1              399            16277         91.358529        3.632311       614.128789      476.884814      19.331015        6.732982          531      
