    Timestep        gasArea         gasSigXX        gasSigXY        gasSigYX        gasSigYY        gasTrace        bulkArea       bulkSigXX       bulkSigXY       bulkSigYX       bulkSigYY       bulkTrace         Length          NDense    
     0.000         44844.129       92316.065        -456.802        -456.802       88362.645       89882.553       18450.287      11628584.831      1454.371        1454.371      11628063.383    11629778.478       489.1           28099     
     0.100         45857.714      1397651.897       8745.932        8745.932      1419559.533     1417351.647      17413.839      21675189.674     -24853.220      -24853.220     21920048.689    21772765.961       500.4           28929     
     0.200         45653.219      1293193.957      -19261.956      -19261.956     1291883.940     1273276.992      17519.262      27123732.042    -116010.457     -116010.457     27354651.254    27123181.191       522.9           29941     
     0.300         45372.514      1150175.593       8319.723        8319.723      1153303.840     1160059.439      17730.108      32073303.491    -206595.301     -206595.301     32368149.422    32014131.156       556.7           30913     
     0.400         45098.161      1038939.876       7485.587        7485.587      1037802.598     1045856.824      17899.039      36700946.021    -386406.385     -386406.385     36685381.802    36306757.526       590.6           31789     
     0.500         44893.666       927520.085      11543.754       11543.754       937762.835      944185.214      18170.852      40641560.399    -343996.977     -343996.977     40279923.293    40116744.869       547.7           32509     
     0.600         44502.457       821898.276       1147.712        1147.712       842539.489      833366.595      18499.823      43622887.155    -388229.102     -388229.102     43001275.873    42923852.412       566.9           33296     
     0.700         44071.875       776992.683       3652.552        3652.552       760951.418      772624.603      18962.160      45635564.684    -405038.678     -405038.678     44884061.484    44854774.406       564.6           34144     
     0.800         43458.389       685283.660       5508.283        5508.283       678115.296      687207.761      19371.150      47279162.256    -430799.023     -430799.023     46983870.292    46700717.251       616.5           35027     
     0.900         43247.543       624874.275      -3023.327       -3023.327       620371.326      619599.474      19769.979      48351479.513    -485046.519     -485046.519     48464195.789    47922791.132       556.7           35638     
     1.000         42820.771       555077.787      -2148.935       -2148.935       536613.173      543696.545      20129.433      49270044.979    -489443.998     -489443.998     49584574.514    48937865.749       572.5           36326     
     1.100         42480.369       495813.115       9515.188        9515.188       491813.280      503328.386      20477.456      50151963.511    -446693.744     -446693.744     50423650.333    49841113.178       574.8           36988     
