        tauB               sizeBin             clust_size           bulk_area            bulk_ndens         bulk_ndens_std          int_area            int_ndens          int_ndens_std           bub_area            bub_ndens          bub_ndens_std           gas_area            gas_ndens          gas_ndens_std    
        0.00               5.016308              44203             10769.912067           1.737619             0.094134           18897.672809           1.374296             0.554257             0.000000             0.000000             0.000000           35782.277942           0.148537             0.061821      
        0.10               5.016308              44444             7775.473899            2.286292             0.097683           16255.521484           1.659252             0.821114             0.000000             0.000000             0.000000           41418.867435           0.126778             0.073871      
        0.20               5.016308              44943             7725.147207            2.286817             0.097717           16834.278441           1.645809             0.786165             0.000000             0.000000             0.000000           40890.437170           0.113180             0.069942      
        0.30               5.016308              45283             8505.210931            2.220874             0.063922           16532.318290           1.625422             0.731381             0.000000             0.000000             0.000000           40412.333597           0.104894             0.066922      
        0.40               5.016308              45315             9209.784618            2.156837             0.083160           16305.848176           1.592189             0.696960             0.000000             0.000000             0.000000           39934.230024           0.104522             0.068083      
        0.50               5.016308              45419             9587.234807            2.098520             0.109481           16783.951749           1.535693             0.693158             0.000000             0.000000             0.000000           39078.676262           0.105070             0.065649      
        0.60               5.016308              45310             12455.856246           2.041610             0.111574           14343.107192           1.423192             0.690547             0.000000             0.000000             0.000000           38650.899381           0.107552             0.068432      
        0.70               5.016308              45197             12304.876170           1.997663             0.112142           15173.497608           1.398425             0.687970             0.000000             0.000000             0.000000           37971.489040           0.110609             0.068399      
        0.80               5.016308              45060             13915.330311           1.960859             0.106859           13512.716776           1.354280             0.670889             0.000000             0.000000             0.000000           38021.815732           0.116091             0.073663      
        0.90               5.016308              44834             14267.617154           1.928633             0.112640           12984.286511           1.374508             0.645873             0.000000             0.000000             0.000000           38197.959153           0.121368             0.072150      
        1.00               5.016308              44392             14569.577306           1.908360             0.108548           13110.103240           1.313567             0.673081             0.000000             0.000000             0.000000           37770.182272           0.131718             0.077222      
        1.10               5.016308              44100             13915.330311           1.893739             0.100935           14468.923922           1.279916             0.691433             0.000000             0.000000             0.000000           37065.608586           0.138376             0.079883      
        1.20               5.016308              43934             14418.597230           1.882638             0.103785           13311.410008           1.308577             0.665740             0.000000             0.000000             0.000000           37719.855580           0.144115             0.081282      
        1.30               5.016308              43758             14846.374111           1.872848             0.093005           12657.163013           1.308271             0.654079             0.000000             0.000000             0.000000           37946.325694           0.148526             0.080580      
        1.40               5.016308              43552             14368.270538           1.867031             0.095606           13361.736700           1.301403             0.671114             0.000000             0.000000             0.000000           37719.855580           0.153368             0.084737      
        1.50               5.016308              43341             14443.760576           1.861565             0.090760           15098.007571           1.157504             0.732618             0.000000             0.000000             0.000000           35908.094672           0.156956             0.082771      
        1.60               5.016308              43414             14720.557381           1.870106             0.092246           13537.880122           1.227888             0.705890             0.000000             0.000000             0.000000           37191.425315           0.157241             0.085786      
        1.70               5.016308              43586             14594.740652           1.878622             0.096373           13437.226738           1.259486             0.689353             0.000000             0.000000             0.000000           37417.895429           0.151211             0.080631      
        1.80               5.016308              43612             14368.270538           1.878862             0.088546           13789.513581           1.263569             0.680163             0.000000             0.000000             0.000000           37292.078699           0.149630             0.080097      
        1.90               5.016308              43437             14041.147041           1.882966             0.084782           13663.696851           1.298843             0.666537             0.000000             0.000000             0.000000           37745.018926           0.154034             0.082617      
        2.00               5.016308              43236             14091.473732           1.886673             0.089331           13185.593278           1.311962             0.669597             0.000000             0.000000             0.000000           38172.795807           0.160193             0.084727      
        2.10               5.016308              43174             13814.676927           1.890960             0.090410           13940.493657           1.275852             0.690006             0.000000             0.000000             0.000000           37694.692234           0.161588             0.083935      
        2.20               5.016308              42989             13563.043468           1.884017             0.093383           14393.433884           1.272455             0.687020             0.000000             0.000000             0.000000           37493.385467           0.163549             0.088528      
        2.30               5.016308              42966             14041.147041           1.882467             0.092298           13537.880122           1.281515             0.669620             0.000000             0.000000             0.000000           37870.835656           0.164216             0.084527      
        2.40               5.016308              42788             13588.206813           1.883251             0.097319           13235.919970           1.345354             0.647760             0.000000             0.000000             0.000000           38625.736035           0.170948             0.090743      
        2.50               5.016308              42673             13437.226738           1.888262             0.097304           13336.573354           1.346073             0.649833             0.000000             0.000000             0.000000           38676.062726           0.172587             0.086300      
        2.60               5.016308              42642             13638.533505           1.891406             0.093195           13764.350235           1.285059             0.676737             0.000000             0.000000             0.000000           38046.979078           0.171262             0.083337      
        2.70               5.016308              42675             13714.023543           1.885078             0.088518           13487.553430           1.301719             0.675108             0.000000             0.000000             0.000000           38248.285845           0.172321             0.089996      
        2.80               5.016308              42585             13814.676927           1.880681             0.087874           13110.103240           1.323864             0.651197             0.000000             0.000000             0.000000           38525.082651           0.172952             0.085672      
        2.90               5.016308              42591             13965.657003           1.885554             0.090294           12757.816397           1.323973             0.648413             0.000000             0.000000             0.000000           38726.389418           0.174971             0.088557      
        3.00               5.016308              42484             13210.756624           1.895652             0.087859           13915.330311           1.310066             0.674336             0.000000             0.000000             0.000000           38323.775883           0.175531             0.089601      
        3.10               5.016308              42622             13487.553430           1.903681             0.084911           13437.226738           1.314855             0.672083             0.000000             0.000000             0.000000           38525.082651           0.172771             0.088467      
        3.20               5.016308              42751             13537.880122           1.904582             0.087514           13386.900046           1.317781             0.675752             0.000000             0.000000             0.000000           38525.082651           0.170668             0.085061      
        3.30               5.016308              42940             13915.330311           1.894457             0.080907           13361.736700           1.292721             0.679644             0.000000             0.000000             0.000000           38172.795807           0.166742             0.084735      
        3.40               5.016308              43003             13739.186889           1.890578             0.080017           13990.820349           1.270119             0.694500             0.000000             0.000000             0.000000           37719.855580           0.165828             0.086026      
