      tauB          sizeBin        clust_size       Na_bulk         Nb_bulk        NBin_bulk         Na_gas          Nb_gas         NBin_gas         Na_int          Nb_int         NBin_int         Na_bub          Nb_bub         NBin_bub   
      0.00          5.016308         42649           18407             0              434              0              6705            1424            6566           18322            743              0               0               0       
      0.10          5.016308         43001           17722             0              314              0              6599            1652            7251           18428            635              0               0               0       
      0.20          5.016308         43697           19082             0              334              0              5858            1650            5891           19169            617              0               0               0       
      0.30          5.016308         44290           19051             0              343              0              5142            1603            5922           19885            655              0               0               0       
      0.40          5.016308         44602           21393             64             396              0              4922            1603            3580           20041            602              0               0               0       
      0.50          5.016308         44796           22632            182             433              0              4704            1572            2341           20141            596              0               0               0       
      0.60          5.016308         44851           23445            413             464              0              4580            1544            1528           20034            593              0               0               0       
      0.70          5.016308         44850           23792            1027            494              0              4524            1519            1181           19476            588              0               0               0       
      0.80          5.016308         44771           24478            1528            527              0              4517            1487            495            18982            587              0               0               0       
      0.90          5.016308         44735           24745            2330            557              0              4617            1477            228            18080            567              0               0               0       
      1.00          5.016308         44489           24632            2232            559              0              4770            1474            341            18025            568              0               0               0       
      1.10          5.016308         44183           24758            2739            576              0              5282            1524            215            17006            501              0               0               0       
      1.20          5.016308         44144           24895            2813            584              0              5118            1460             78            17096            557              0               0               0       
      1.30          5.016308         44039           24793            2582            579              0              5362            1502            180            17083            520              0               0               0       
      1.40          5.016308         43789           24826            2714            583              0              5659            1525            147            16654            493              0               0               0       
      1.50          5.016308         43486           24612            2296            570              0              5759            1497            361            16972            534              0               0               0       
      1.60          5.016308         43252           24527            2296            565              0              6061            1520            446            16670            516              0               0               0       
      1.70          5.016308         43322           24456            1925            554              0              5877            1486            517            17225            561              0               0               0       
      1.80          5.016308         43312           24587            2184            562              0              5845            1487            386            16998            552              0               0               0       
      1.90          5.016308         43364           24441            1762            550              0              5830            1482            532            17435            569              0               0               0       
      2.00          5.016308         43305           24776            2526            573              0              5964            1506            197            16537            522              0               0               0       
      2.10          5.016308         43555           24704            2377            568              0              5779            1495            269            16871            538              0               0               0       
      2.20          5.016308         43640           24781            2598            576              0              5633            1479            192            16796            546              0               0               0       
      2.30          5.016308         43622           24874            2773            583              0              5606            1496             99            16648            522              0               0               0       
      2.40          5.016308         43555           24786            2930            585              0              5838            1525            187            16259            491              0               0               0       
      2.50          5.016308         43356           24610            2196            566              0              5934            1508            363            16897            527              0               0               0       
      2.60          5.016308         43327           24542            1794            555              0              5948            1509            431            17285            537              0               0               0       
      2.70          5.016308         43329           24400            1826            552              0              5831            1476            573            17370            573              0               0               0       
      2.80          5.016308         43344           24476            2197            562              1              5919            1515            496            16911            524              0               0               0       
      2.90          5.016308         43349           24356            1966            555              2              5772            1471            615            17289            575              0               0               0       
      3.00          5.016308         43191           24186            1977            552              2              6049            1511            785            17001            538              0               0               0       
      3.10          5.016308         43352           24640            2630            575              1              5905            1498            332            16492            528              0               0               0       
      3.20          5.016308         43485           24545            2612            574              1              5783            1500            427            16632            527              0               0               0       
      3.30          5.016308         43596           24792            3014            589              3              5700            1501            178            16313            511              0               0               0       
      3.40          5.016308         43621           24451            2064            561              3              5723            1499            519            17240            541              0               0               0       
      3.50          5.016308         43534           24407            2247            564              3              5842            1505            563            16938            532              0               0               0       
      3.60          5.016308         43498           24504            2427            571              3              5743            1485            466            16857            545              0               0               0       
      3.70          5.016308         43348           24593            2479            573              2              5975            1513            378            16573            515              0               0               0       
      3.80          5.016308         43358           24480            2558            572              2              5911            1479            491            16558            550              0               0               0       
      3.90          5.016308         43319           24582            2471            572              2              6093            1521            389            16463            508              0               0               0       
      4.00          5.016308         43182           24505            2262            564              2              6074            1504            466            16691            533              0               0               0       
      4.10          5.016308         43075           24587            1983            560              3              6314            1533            383            16730            508              0               0               0       
