        tauB               sizeBin             clust_size          interface_id            bub_id               r_min                r_max                align                alignA               alignB              num_dens            num_densA            num_densB              press                pressA               pressB       
        0.00               5.016308                2                    1                    0                 0.000000             3.045615            -0.109905            -0.109905               nan                1.887395             1.887395             0.000000            -93.345707           -93.345707            0.000000      
        0.00               5.016308                2                    1                    0                 3.045615             6.091230            -0.019819            -0.019819               nan                1.784446             1.784446             0.000000            -15.914660           -15.914660            0.000000      
        0.00               5.016308                2                    1                    0                 6.091230             9.136846            -0.015530            -0.015530               nan                1.811899             1.811899             0.000000            -12.662423           -12.662423            0.000000      
        0.00               5.016308                2                    1                    0                 9.136846            12.182461             0.027265             0.027265               nan                1.823665             1.823665             0.000000            22.375181            22.375181             0.000000      
        0.00               5.016308                2                    1                    0                12.182461            15.228076            -0.016079            -0.016079               nan                1.738691             1.738691             0.000000            -12.580196           -12.580196            0.000000      
        0.00               5.016308                2                    1                    0                15.228076            18.273691             0.036399             0.036399               nan                1.834361             1.834361             0.000000            30.045733            30.045733             0.000000      
        0.00               5.016308                2                    1                    0                18.273691            21.319307             0.050381             0.050381               nan                1.800284             1.800284             0.000000            40.815125            40.815125             0.000000      
        0.00               5.016308                2                    1                    0                21.319307            24.364922            -0.001928            -0.001928               nan                1.809611             1.809611             0.000000            -1.569761            -1.569761             0.000000      
        0.00               5.016308                2                    1                    0                24.364922            27.410537             0.020800             0.020800               nan                1.822799             1.822799             0.000000            17.061150            17.061150             0.000000      
        0.00               5.016308                2                    1                    0                27.410537            30.456152            -0.000691            -0.000691               nan                1.773609             1.773609             0.000000            -0.551365            -0.551365             0.000000      
        0.00               5.016308                2                    1                    0                30.456152            33.501768            -0.022072            -0.022072               nan                1.820396             1.820396             0.000000            -18.081311           -18.081311            0.000000      
        0.00               5.016308                2                    1                    0                33.501768            36.547383            -0.017524            -0.017524               nan                1.797874             1.797874             0.000000            -14.177307           -14.177307            0.000000      
        0.00               5.016308                2                    1                    0                36.547383            39.592998            -0.034152            -0.034152               nan                1.799545             1.799545             0.000000            -27.655974           -27.655974            0.000000      
        0.00               5.016308                2                    1                    0                39.592998            42.638613             0.009724             0.009724               nan                1.809865             1.809865             0.000000             7.919330             7.919330             0.000000      
        0.00               5.016308                2                    1                    0                42.638613            45.684229             0.005491             0.005491               nan                1.792729             1.792729             0.000000             4.429563             4.429563             0.000000      
        0.00               5.016308                2                    1                    0                45.684229            48.729844            -0.014278            -0.014278               nan                1.824297             1.824297             0.000000            -11.721198           -11.721198            0.000000      
        0.00               5.016308                2                    1                    0                48.729844            51.775459            -0.015821            -0.015821               nan                1.794845             1.794845             0.000000            -12.777968           -12.777968            0.000000      
        0.00               5.016308                2                    1                    0                51.775459            54.821074            -0.025351            -0.025351               nan                1.809938             1.809938             0.000000            -20.647860           -20.647860            0.000000      
        0.00               5.016308                2                    1                    0                54.821074            57.866690             0.024317             0.024317               nan                1.790938             1.790938             0.000000            19.597227            19.597227             0.000000      
        0.00               5.016308                2                    1                    0                57.866690            60.912305            -0.002556            -0.002556               nan                1.793245             1.793245             0.000000            -2.062410            -2.062410             0.000000      
        0.00               5.016308                2                    1                    0                60.912305            63.957920            -0.000190            -0.000190               nan                1.813740             1.813740             0.000000            -0.155259            -0.155259             0.000000      
        0.00               5.016308                2                    1                    0                63.957920            67.003535             0.188606            -0.009844             0.999997             1.786840             1.435697             0.351143            151.654242           -6.359721            158.013963     
        0.00               5.016308                2                    1                    0                67.003535            70.049151             0.999997               nan                0.999997             1.759281             0.000000             1.759281            791.673845            0.000000            791.673845     
        0.00               5.016308                2                    1                    0                70.049151            73.094766             0.999997               nan                0.999997             1.810001             0.000000             1.810001            814.497839            0.000000            814.497839     
        0.00               5.016308                2                    1                    0                73.094766            76.140381             0.999997               nan                0.999997             1.748729             0.000000             1.748729            786.925776            0.000000            786.925776     
        0.00               5.016308                2                    1                    0                76.140381            79.185996             0.999997               nan                0.999997             1.734654             0.000000             1.734654            780.591856            0.000000            780.591856     
        0.00               5.016308                2                    1                    0                79.185996            82.231612             0.999997               nan                0.999997             1.707396             0.000000             1.707396            768.325952            0.000000            768.325952     
        0.00               5.016308                2                    1                    0                82.231612            85.277227             0.999997               nan                0.999997             1.665899             0.000000             1.665899            749.652158            0.000000            749.652158     
        0.00               5.016308                2                    1                    0                85.277227            88.322842             0.999997               nan                0.999997             1.562895             0.000000             1.562895            703.300710            0.000000            703.300710     
        0.00               5.016308                2                    1                    0                88.322842            91.368457             0.975110               nan                0.975110             1.219682             0.000000             1.219682            535.195684            0.000000            535.195684     
        0.00               5.016308                2                    1                    0                91.368457            94.414072             0.022338               nan                0.022338             0.147954             0.000000             0.147954             1.487278             0.000000             1.487278      
        0.00               5.016308                2                    1                    0                94.414072            97.459688            -0.047179               nan               -0.047179             0.121469             0.000000             0.121469            -2.578837             0.000000            -2.578837      
        0.00               5.016308                2                    1                    0                97.459688            100.505303            0.026512               nan                0.026512             0.114564             0.000000             0.114564             1.366777             0.000000             1.366777      
        0.00               5.016308                2                    1                    0                100.505303           103.550918           -0.002730               nan               -0.002730             0.125997             0.000000             0.125997            -0.154768             0.000000            -0.154768      
        0.00               5.016308                2                    1                    0                103.550918           106.596533            0.030368               nan                0.030368             0.122345             0.000000             0.122345             1.671909             0.000000             1.671909      
        0.00               5.016308                2                    1                    0                106.596533           109.642149           -0.006204               nan               -0.006204             0.118415             0.000000             0.118415            -0.330608             0.000000            -0.330608      
        0.00               5.016308                2                    1                    0                109.642149           112.687764            0.091065               nan                0.091065             0.123633             0.000000             0.123633             5.066378             0.000000             5.066378      
        0.00               5.016308                2                    1                    0                112.687764           115.733379           -0.040714               nan               -0.040714             0.115760             0.000000             0.115760            -2.120886             0.000000            -2.120886      
        0.00               5.016308                2                    1                    0                115.733379           118.778994           -0.074834               nan               -0.074834             0.128352             0.000000             0.128352            -4.322281             0.000000            -4.322281      
        0.00               5.016308                2                    1                    0                118.778994           121.824610            0.070742               nan                0.070742             0.105989             0.000000             0.105989             3.374043             0.000000             3.374043      
        0.00               5.016308                2                    1                    0                121.824610           124.870225            0.018141               nan                0.018141             0.105914             0.000000             0.105914             0.864622             0.000000             0.864622      
        0.00               5.016308                2                    1                    0                124.870225           127.915840           -0.020531               nan               -0.020531             0.122381             0.000000             0.122381            -1.130661             0.000000            -1.130661      
