        tauB               sizeBin             clust_size          interface_id       press_align_bub1     press_align_bub2     press_align_bub3     press_align_bub4     press_align_bub5  
        0.00               5.016308              38893                  1               7578.127127            0.000000             0.000000             0.000000             0.000000      
        0.10               5.016308              38976                  1               6419.072785            0.000000             0.000000             0.000000             0.000000      
        0.20               5.016308              39449                  1               4792.999640            0.000000             0.000000             0.000000             0.000000      
        0.30               5.016308              39887                  1               3732.324443            0.000000             0.000000             0.000000             0.000000      
        0.40               5.016308              40260                  1               3013.666233            0.000000             0.000000             0.000000             0.000000      
        0.50               5.016308              40588                  1               2478.941330            0.000000             0.000000             0.000000             0.000000      
        0.60               5.016308              40788                  1               1836.886044            0.000000             0.000000             0.000000             0.000000      
        0.70               5.016308              40949                  1               1403.630476            0.000000             0.000000             0.000000             0.000000      
        0.80               5.016308              40964                  1               1362.631722            0.000000             0.000000             0.000000             0.000000      
        0.90               5.016308              41018                  2               1140.438484            0.000000             0.000000             0.000000             0.000000      
        1.00               5.016308              41050                  3               1076.002321            0.000000             0.000000             0.000000             0.000000      
        1.10               5.016308              40964                  3               1055.612019           -93.001415           50.882931            107.048946            0.000000      
        1.20               5.016308              40806                  2                973.827060           52.778318             0.000000             0.000000             0.000000      
        1.30               5.016308              40691                  4                912.831333           -23.914396            0.000000             0.000000             0.000000      
        1.40               5.016308              40344                  5                487.400871           -12.298674           44.558375             0.000000             0.000000      
        1.50               5.016308              40269                  5                919.172325           -4.424564            -21.984947            2.632366             0.000000      
        1.60               5.016308              40166                  2                398.740291           -3.374102             4.312295             0.000000             0.000000      
        1.70               5.016308              39970                  2                973.368202            0.000000             0.000000             0.000000             0.000000      
        1.80               5.016308              39812                  3               1018.739949            2.204511             0.000000             0.000000             0.000000      
        1.90               5.016308              39626                  1               1135.409140            0.000000             0.000000             0.000000             0.000000      
        2.00               5.016308              39428                  2               1159.654177            0.000000             0.000000             0.000000             0.000000      
        2.10               5.016308              39542                  1               1132.626955            0.000000             0.000000             0.000000             0.000000      
        2.20               5.016308              39477                  1               1089.814731            0.000000             0.000000             0.000000             0.000000      
        2.30               5.016308              39546                  2               1097.253499           49.193504             0.000000             0.000000             0.000000      
        2.40               5.016308              39571                  2               1058.798602           -19.489329            0.000000             0.000000             0.000000      
