        tauB               sizeBin             clust_size          press_align          press_alignA     press_alignB
        0.00               5.016308              42293             10489.091555         1052.840430          9436.251125     
        0.10               5.016308              42623             9746.617659           862.875458          8883.742201     
        0.20               5.016308              43167             7517.096548           666.682747          6850.413801     
        0.30               5.016308              43437             5712.176632           525.999732          5186.176900     
        0.40               5.016308              43439             4531.539316           438.253289          4093.286027     
        0.50               5.016308              43445             3947.134564           335.193657          3611.940907     
        0.60               5.016308              43200             3196.778069           264.603934          2932.174135     
        0.70               5.016308              42933             2490.461068           195.660940          2294.800128     
        0.80               5.016308              42693             2351.195547           146.272412          2204.923135     
        0.90               5.016308              42400             2176.254212           108.530859          2067.723353     
        1.00               5.016308              41992             2176.114676           56.104735           2120.009941     
        1.10               5.016308              41696             2071.466248           32.163330           2039.302919     
        1.20               5.016308              41326             2347.484465           10.906357           2336.578108     
        1.30               5.016308              40910             2311.028071            0.318591           2310.709480     
        1.40               5.016308              40701             2265.960686            3.499452           2262.461234     
        1.50               5.016308              40450             2190.553582            9.620650           2180.932933     
        1.60               5.016308              40240             2261.335591           38.511017           2222.824575     
        1.70               5.016308              39725             2385.466139           41.962448           2343.503691     
        1.80               5.016308              39614             2390.857570           50.166699           2340.690871     
        1.90               5.016308              39162             2488.188705           29.205319           2458.983386     
        2.00               5.016308              39243             2762.512950           18.454728           2744.058222     
        2.10               5.016308              38937             2663.696378            2.802105           2660.894273     
        2.20               5.016308              38706             2925.545849           37.486662           2888.059188     
        2.30               5.016308              38900             3108.823377           39.746346           3069.077031     
        2.40               5.016308              39230             3115.438824           34.260731           3081.178093     
        2.50               5.016308              39106             2927.353146           44.162637           2883.190509     
        2.60               5.016308              38690             3032.376666           74.240822           2958.135844     
        2.70               5.016308              38688             2954.709418           36.096784           2918.612635     
        2.80               5.016308              39019             3115.636074           75.954927           3039.681146     
        2.90               5.016308              39268             3003.718257           23.748930           2979.969327     
        3.00               5.016308              39364             2949.629404           -25.902286          2975.531689     
        3.10               5.016308              39283             3140.715637           -30.590579          3171.306216     
