        tauB               sizeBin             clust_size      press_align
        0.00               5.016308              43110             11728.266741    
        0.10               5.016308              43255             10679.558417    
        0.20               5.016308              43752             8279.816019     
        0.30               5.016308              44159             6467.556484     
        0.40               5.016308              44383             4963.617681     
        0.50               5.016308              44551             3712.137746     
        0.60               5.016308              44536             2852.492443     
        0.70               5.016308              44549             2487.530698     
        0.80               5.016308              44565             2187.174130     
        0.90               5.016308              44360             2148.090446     
        1.00               5.016308              44197             1865.097997     
        1.10               5.016308              43989             1996.942506     
        1.20               5.016308              43604             1926.089715     
        1.30               5.016308              43379             1736.382577     
        1.40               5.016308              43013             1775.599702     
        1.50               5.016308              42814             1492.750583     
        1.60               5.016308              42683             1432.156089     
        1.70               5.016308              42564             1602.744872     
        1.80               5.016308              42451             1664.314610     
        1.90               5.016308              42366             1923.391386     
        2.00               5.016308              42311             1678.228713     
        2.10               5.016308              42207             1807.483373     
        2.20               5.016308              42031             1800.320410     
        2.30               5.016308              41824             1809.293018     
        2.40               5.016308              41968             1978.822811     
        2.50               5.016308              42179             2112.773764     
        2.60               5.016308              42315             1868.907832     
        2.70               5.016308              42508             1953.809055     
        2.80               5.016308              42798             1875.438792     
        2.90               5.016308              42902             1850.073200     
        3.00               5.016308              42693             1855.236187     
        3.10               5.016308              42644             1739.954713     
        3.20               5.016308              42599             1993.698111     
        3.30               5.016308              42536             2004.100723     
        3.40               5.016308              42358             1919.517432     
        3.50               5.016308              42154             1962.224826     
        3.60               5.016308              42213             2209.478462     
        3.70               5.016308              42208             2288.822083     
        3.80               5.016308              42110             2349.912211     
        3.90               5.016308              42193             2177.466616     
        4.00               5.016308              42139             2082.315723     
        4.10               5.016308              42151             1949.235549     
        4.20               5.016308              42115             2099.987056     
        4.30               5.016308              42059             2006.571805     
        4.40               5.016308              42262             1932.900450     
        4.50               5.016308              42329             1874.158298     
        4.60               5.016308              42180             2112.452005     
        4.70               5.016308              42150             2368.436871     
        4.80               5.016308              42207             2190.180992     
        4.90               5.016308              42305             2165.336625     
        5.00               5.016308              42374             2246.916611     
        5.10               5.016308              42589             2215.138654     
        5.20               5.016308              42586             2206.383919     
        5.30               5.016308              42631             2117.340071     
        5.40               5.016308              42531             2459.158306     
        5.50               5.016308              42511             2396.346322     
        5.60               5.016308              42447             2368.141907     
        5.70               5.016308              42551             2219.651521     
        5.80               5.016308              42567             2111.259209     
        5.90               5.016308              42521             1793.049097     
        6.00               5.016308              42306             1823.335806     
        6.10               5.016308              42104             1905.916271     
        6.20               5.016308              42025             1998.281374     
        6.30               5.016308              42066             2014.626075     
        6.40               5.016308              42186             2079.720179     
        6.50               5.016308              42251             2176.022343     
        6.60               5.016308              42157             2114.444487     
        6.70               5.016308              42241             2341.752895     
        6.80               5.016308              42163             2202.132739     
        6.90               5.016308              42355             2167.732903     
        7.00               5.016308              42367             2256.598602     
        7.10               5.016308              42281             2184.915016     
        7.20               5.016308              42217             2334.567756     
        7.30               5.016308              42058             2261.047652     
        7.40               5.016308              42083             2255.795829     
        7.50               5.016308              42035             2161.751060     
        7.60               5.016308              41986             2137.352564     
        7.70               5.016308              42170             2562.482663     
        7.80               5.016308              42236             2663.754198     
        7.90               5.016308              42322             2577.296276     
        8.00               5.016308              42458             2478.503343     
        8.10               5.016308              42561             2465.756229     
        8.20               5.016308              42514             2234.753797     
        8.30               5.016308              42561             2297.683749     
        8.40               5.016308              42424             2407.562428     
        8.50               5.016308              42318             2306.572137     
        8.60               5.016308              42368             2137.604683     
        8.70               5.016308              42454             2101.597148     
        8.80               5.016308              42363             2065.133117     
        8.90               5.016308              42339             2216.730309     
        9.00               5.016308              42497             2075.957650     
        9.10               5.016308              42499             1791.108809     
        9.20               5.016308              42618             1820.930346     
        9.30               5.016308              42507             1766.394366     
        9.40               5.016308              42464             1766.665037     
        9.50               5.016308              42546             2065.090741     
        9.60               5.016308              42598             2058.986942     
        9.70               5.016308              42659             2019.274844     
        9.80               5.016308              42785             2015.691778     
        9.90               5.016308              42787             2149.844630     
       10.00               5.016308              42645             2053.073600     
       10.10               5.016308              42741             2141.823062     
       10.20               5.016308              42782             2174.987692     
       10.30               5.016308              42757             2175.283105     
       10.40               5.016308              42796             2141.581888     
       10.50               5.016308              42788             2068.171223     
       10.60               5.016308              42606             1885.028618     
       10.70               5.016308              42475             1870.576373     
       10.80               5.016308              42427             2087.396473     
       10.90               5.016308              42269             1930.312479     
       11.00               5.016308              42154             1815.756118     
       11.10               5.016308              42179             1742.760035     
       11.20               5.016308              42222             1683.028737     
       11.30               5.016308              42136             1815.831723     
       11.40               5.016308              42085             2039.375046     
       11.50               5.016308              42113             2136.041508     
       11.60               5.016308              42263             2133.259018     
       11.70               5.016308              42423             2035.454598     
       11.80               5.016308              42504             1994.820355     
       11.90               5.016308              42298             2007.713071     
       12.00               5.016308              42415             1833.914019     
       12.10               5.016308              42423             1868.597124     
       12.20               5.016308              42434             1859.071407     
       12.30               5.016308              42449             1908.394227     
       12.40               5.016308              42473             2134.096141     
       12.50               5.016308              42459             2121.695270     
       12.60               5.016308              42453             2237.994245     
