      tauB          sizeBin        clust_size        int_id          bub_id            Na              Nb            radius        radius_err        sa_ext          sa_int        edge_width    edge_width_err       NBin     
      0.00          5.016308         36779             1               1             13168           12912         90.715650        1.747689       582.958876      369.889839      38.664580        4.951024          800      
      0.10          5.016308         36820             1               1             12733           12655         84.619671        1.330228       550.066407      315.871080      36.145883        2.853786          708      
      0.20          5.016308         37179             1               1             12962           12919         85.457067        3.049380       571.111900      301.845640      38.414081        4.150415          741      
      0.30          5.016308         37642             1               1             13197           12904         87.341151        4.270761       641.691615      314.718944      39.196169        5.772326          778      
      0.40          5.016308         38195             1               1             13396           12775         88.010839        5.050943       653.427527      319.485246      38.781100        6.896841          770      
      0.50          5.016308         38654             2               2             12791           12311         88.826337        3.338347       599.413127      348.728417      35.902939        5.640466          761      
      0.60          5.016308         38975             2               2             11510           11706         93.633899        8.583542       708.265427      401.513574      35.831417       12.510285          758      
      0.70          5.016308         39323             1               1              9651           10158         111.350352       2.615239       25.268353       467.540658      47.437379        6.755308          692      
      0.80          5.016308         39624             1               1              9472            9531         88.674362       19.956849       508.981036      461.758524      22.369460       23.866544          683      
      0.90          5.016308         39865             1               1              8652            8505         92.974960        3.350683       628.669776      460.246666      23.529148        5.366215          614      
      1.00          5.016308         40164             4               4              8384            7729         94.584758        6.068138       683.518116      479.583230      22.953086        8.310963          598      
      1.10          5.016308         40299             1               1              8072            7388         93.900394        5.225265       671.088649      491.243181      20.753775        7.874805          561      
      1.20          5.016308         40504             2               2              8174            7758         94.484187        3.552770       645.226275      484.385981      21.379229        6.298136          595      
      1.30          5.016308         40602             1               1              8390            7871         125.880911       5.286714       55.205995       483.572950      52.385777        8.259582          624      
      1.40          5.016308         40771             1               1              8220            7432         93.721506        7.347756       267.750407      499.629723      18.991446        9.959147          585      
      1.50          5.016308         40876             2               2              8514            7616         95.299024        2.855233       633.427471      509.399701      20.917422        6.775812          587      
      1.50          5.016308         40876             2               4               72              80          11.594571        2.659999       85.066654        0.000000       11.594571        2.659999           30      
      1.50          5.016308         40876             2               1               84              66           9.648759        2.102672       65.081546        0.000000        9.648759        2.102672           22      
      1.60          5.016308         40808             2               2              8145            7380         94.866239        3.635110       660.296158      515.628221      19.754839        6.742062          563      
      1.70          5.016308         40647             1               1              8066            7160         94.128516        3.132032       658.285714      501.412183      18.775190        5.636206          537      
      1.70          5.016308         40647             1               2               57              54           6.772881        2.415042       54.243081        0.000000        6.772881        2.415042           15      
      1.80          5.016308         40594             1               1              8861            7805         94.542283        2.795966       631.702396      490.045884      20.937117        5.252555          589      
      1.80          5.016308         40594             1               3               62              50           8.481466        3.551471       69.569870        0.000000        8.481466        3.551471           18      
      1.90          5.016308         40405             3               3              8779            8018         95.095477        4.374062       659.835997      490.495730      21.500126        7.076021          619      
      1.90          5.016308         40405             3               8              116             119          14.448657        4.300481       109.305768       0.000000       14.448657        4.300481           42      
      2.00          5.016308         40199             2               2              9453            8173         98.773907        9.261036       772.625645      493.519179      26.078113       12.472141          660      
      2.10          5.016308         40110             4               4              8861            7914         95.905550        5.225525       683.879779      498.567890      22.699654        8.407424          610      
      2.10          5.016308         40110             4               2               61              69          10.305175        4.904958       86.711396        0.000000       10.305175        4.904958           24      
      2.10          5.016308         40110             4               3               58              62           7.268255        3.630441       54.506421        0.000000        7.268255        3.630441           16      
      2.20          5.016308         40087             1               1              8300            7553         95.035106        4.481288       656.594199      515.419882      20.291972        9.164659          573      
      2.30          5.016308         40049             1               1              7871            7471         94.021470        3.737564       641.650849      514.941460      19.029456        7.840292          546      
      2.40          5.016308         39943             5               5              8005            8094         96.129934        5.283217       682.686146      513.023873      21.890215       10.081538          611      
      2.40          5.016308         39943             5               1              114             110          12.153141        4.675039       90.384759        0.000000       12.153141        4.675039           34      
      2.40          5.016308         39943             5               3               81             122          76.691768       39.931884       689.843134       0.000000       76.691768       39.931884           33      
      2.40          5.016308         39943             5               4               62              75           9.904668        3.981055       103.995924       0.000000        9.904668        3.981055           23      
      2.50          5.016308         40008             5               5              7955            8588         95.684523        4.292158       678.060641      511.352070      21.984943        9.267727          605      
