    Timestep        gasArea         gasSigXX        gasSigXY        gasSigYX        gasSigYY        gasTrace        bulkArea       bulkSigXX       bulkSigXY       bulkSigYX       bulkSigYY       bulkTrace         Length          NDense    
     0.000         52355.832       246037.594       251.171         251.171        249224.997      247882.466      11338.683      5281350.329       1199.537        1199.537      5277935.948     5280842.675        404.6           16910     
     0.100         53924.475      1628706.123       -386.732        -386.732      1642320.769     1635126.714       9871.653      16218733.042     265800.392      265800.392     16396609.872    16573471.849       384.3           16792     
     0.200         54178.506      1652095.410      -1097.992       -1097.992      1660369.218     1655134.321       9561.735      21504122.661     388196.273      388196.273     21138830.097    21709672.652       404.6           16980     
     0.300         53829.213      1647216.303      -12446.088      -12446.088     1654966.935     1638645.531       9820.847      20854747.098     279365.861      279365.861     19782279.840    20597879.329       421.5           17342     
     0.400         53399.901      1664046.127      -2398.500       -2398.500      1646495.046     1652872.087      10161.248      18547215.908     166949.115      166949.115     17658969.141    18270041.639       451.9           17644     
     0.500         52856.274      1609377.001      -19407.602      -19407.602     1587908.910     1579235.353      10548.646      16281759.478     120017.761      120017.761     15385138.506    15953466.753       495.9           17995     
     0.600         52402.828      1571530.027      -1166.964       -1166.964      1583242.451     1576219.275      10914.451      14507785.276     82114.011       82114.011      13734452.341    14203232.820       520.7           18310     
     0.700         52070.047      1583824.658       8162.523        8162.523      1575021.797     1587585.750      11200.236      13154096.151     84681.719       84681.719      12482116.604    12902788.097       537.6           18544     
     0.800         51579.767      1576098.204      -7640.414       -7640.414      1584860.663     1572839.020      11557.150      12104088.733     86124.587       86124.587      11544453.234    11910395.570       560.1           18871     
     0.900         51125.051      1560628.837       8902.899        8902.899      1584903.938     1581669.286      11806.100      11322834.991     61208.196       61208.196      10865693.399    11155472.391       632.3           19206     
     1.000         50854.508      1541982.050       452.690         452.690       1542081.302     1542484.366      12008.055      10717268.186     26992.643       26992.643      10254604.901    10512929.186       646.9           19411     
     1.100         50526.808      1527186.452      -1103.558       -1103.558      1532734.293     1528856.814      12199.849      10211272.676    -124240.067     -124240.067     9646858.067     9804825.304        683.0           19627     
     1.200         50655.093      1526935.120       258.468         258.468       1522393.464     1524922.760      12345.917      9906168.197      -34558.860      -34558.860     9309520.745     9573285.611        587.2           19573     
     1.300         50196.567      1526140.644       8237.912        8237.912      1508656.701     1525636.584      12606.299      9545518.483      -67251.716      -67251.716     8807210.755     9109112.903        667.2           19871     
     1.400         49971.749      1508815.236      -1882.655       -1882.655      1512129.910     1508589.919      12671.077      9049570.960      -22822.722      -22822.722     8375327.932     8689626.724        707.8           19962     
     1.500         49905.701      1467205.673       2373.379        2373.379      1486503.685     1479228.058      12806.983      8788726.778      42135.900       42135.900      8275988.052     8574493.315        685.2           19995     
     1.600         49919.673      1482848.243       4450.490        4450.490      1482841.981     1487295.603      12856.520      8627862.987      55817.718       55817.718      8130933.053     8435215.738        658.2           19995     
     1.700         49473.848      1466625.427      -1491.903       -1491.903      1447231.737     1455436.679      12979.725      8507096.572      107432.395      107432.395     8079631.884     8400796.622        777.6           20302     
     1.800         49322.700      1467575.187      -2523.394       -2523.394      1462658.875     1462593.637      13121.982      8434049.223      22212.314       22212.314      8001252.043     8239862.947        751.7           20395     
     1.900         49546.247      1442882.604      -4227.044       -4227.044      1461812.466     1448120.491      13176.599      8291830.540      57693.044       57693.044      7958352.422     8182784.525        669.4           20293     
