        tauB               sizeBin             clust_size           bulk_area            bulk_ndens         bulk_ndens_std          int_area            int_ndens          int_ndens_std           bub_area            bub_ndens          bub_ndens_std           gas_area            gas_ndens          gas_ndens_std    
        0.00               5.016308              33698             6617.959985            1.511191             0.120519           19803.553263           1.264066             0.417363             0.000000             0.000000             0.000000           39028.349570           0.383465             0.072998      
        0.10               5.016308              33667             5863.059607            1.765802             0.118600           17236.891976           1.388475             0.620466             0.000000             0.000000             0.000000           42349.911235           0.371052             0.135417      
        0.20               5.016308              34044             5384.956033            1.924993             0.123200           18268.589160           1.349092             0.668510             0.000000             0.000000             0.000000           41796.317624           0.358596             0.136493      
        0.30               5.016308              34514             5561.099455            1.925519             0.122816           19048.652885           1.312534             0.667873             0.000000             0.000000             0.000000           40840.110478           0.349901             0.134522      
        0.40               5.016308              34967             5938.549644            1.893897             0.123771           20407.473566           1.237978             0.670266             0.000000             0.000000             0.000000           39103.839608           0.344953             0.135769      
        0.50               5.016308              35334             6743.776715            1.851485             0.121154           19375.776382           1.253730             0.625846             0.000000             0.000000             0.000000           39330.309721           0.336178             0.131178      
        0.60               5.016308              35721             7448.350401            1.812482             0.112415           21011.393869           1.149805             0.640859             0.000000             0.000000             0.000000           36990.118548           0.333630             0.128958      
        0.70               5.016308              36071             9889.194959            1.766676             0.096378           17513.688782           1.150300             0.598506            377.450189            0.291429             0.127885           37669.528888           0.325807             0.133904      
        0.80               5.016308              36345             10920.892143           1.736671             0.080460           17664.668858           1.080349             0.599957             0.000000             0.000000             0.000000           36864.301818           0.324162             0.128896      
        0.90               5.016308              36507             11449.322408           1.705516             0.078709           17438.198744           1.077921             0.580569             0.000000             0.000000             0.000000           36562.341667           0.319345             0.128730      
        1.00               5.016308              36638             12531.346284           1.678910             0.070395           15878.071295           1.079035             0.563986            251.633460            0.417274             0.191621           36788.811780           0.318657             0.125904      
        1.10               5.016308              36779             13084.939894           1.658624             0.064479           16003.888025           1.044684             0.568673             0.000000             0.000000             0.000000           36361.034899           0.318418             0.122230      
        1.20               5.016308              37010             13839.840273           1.638747             0.071438           15123.170916           1.049912             0.554208             0.000000             0.000000             0.000000           36486.851629           0.313592             0.123461      
        1.30               5.016308              37230             14292.780500           1.620538             0.074273           15072.844225           1.036102             0.556924             0.000000             0.000000             0.000000           36084.238094           0.310967             0.123767      
        1.40               5.016308              37351             14292.780500           1.610114             0.073819           15274.150992           1.038487             0.553198             0.000000             0.000000             0.000000           35882.931326           0.310036             0.123773      
        1.50               5.016308              37279             14695.394035           1.598120             0.080499           14393.433884           1.060623             0.532371             0.000000             0.000000             0.000000           36361.034899           0.309370             0.122366      
        1.60               5.016308              37381             14343.107192           1.590660             0.079282           17815.648933           0.949615             0.559057             0.000000             0.000000             0.000000           33291.106693           0.308401             0.118790      
        1.70               5.016308              37462             14770.884073           1.581625             0.082050           15425.131068           1.030007             0.535756           1258.167298            0.302821             0.109236           33995.680380           0.305009             0.116821      
        1.80               5.016308              37712             14519.250614           1.576321             0.081562           16582.644982           1.006474             0.549152            578.756957            0.302372             0.111630           33769.210266           0.303472             0.117273      
        1.90               5.016308              37838             14921.864149           1.572391             0.081264           15299.314338           1.044295             0.526194             0.000000             0.000000             0.000000           35228.684331           0.299756             0.117022      
        2.00               5.016308              37915             14292.780500           1.571073             0.080754           16456.828252           1.045098             0.527121            528.430265            0.327385             0.132603           34171.823801           0.297701             0.115884      
        2.10               5.016308              37946             14317.943846           1.571105             0.082321           15727.091219           1.079666             0.503602           1534.964103            0.299681             0.134154           33869.863650           0.297167             0.117655      
        2.20               5.016308              37824             14519.250614           1.570811             0.079890           15098.007571           1.089018             0.497057            503.266919            0.311962             0.119403           35329.337715           0.299864             0.119203      
        2.30               5.016308              37770             14166.963770           1.573591             0.075042           15701.927873           1.084198             0.507262             0.000000             0.000000             0.000000           35580.971175           0.300245             0.117965      
        2.40               5.016308              37737             13739.186889           1.573819             0.076755           16079.378063           1.094134             0.512827           1233.003952            0.326844             0.125738           34398.293915           0.301788             0.117870      
        2.50               5.016308              37833             14393.433884           1.571272             0.082718           15349.641030           1.078201             0.519816             0.000000             0.000000             0.000000           35706.787904           0.303416             0.119202      
        2.60               5.016308              37777             13890.166965           1.568952             0.080122           16985.258517           1.023064             0.535897            629.083649            0.829778             0.657562           33945.353688           0.303665             0.119718      
        2.70               5.016308              37761             14116.637078           1.563545             0.081658           18394.405890           0.975133             0.545894            780.063724            0.303821             0.150584           32158.756125           0.303308             0.122942      
