      tauB          sizeBin        clust_size       Na_bulk         Nb_bulk        NBin_bulk         Na_gas          Nb_gas         NBin_gas         Na_int          Nb_int         NBin_int         Na_bub          Nb_bub         NBin_bub   
      0.00          5.016308         43110            7897            7840            371             3107            3200            1410           13996           13960            820              0               0               0       
      0.10          5.016308         43255            7958            7317            276             3256            3163            1633           13786           14520            692              0               0               0       
      0.20          5.016308         43752            7885            7495            273             2974            2756            1611           14141           14749            717              0               0               0       
      0.30          5.016308         44159            8105            7756            288             2801            2515            1597           14094           14729            716              0               0               0       
      0.40          5.016308         44383            8432            7910            305             2675            2417            1575           13893           14673            721              0               0               0       
      0.50          5.016308         44551            9334            8799            349             2553            2337            1540           13113           13864            712              0               0               0       
      0.60          5.016308         44536            9832           10612            404             2503            2312            1519           12665           12076            678              0               0               0       
      0.70          5.016308         44549           11200           11519            460             2488            2309            1501           11312           11172            640              0               0               0       
      0.80          5.016308         44565           13299           12586            535             2584            2368            1509            9117           10046            557              0               0               0       
      0.90          5.016308         44360           13885           13086            566             2633            2474            1498            8482            9440            537              0               0               0       
      1.00          5.016308         44197           13414           11837            536             2254            2188            1276            9157           10781            678             175             194             111      
      1.10          5.016308         43989           14266           12512            575             2612            2779            1472            8122            9709            554              0               0               0       
      1.20          5.016308         43604           14046           12427            571             2595            2771            1413            8359            9802            617              0               0               0       
      1.30          5.016308         43379           14394           12269            578             2534            2892            1381            8017            9769            616              55              70              26      
      1.40          5.016308         43013           14778           12060            585             2776            3337            1453            7399            9532            534              47              71              29      
      1.50          5.016308         42814           14659           11720            577             2622            3199            1357            7719           10081            667              0               0               0       
      1.60          5.016308         42683           15059           11701            589             2749            3451            1403            7119            9726            569              73             122              40      
      1.70          5.016308         42564           15096           11675            591             2872            3723            1467            7032            9602            543              0               0               0       
      1.80          5.016308         42451           15024           11139            577             2789            3740            1437            7153           10041            564              34              80              23      
      1.90          5.016308         42366           15031           10960            572             2806            3828            1445            7163           10212            584              0               0               0       
      2.00          5.016308         42311           14969           10956            569             2876            3838            1444            7155           10206            588              0               0               0       
      2.10          5.016308         42207           15019           10212            552             2840            3853            1432            7141           10935            617              0               0               0       
      2.20          5.016308         42031           15421           10252            559             2971            4229            1500            6608           10519            542              0               0               0       
      2.30          5.016308         41824           15519           10273            561             2922            4416            1496            6559           10311            544              0               0               0       
