        tauB               sizeBin             clust_size          interface_id       press_align_bub1     press_align_bub2     press_align_bub3     press_align_bub4     press_align_bub5  
        0.00               5.016308              28399                  1               4423.923009            0.000000             0.000000             0.000000             0.000000      
        0.10               5.016308              28324                  1               3563.788878            0.000000             0.000000             0.000000             0.000000      
        0.20               5.016308              28619                  1               2758.321485            0.000000             0.000000             0.000000             0.000000      
        0.30               5.016308              29031                  1               2099.863316            0.000000             0.000000             0.000000             0.000000      
        0.40               5.016308              29437                  1               1659.828834            0.000000             0.000000             0.000000             0.000000      
        0.50               5.016308              29791                  1               1132.957019            0.000000             0.000000             0.000000             0.000000      
        0.60               5.016308              30132                  1                932.061476            0.000000             0.000000             0.000000             0.000000      
        0.70               5.016308              30374                  2                708.708335           32.491592             0.000000             0.000000             0.000000      
        0.80               5.016308              30692                  2                605.713902           -11.942708           22.137371            79.997937            -32.464013     
        0.90               5.016308              30918                  3                479.322799            0.000000             0.000000             0.000000             0.000000      
        1.00               5.016308              31229                  1                395.537262           -60.435521            0.000000             0.000000             0.000000      
        1.10               5.016308              31514                  5                407.443503            0.000000             0.000000             0.000000             0.000000      
        1.20               5.016308              31855                  1                424.294921            0.000000             0.000000             0.000000             0.000000      
        1.30               5.016308              32059                  1               -327.905485           20.717874             0.000000             0.000000             0.000000      
        1.40               5.016308              32208                  3                410.665598            0.000000             0.000000             0.000000             0.000000      
        1.50               5.016308              32414                  1                396.429898            0.000000             0.000000             0.000000             0.000000      
        1.60               5.016308              32684                  3                421.124399           23.834987             0.000000             0.000000             0.000000      
        1.70               5.016308              32801                  1                113.432157            0.000000             0.000000             0.000000             0.000000      
        1.80               5.016308              32935                  1                403.072747            0.000000             0.000000             0.000000             0.000000      
        1.90               5.016308              32990                  3                394.675915            9.470720             0.000000             0.000000             0.000000      
        2.00               5.016308              33084                  4                103.395486           55.627602            115.011809            6.946865               nan         
        2.10               5.016308              33197                  4                385.054180           40.298792             9.225529            -5.778054             0.000000      
        2.20               5.016308              33386                  1                97.608674            49.590513             0.000000             0.000000             0.000000      
        2.30               5.016308              33444                  3                395.798920           38.698973             0.000000             0.000000             0.000000      
        2.40               5.016308              33503                  2                394.290144           -57.952039            0.000000             0.000000             0.000000      
        2.50               5.016308              33562                  2                328.216660            0.000000             0.000000             0.000000             0.000000      
        2.60               5.016308              33634                  3                66.189711             0.000000             0.000000             0.000000             0.000000      
        2.70               5.016308              33611                  1                397.846022            0.000000             0.000000             0.000000             0.000000      
        2.80               5.016308              33724                  2                409.220868            0.000000             0.000000             0.000000             0.000000      
        2.90               5.016308              33966                  4                404.304360           -9.320689            17.096158             0.000000             0.000000      
        3.00               5.016308              33955                  2                344.690642           -8.639346            -1.715971            -56.790077           -20.953660     
        3.10               5.016308              34178                  3                259.026099           -2.825336            16.408818             0.000000             0.000000      
        3.20               5.016308              34337                  2                352.465448            4.111143             0.000000             0.000000             0.000000      
        3.30               5.016308              34372                  4                349.532004           -1.901004            -21.769299           29.349872             0.000000      
        3.40               5.016308              34384                  3                333.330153           -24.216057            0.000000             0.000000             0.000000      
        3.50               5.016308              34513                  4                339.069301           87.262880             4.771410             0.000000             0.000000      
        3.60               5.016308              34530                  5                361.091429           35.064086             0.000000             0.000000             0.000000      
        3.70               5.016308              34640                  3                369.511087           53.518241             0.000000             0.000000             0.000000      
        3.80               5.016308              34802                  1               1419.652005            0.000000             0.000000             0.000000             0.000000      
        3.90               5.016308              34817                  2               1352.871863           24.329930            22.951358            25.732648            -7.046930      
        4.00               5.016308              34767                  2                368.948066           16.801773            10.898492            -44.020088            0.000000      
        4.10               5.016308              34827                  1                394.696273            0.000000             0.000000             0.000000             0.000000      
        4.20               5.016308              34808                  3                416.676640           76.115991            -17.781764           -59.677153            0.000000      
        4.30               5.016308              34769                  4                412.234454           -46.887522            3.731857             0.000000             0.000000      
        4.40               5.016308              34832                  2                406.718902           -37.907688            0.000000             0.000000             0.000000      
        4.50               5.016308              34820                  2                421.286515            6.889805            87.145961             0.000000             0.000000      
        4.60               5.016308              34709                  3                408.145825           -70.671096           20.621732            39.496878             0.000000      
        4.70               5.016308              34785                  2                389.527489           -17.417861            0.000000             0.000000             0.000000      
        4.80               5.016308              34761                  3                420.028751           -64.691210            3.999571             0.000000             0.000000      
        4.90               5.016308              34924                  2                391.024757           38.790883             0.000000             0.000000             0.000000      
        5.00               5.016308              34880                  3                368.351558           -42.904712           -51.668389            4.126345             0.000000      
        5.10               5.016308              35028                  1                395.932535           27.701285             0.000000             0.000000             0.000000      
        5.20               5.016308              35069                  1                382.344996            0.000000             0.000000             0.000000             0.000000      
        5.30               5.016308              35074                  1                368.249476           14.588384             0.000000             0.000000             0.000000      
        5.40               5.016308              35081                  1                411.931465            0.000000             0.000000             0.000000             0.000000      
        5.50               5.016308              35066                  1                410.803244            0.000000             0.000000             0.000000             0.000000      
        5.60               5.016308              35130                  3                391.848690           48.249051            -39.911419           -34.397637            0.000000      
        5.70               5.016308              35113                  4                368.673480           -55.886212           38.108977            -91.423131              nan         
        5.80               5.016308              35173                  5                403.981886           -17.481210           -6.460076            -1.368676            -8.623959      
        5.90               5.016308              35193                  3                405.323322           -4.119112             0.000000             0.000000             0.000000      
        6.00               5.016308              35308                  1                386.609036            0.000000             0.000000             0.000000             0.000000      
        6.10               5.016308              35420                  2                404.556100           22.348012             0.000000             0.000000             0.000000      
        6.20               5.016308              35601                  1                375.696225           -2.682022             0.000000             0.000000             0.000000      
        6.30               5.016308              35672                  5                389.799676           10.927096            39.037016             0.000000             0.000000      
        6.40               5.016308              35686                  1                335.727181           151.057387           -28.039272            0.000000             0.000000      
        6.50               5.016308              35800                  1                560.630627            0.000000             0.000000             0.000000             0.000000      
        6.60               5.016308              35651                  2                221.913788           -15.051126           10.775099             0.000000             0.000000      
        6.70               5.016308              35604                  1                224.856017            2.297425             0.000000             0.000000             0.000000      
        6.80               5.016308              35726                  1                213.299403           65.816140             0.000000             0.000000             0.000000      
        6.90               5.016308              35653                  2                336.285506           13.826720            35.167155             0.000000             0.000000      
        7.00               5.016308              35642                  3                366.504546            0.000000             0.000000             0.000000             0.000000      
        7.10               5.016308              35653                  1                351.042106            0.000000             0.000000             0.000000             0.000000      
        7.20               5.016308              35558                  1                362.095221            0.000000             0.000000             0.000000             0.000000      
        7.30               5.016308              35591                  3                342.186111           28.404458            -29.034865           -43.366681              nan         
        7.40               5.016308              35744                  5                360.101820           -0.084699            -6.348228            43.338283             0.000000      
        7.50               5.016308              35633                  4                341.978072           34.071336            22.241138             2.038184             5.622187      
        7.60               5.016308              35753                  4                345.239221           49.760705            44.225636             3.766825               nan         
        7.70               5.016308              35868                  4                348.247877           10.331039            -4.168069            12.389281             0.000000      
        7.80               5.016308              35780                  4                337.634552           -16.800292           20.905765             0.000000             0.000000      
        7.90               5.016308              35832                  3                330.680118           57.449073            27.882456             0.464738             0.000000      
        8.00               5.016308              35838                  1                295.582771           -5.359766             0.694414             0.000000             0.000000      
        8.10               5.016308              35922                  1                542.648423           133.815217            0.000000             0.000000             0.000000      
        8.20               5.016308              35893                  3                353.208934           80.894811            -33.027084            6.068861            43.200994      
        8.30               5.016308              35861                  4                552.731829           17.200541            -14.227986           -2.876599             0.000000      
        8.40               5.016308              35927                  3                362.468528           -72.190024           14.255219             0.000000             0.000000      
        8.50               5.016308              36034                  3                348.932209           -95.979314           13.261826             0.000000             0.000000      
        8.60               5.016308              36030                  6                63.591227            -10.434368            4.250944            48.043984            -0.084315      
        8.70               5.016308              35875                  2                347.398433            0.000000             0.000000             0.000000             0.000000      
        8.80               5.016308              35902                  4                662.960122           -23.079316            0.000000             0.000000             0.000000      
        8.90               5.016308              35875                  3                623.424817           41.633192             0.000000             0.000000             0.000000      
        9.00               5.016308              35956                  4                956.184319           44.548095            -36.842025           -28.850819           -12.196649     
        9.10               5.016308              35990                  4                508.397732            0.000000             0.000000             0.000000             0.000000      
        9.20               5.016308              36130                  3                351.000010           27.472405            22.129322             0.000000             0.000000      
        9.30               5.016308              36224                  6                295.755286           -28.236452           23.792695            -3.551688             0.787384      
        9.40               5.016308              36147                  3                350.003758           59.237613             0.000000             0.000000             0.000000      
        9.50               5.016308              36078                  1                338.718735           -15.687648           42.489184             0.000000             0.000000      
        9.60               5.016308              36034                  3               -119.570328           173.655013           24.420696            49.466526             0.000000      
        9.70               5.016308              35931                  3                383.457439           -0.841734             0.000000             0.000000             0.000000      
        9.80               5.016308              35879                  3                420.794222           15.496168             0.000000             0.000000             0.000000      
        9.90               5.016308              35724                  3                417.408631            0.600640            73.003425            -0.988256             0.000000      
       10.00               5.016308              35812                  6                370.684826           -20.339832           17.114325             0.665560               nan         
       10.10               5.016308              35793                  2                208.098776          -175.403671           -35.329531            0.000000             0.000000      
       10.20               5.016308              35724                  2                215.684569          -123.853243           23.810328            -40.695525            0.000000      
       10.30               5.016308              35645                  5                343.742788           28.250277            26.665575            -55.109587              nan         
       10.40               5.016308              35660                  4                345.079411           -39.635141           -28.299055            6.704715             0.000000      
       10.50               5.016308              35593                  2                334.735343           12.440730             0.000000             0.000000             0.000000      
       10.60               5.016308              35546                  2                333.382775           26.392335            -37.972933            8.835942             0.000000      
       10.70               5.016308              35515                  1                -71.064611            0.000000             0.000000             0.000000             0.000000      
       10.80               5.016308              35411                  3                319.446325           -21.131324           -54.801809            0.000000             0.000000      
       10.90               5.016308              35457                  3                378.160896           36.314156             0.000000             0.000000             0.000000      
       11.00               5.016308              35418                  5                348.567937           -7.433266            -7.086443            70.772698             0.000000      
       11.10               5.016308              35405                  3                370.817534           -44.315289            5.499572            48.974192            -2.275303      
       11.20               5.016308              35508                  3                376.337588           -15.680200            0.000000             0.000000             0.000000      
       11.30               5.016308              35473                  2                -71.829864            5.924817             0.000000             0.000000             0.000000      
       11.40               5.016308              35611                  6                206.392565           49.302663            -18.767414           53.806138               nan         
       11.50               5.016308              35542                  4                334.724948           -1.842181            -7.116917             0.000000             0.000000      
       11.60               5.016308              35623                  4                154.267666           11.986415            71.782786            -6.965950               nan         
       11.70               5.016308              35566                  5               -284.498540           -17.167297            0.000000             0.000000             0.000000      
       11.80               5.016308              35529                  2                377.603968           -47.389439           53.446513            13.252187             0.000000      
       11.90               5.016308              35535                  2                345.584385           -43.399605            0.000000             0.000000             0.000000      
       12.00               5.016308              35614                  2                317.762829           38.264866            -20.798834            0.000000             0.000000      
       12.10               5.016308              35772                  3                176.017312           -32.221231           -6.605472             0.000000             0.000000      
       12.20               5.016308              35709                  3                329.911645           86.801430            -34.851852            0.000000             0.000000      
       12.30               5.016308              35687                  3                542.689729            2.710236             0.000000             0.000000             0.000000      
       12.40               5.016308              35728                  1                769.152791           -12.583467            0.000000             0.000000             0.000000      
       12.50               5.016308              35714                  1                362.102068            0.000000             0.000000             0.000000             0.000000      
       12.60               5.016308              35738                  2                383.193366           -61.122650            7.392647             1.285702               nan         
       12.70               5.016308              35661                  2                366.148634            4.627862             0.000000             0.000000             0.000000      
       12.80               5.016308              35653                  4                361.360943           10.965336            -26.654724           -0.035464               nan         
       12.90               5.016308              35689                  2                373.065185            3.967503             0.000000             0.000000             0.000000      
       13.00               5.016308              35710                  2                360.811496           -46.605065            0.000000             0.000000             0.000000      
       13.10               5.016308              35752                  4                357.175459           -19.888251            0.000000             0.000000             0.000000      
       13.20               5.016308              35815                  1                334.400672            0.000000             0.000000             0.000000             0.000000      
       13.30               5.016308              35866                  1                233.130007           -9.161577            13.521293             0.000000             0.000000      
       13.40               5.016308              35841                  2                355.681495            0.091246            -40.210202           -48.071455            0.000000      
       13.50               5.016308              35871                  6                493.989839           -26.482828           -8.027576             0.000000             0.000000      
       13.60               5.016308              35941                  3                351.564194           35.119258            -2.243024             0.000000             0.000000      
       13.70               5.016308              36040                  3                346.549279           -6.957440            -2.503558            26.088025             0.399444      
       13.80               5.016308              36116                  2                371.604458           -7.437546             0.664885             0.000000             0.000000      
       13.90               5.016308              36110                  4                329.159252           -38.902786           -10.564097           22.264499             0.000000      
       14.00               5.016308              36056                  2                363.003633           32.608934             0.000000             0.000000             0.000000      
       14.10               5.016308              36103                  2                365.014285           34.093550            -9.512065            26.091120             0.000000      
       14.20               5.016308              36002                  7                385.294177            1.159187             0.000000             0.000000             0.000000      
       14.30               5.016308              35996                  6                389.598823           57.875184            66.647182             2.547289            -18.653508     
       14.40               5.016308              36044                  4                159.588650           33.475351            27.758149            14.507995               nan         
       14.50               5.016308              35927                  3                357.132341            7.984112            -28.156971           47.521493               nan         
       14.60               5.016308              35856                  4                384.120531           10.431435             0.000000             0.000000             0.000000      
       14.70               5.016308              35906                  3               -2602.171433          -58.748878            0.000000             0.000000             0.000000      
       14.80               5.016308              35939                  4                322.411347            2.267519            -73.925352           -23.906758           17.583011      
       14.90               5.016308              36058                  2                355.890310           12.841948             0.000000             0.000000             0.000000      
       15.00               5.016308              35880                  4                377.008362            0.950148            -22.035993           32.116411             0.000000      
       15.10               5.016308              35933                  3                336.085731           -57.765112           -0.402826             0.000000             0.000000      
       15.20               5.016308              35992                  2                345.407427           38.023523             1.652937             0.000000             0.000000      
       15.30               5.016308              35821                  2                399.754132           -9.903696             0.000000             0.000000             0.000000      
       15.40               5.016308              35817                  4                340.492335           -27.044597            1.343020            -11.261812            9.727022      
       15.50               5.016308              35731                  1                336.875999           -39.414604           11.001593             9.297172               nan         
