        tauB               sizeBin             clust_size          press_align          press_alignA     press_alignB
        0.00               5.016308              36768             6144.782204          3001.807364          3142.974841     
        0.10               5.016308              36823             5216.969144          2596.592846          2620.376299     
        0.20               5.016308              37224             4121.045608          2029.319267          2091.726341     
        0.30               5.016308              37665             3193.858615          1519.630725          1674.227890     
        0.40               5.016308              38055             2432.443458          1117.078036          1315.365422     
        0.50               5.016308              38452             2125.727073           976.266822          1149.460251     
        0.60               5.016308              38811             1753.735987           835.024044           918.711943     
        0.70               5.016308              39163             1411.913499           637.989067           773.924433     
        0.80               5.016308              39537             1215.095628           553.818205           661.277424     
        0.90               5.016308              39695             1200.648949           561.513151           639.135798     
        1.00               5.016308              39927              995.221890           522.274652           472.947238     
        1.10               5.016308              40032              875.009651           450.970302           424.039349     
        1.20               5.016308              40164              949.977040           529.012152           420.964889     
        1.30               5.016308              40265              863.516394           434.485298           429.031095     
        1.40               5.016308              40389              760.325623           371.483041           388.842582     
        1.50               5.016308              40496              640.724989           285.579402           355.145587     
        1.60               5.016308              40563              712.602067           293.140973           419.461095     
        1.70               5.016308              40480              860.379709           347.375215           513.004494     
        1.80               5.016308              40529              855.995045           338.230559           517.764486     
        1.90               5.016308              40522              618.125124           200.981432           417.143692     
        2.00               5.016308              40534              405.330481           116.506387           288.824093     
        2.10               5.016308              40376              480.430474           196.896545           283.533929     
        2.20               5.016308              40230              700.505192           362.465013           338.040179     
        2.30               5.016308              40102              734.630421           345.107280           389.523140     
        2.40               5.016308              40176              622.081804           284.720921           337.360883     
        2.50               5.016308              40045              634.082554           304.323680           329.758875     
        2.60               5.016308              40069              632.582917           310.915770           321.667147     
        2.70               5.016308              40081              650.194366           292.445392           357.748974     
        2.80               5.016308              40011              630.938728           302.653879           328.284850     
        2.90               5.016308              39892              769.016863           304.845755           464.171108     
        3.00               5.016308              39864              725.030407           356.047034           368.983373     
        3.10               5.016308              39751              805.058347           354.542315           450.516032     
        3.20               5.016308              39727              763.631150           323.406721           440.224430     
        3.30               5.016308              39615              747.814293           306.556936           441.257357     
        3.40               5.016308              39667              714.773431           264.851298           449.922133     
        3.50               5.016308              39613              798.966018           313.227255           485.738763     
        3.60               5.016308              39512              833.466707           370.096186           463.370522     
        3.70               5.016308              39365              715.827920           371.090920           344.737000     
        3.80               5.016308              39444              722.169657           424.240267           297.929390     
        3.90               5.016308              39426              696.896449           360.105615           336.790833     
        4.00               5.016308              39492              691.382028           337.496079           353.885949     
        4.10               5.016308              39426              658.264966           362.211398           296.053568     
        4.20               5.016308              39418              746.706112           418.119171           328.586940     
        4.30               5.016308              39450              747.269158           437.943371           309.325787     
        4.40               5.016308              39570              730.850159           360.353808           370.496350     
        4.50               5.016308              39631              865.845784           433.839273           432.006512     
        4.60               5.016308              39521              751.519667           347.085087           404.434580     
        4.70               5.016308              39364              735.438431           260.329588           475.108843     
        4.80               5.016308              39423              764.924256           279.270596           485.653660     
        4.90               5.016308              39445              763.815900           309.240412           454.575488     
        5.00               5.016308              39480              748.405123           290.804212           457.600912     
        5.10               5.016308              39499              725.928885           321.610202           404.318683     
        5.20               5.016308              39423              726.418987           310.432995           415.985992     
        5.30               5.016308              39484              639.930492           325.561309           314.369182     
        5.40               5.016308              39531              723.601134           349.441786           374.159348     
        5.50               5.016308              39488              638.820109           379.853662           258.966447     
        5.60               5.016308              39512              746.197010           362.374931           383.822078     
        5.70               5.016308              39520              610.989558           320.274070           290.715489     
        5.80               5.016308              39501              614.424942           276.687669           337.737273     
        5.90               5.016308              39460              641.131247           310.719622           330.411625     
        6.00               5.016308              39546              685.778369           294.633410           391.144959     
        6.10               5.016308              39493              742.791370           364.203309           378.588061     
        6.20               5.016308              39515              629.293145           263.092479           366.200666     
        6.30               5.016308              39493              576.596329           283.954345           292.641984     
        6.40               5.016308              39419              490.950713           248.877095           242.073618     
        6.50               5.016308              39351              557.106743           266.359131           290.747612     
        6.60               5.016308              39346              553.092094           236.784545           316.307549     
        6.70               5.016308              39250              589.791163           333.779950           256.011213     
        6.80               5.016308              39282              644.200645           339.019585           305.181060     
        6.90               5.016308              39373              663.429093           312.948186           350.480908     
        7.00               5.016308              39386              727.438358           369.707118           357.731240     
        7.10               5.016308              39392              695.710146           317.662721           378.047425     
        7.20               5.016308              39408              717.882802           341.506256           376.376546     
        7.30               5.016308              39588              821.565203           457.565229           363.999973     
        7.40               5.016308              39568              917.748120           494.576565           423.171556     
        7.50               5.016308              39450              973.371882           476.978232           496.393650     
        7.60               5.016308              39552              862.166395           465.072451           397.093944     
        7.70               5.016308              39668              907.751240           413.328582           494.422658     
        7.80               5.016308              39602              936.398309           409.607476           526.790833     
        7.90               5.016308              39506              865.757397           356.279304           509.478093     
        8.00               5.016308              39536              894.504742           444.434724           450.070018     
        8.10               5.016308              39493              797.538380           379.253767           418.284612     
        8.20               5.016308              39529              843.976526           373.852953           470.123573     
        8.30               5.016308              39717              772.067087           365.164994           406.902094     
        8.40               5.016308              39803              690.427148           333.454967           356.972181     
        8.50               5.016308              39867              670.676601           257.716624           412.959977     
        8.60               5.016308              39932              693.523535           232.160273           461.363262     
        8.70               5.016308              39836              784.516366           323.661326           460.855040     
        8.80               5.016308              39907              920.420177           398.125478           522.294698     
        8.90               5.016308              39791              751.970731           391.647828           360.322903     
        9.00               5.016308              39663              819.173168           383.243909           435.929259     
        9.10               5.016308              39967              798.320377           419.869212           378.451165     
        9.20               5.016308              39943              821.248975           363.542251           457.706724     
        9.30               5.016308              40003              694.084436           376.223276           317.861160     
        9.40               5.016308              40106              656.505967           374.212184           282.293783     
        9.50               5.016308              40089              758.397774           461.260390           297.137383     
        9.60               5.016308              40117              734.460864           393.635933           340.824930     
        9.70               5.016308              40194              617.758631           300.588303           317.170328     
        9.80               5.016308              40110              842.039649           442.481665           399.557984     
        9.90               5.016308              40164              797.058138           420.693080           376.365058     
       10.00               5.016308              40194              658.657053           270.788804           387.868249     
       10.10               5.016308              40223              603.519555           343.658870           259.860686     
       10.20               5.016308              40157              572.468117           270.529929           301.938188     
       10.30               5.016308              40088              455.286032           258.407473           196.878559     
       10.40               5.016308              40041              440.554665           247.609188           192.945477     
       10.50               5.016308              39932              535.817934           302.091826           233.726108     
       10.60               5.016308              39863              543.635054           281.100534           262.534521     
       10.70               5.016308              39706              618.117426           247.920804           370.196621     
       10.80               5.016308              39617              667.964619           323.702428           344.262191     
       10.90               5.016308              39688              624.582610           266.907765           357.674845     
       11.00               5.016308              39750              661.569917           338.247885           323.322032     
       11.10               5.016308              39639              782.853612           438.620996           344.232616     
       11.20               5.016308              39717              763.848916           464.666654           299.182262     
       11.30               5.016308              39742              692.010827           391.848151           300.162676     
       11.40               5.016308              39604              656.777708           300.999674           355.778034     
       11.50               5.016308              39567              645.306645           289.358751           355.947894     
       11.60               5.016308              39484              618.380706           231.446508           386.934198     
       11.70               5.016308              39389              749.048890           317.313724           431.735167     
       11.80               5.016308              39411              602.182106           277.108819           325.073287     
       11.90               5.016308              39502              576.696553           267.293873           309.402679     
       12.00               5.016308              39398              593.181615           261.826501           331.355113     
       12.10               5.016308              39450              714.315902           388.108230           326.207672     
       12.20               5.016308              39470              721.287770           398.511880           322.775890     
       12.30               5.016308              39629              742.145098           441.913363           300.231735     
       12.40               5.016308              39725              813.362373           440.653333           372.709040     
       12.50               5.016308              39823              651.955418           310.641900           341.313518     
       12.60               5.016308              39789              626.037088           326.265621           299.771467     
       12.70               5.016308              39650              589.759975           337.457090           252.302885     
       12.80               5.016308              39651              534.621492           249.391002           285.230490     
       12.90               5.016308              39547              534.611773           280.785811           253.825962     
       13.00               5.016308              39637              648.768778           370.829166           277.939612     
       13.10               5.016308              39678              595.888829           302.585660           293.303169     
       13.20               5.016308              39818              555.694306           235.320986           320.373320     
       13.30               5.016308              39787              677.457860           325.867248           351.590612     
       13.40               5.016308              39671              596.944124           314.967015           281.977108     
       13.50               5.016308              39731              621.669070           293.484303           328.184767     
       13.60               5.016308              39559              822.962876           370.295937           452.666939     
       13.70               5.016308              39482              823.929548           386.809538           437.120011     
       13.80               5.016308              39571              787.438912           292.260462           495.178449     
       13.90               5.016308              39676              755.685435           224.823374           530.862061     
       14.00               5.016308              39686              754.473525           242.011965           512.461561     
       14.10               5.016308              39549              761.349067           307.142054           454.207013     
       14.20               5.016308              39519              796.220120           303.210393           493.009726     
       14.30               5.016308              39466              769.688608           363.563121           406.125487     
       14.40               5.016308              39565              731.956214           369.495440           362.460774     
       14.50               5.016308              39643              757.841106           341.718240           416.122865     
       14.60               5.016308              39736              640.117265           229.648706           410.468559     
       14.70               5.016308              39860              580.600644           224.472123           356.128521     
       14.80               5.016308              39909              669.221605           305.525684           363.695921     
       14.90               5.016308              39822              645.678043           245.476513           400.201529     
       15.00               5.016308              39877              676.051938           271.070380           404.981558     
       15.10               5.016308              39876              699.982356           305.672940           394.309416     
       15.20               5.016308              40045              737.282452           313.274822           424.007629     
       15.30               5.016308              39932              623.172035           253.542521           369.629514     
       15.40               5.016308              39911              645.328927           261.591779           383.737148     
       15.50               5.016308              39955              702.812588           295.443717           407.368871     
       15.60               5.016308              39845              832.307988           369.648364           462.659624     
       15.70               5.016308              39721              814.353066           348.945917           465.407149     
       15.80               5.016308              39690              801.801794           372.853468           428.948326     
       15.90               5.016308              39665              584.424767           228.260218           356.164549     
       16.00               5.016308              39512              505.280867           164.023247           341.257621     
       16.10               5.016308              39628              493.628019           189.102524           304.525495     
       16.20               5.016308              39713              587.112029           327.131558           259.980471     
       16.30               5.016308              39697              540.388982           312.781549           227.607433     
       16.40               5.016308              39587              685.293565           394.309911           290.983654     
       16.50               5.016308              39581              598.599594           288.753278           309.846316     
       16.60               5.016308              39632              612.348362           282.090132           330.258230     
       16.70               5.016308              39659              584.918013           236.511607           348.406407     
       16.80               5.016308              39593              545.520331           219.115849           326.404482     
       16.90               5.016308              39607              632.399292           359.157989           273.241303     
       17.00               5.016308              39589              692.626812           371.730141           320.896672     
       17.10               5.016308              39584              590.296028           327.049412           263.246616     
       17.20               5.016308              39573              626.193291           404.126217           222.067073     
       17.30               5.016308              39628              710.863380           392.143878           318.719502     
       17.40               5.016308              39689              765.093586           445.736089           319.357497     
       17.50               5.016308              39803              772.281313           386.720225           385.561088     
       17.60               5.016308              39741              641.772637           327.690360           314.082277     
       17.70               5.016308              39813              590.397833           290.722375           299.675458     
       17.80               5.016308              39795              766.053279           411.175860           354.877419     
       17.90               5.016308              39757              873.239218           420.482856           452.756362     
       18.00               5.016308              39782              805.558440           409.722271           395.836169     
       18.10               5.016308              39570              751.810959           441.602806           310.208153     
       18.20               5.016308              39598              765.360163           362.971129           402.389034     
       18.30               5.016308              39578              792.266696           387.448078           404.818618     
       18.40               5.016308              39696              787.386931           368.804990           418.581940     
