        tauB               sizeBin             clust_size      press_align
        0.00               5.016308              43621             12965.892316    
        0.10               5.016308              43861             11536.882812    
        0.20               5.016308              44370             8856.211442     
        0.30               5.016308              44757             7083.360533     
        0.40               5.016308              44969             5381.353037     
        0.50               5.016308              45020             4182.625876     
        0.60               5.016308              44982             3329.419922     
        0.70               5.016308              44936             2892.454079     
        0.80               5.016308              44807             2326.513465     
        0.90               5.016308              44670             2158.002034     
        1.00               5.016308              44465             1964.297132     
        1.10               5.016308              44086             1618.478964     
        1.20               5.016308              43734             1704.087276     
        1.30               5.016308              43554             1755.330255     
        1.40               5.016308              43251             1544.080634     
        1.50               5.016308              42931             1734.131475     
        1.60               5.016308              42617             2095.853868     
        1.70               5.016308              42497             2082.164895     
        1.80               5.016308              42418             1946.710895     
        1.90               5.016308              42320             1925.257077     
        2.00               5.016308              42204             2257.011129     
        2.10               5.016308              42237             2048.497604     
        2.20               5.016308              42088             2241.749481     
        2.30               5.016308              41939             2140.870993     
        2.40               5.016308              41865             2095.452476     
        2.50               5.016308              41768             2349.034199     
        2.60               5.016308              41781             2524.619899     
        2.70               5.016308              41887             2331.707123     
        2.80               5.016308              41982             1963.792302     
        2.90               5.016308              42298             2099.793501     
        3.00               5.016308              42503             2156.180339     
        3.10               5.016308              42621             1883.969004     
        3.20               5.016308              42645             1921.644374     
        3.30               5.016308              42504             1877.711312     
        3.40               5.016308              42396             1948.369938     
        3.50               5.016308              42362             1943.425374     
        3.60               5.016308              42317             1823.988793     
        3.70               5.016308              42428             1898.569309     
        3.80               5.016308              42476             1921.010589     
        3.90               5.016308              42377             1848.784362     
        4.00               5.016308              42414             2032.522616     
        4.10               5.016308              42297             2192.535399     
        4.20               5.016308              42210             2281.534058     
        4.30               5.016308              42099             2451.128868     
        4.40               5.016308              42083             2465.064850     
        4.50               5.016308              42122             2331.821590     
        4.60               5.016308              42275             2227.463737     
        4.70               5.016308              42349             2209.499447     
        4.80               5.016308              42370             1986.735786     
        4.90               5.016308              42457             1909.751054     
        5.00               5.016308              42467             1804.931894     
        5.10               5.016308              42539             1508.301800     
        5.20               5.016308              42539             1629.947201     
        5.30               5.016308              42521             1733.171680     
        5.40               5.016308              42726             1942.016887     
        5.50               5.016308              42836             2210.227429     
        5.60               5.016308              42949             2609.438842     
        5.70               5.016308              43030             2117.200679     
        5.80               5.016308              43015             2025.048957     
        5.90               5.016308              42903             1967.881783     
        6.00               5.016308              42876             1745.693598     
        6.10               5.016308              42737             2002.227818     
        6.20               5.016308              42589             1861.010032     
        6.30               5.016308              42500             1975.448999     
        6.40               5.016308              42443             1849.952642     
        6.50               5.016308              42363             1503.734452     
        6.60               5.016308              42484             1738.300354     
        6.70               5.016308              42705             1731.822330     
        6.80               5.016308              42785             1812.389246     
        6.90               5.016308              42770             1877.842404     
        7.00               5.016308              42758             1779.949722     
        7.10               5.016308              42526             1850.088837     
        7.20               5.016308              42333             2135.772333     
        7.30               5.016308              42187             2002.692313     
        7.40               5.016308              42210             1821.474526     
        7.50               5.016308              42218             1834.544155     
        7.60               5.016308              42335             1921.147781     
        7.70               5.016308              42319             1924.307765     
        7.80               5.016308              42346             1774.110898     
        7.90               5.016308              42529             1529.432603     
        8.00               5.016308              42539             1973.911861     
        8.10               5.016308              42371             1969.795850     
        8.20               5.016308              42288             1778.727089     
        8.30               5.016308              42313             2171.281168     
        8.40               5.016308              42329             1993.343947     
        8.50               5.016308              42281             2050.115804     
        8.60               5.016308              42247             1985.530060     
        8.70               5.016308              42364             2095.944496     
        8.80               5.016308              42450             2099.662698     
        8.90               5.016308              42421             2306.259038     
        9.00               5.016308              42228             2326.757172     
        9.10               5.016308              42129             2334.023532     
        9.20               5.016308              42094             2380.171276     
        9.30               5.016308              42167             2399.427921     
        9.40               5.016308              42299             2253.504037     
        9.50               5.016308              42378             2280.771459     
        9.60               5.016308              42404             2202.064692     
        9.70               5.016308              42382             1743.478864     
        9.80               5.016308              42079             1711.682583     
        9.90               5.016308              42103             1573.599809     
       10.00               5.016308              42108             1971.492621     
       10.10               5.016308              42217             2183.943632     
       10.20               5.016308              42241             1859.353820     
       10.30               5.016308              42597             1812.449218     
       10.40               5.016308              42679             1930.609895     
       10.50               5.016308              42804             1887.371809     
       10.60               5.016308              42772             1881.695763     
       10.70               5.016308              42772             1692.022578     
       10.80               5.016308              42655             1730.625912     
       10.90               5.016308              42735             1576.938587     
       11.00               5.016308              42696             1770.796371     
       11.10               5.016308              42869             1820.203257     
       11.20               5.016308              42842             1942.625350     
       11.30               5.016308              42810             1931.588320     
       11.40               5.016308              42749             1823.022636     
       11.50               5.016308              42715             1818.306326     
       11.60               5.016308              42627             1993.764602     
       11.70               5.016308              42623             2054.439363     
       11.80               5.016308              42522             1876.171416     
       11.90               5.016308              42453             1674.520948     
       12.00               5.016308              42448             1833.979650     
       12.10               5.016308              42346             1929.612153     
       12.20               5.016308              42195             1952.742881     
       12.30               5.016308              42240             1884.159819     
       12.40               5.016308              42306             1768.828767     
       12.50               5.016308              42226             1913.444726     
       12.60               5.016308              42261             1959.239335     
       12.70               5.016308              42262             2078.634749     
       12.80               5.016308              42289             1979.005717     
       12.90               5.016308              42256             1749.977148     
       13.00               5.016308              42351             1999.429373     
       13.10               5.016308              42367             1799.405442     
       13.20               5.016308              42414             2165.192779     
       13.30               5.016308              42383             2432.304232     
       13.40               5.016308              42382             2218.588814     
       13.50               5.016308              42509             2118.506160     
       13.60               5.016308              42638             2171.638036     
       13.70               5.016308              42564             2095.645141     
       13.80               5.016308              42289             2288.326064     
       13.90               5.016308              42204             2255.621143     
       14.00               5.016308              42283             2464.071842     
       14.10               5.016308              42623             2411.210784     
       14.20               5.016308              42720             2361.579970     
       14.30               5.016308              42872             2197.865847     
       14.40               5.016308              42757             2172.005864     
       14.50               5.016308              42725             2230.914253     
       14.60               5.016308              42526             2165.019014     
       14.70               5.016308              42487             2009.143647     
       14.80               5.016308              42502             2078.512962     
       14.90               5.016308              42511             2036.261319     
       15.00               5.016308              42527             1856.275217     
       15.10               5.016308              42323             1985.983373     
       15.20               5.016308              42373             1782.824127     
       15.30               5.016308              42316             1755.769024     
       15.40               5.016308              42262             1846.244024     
       15.50               5.016308              42285             2063.258389     
       15.60               5.016308              42292             2049.002784     
       15.70               5.016308              42298             1911.874434     
       15.80               5.016308              42339             2077.942500     
       15.90               5.016308              42368             2155.070735     
       16.00               5.016308              42187             2211.653034     
       16.10               5.016308              42081             2288.488901     
       16.20               5.016308              41929             2319.496499     
       16.30               5.016308              41906             2177.535474     
       16.40               5.016308              41612             2149.231508     
       16.50               5.016308              41619             2422.743841     
       16.60               5.016308              41689             2488.878924     
       16.70               5.016308              41560             2432.777768     
       16.80               5.016308              41602             2392.593631     
       16.90               5.016308              41685             2364.557955     
