      tauB          sizeBin        clust_size        int_id          bub_id            Na              Nb            radius        radius_err        sa_ext          sa_int        edge_width    edge_width_err       NBin     
      0.00          5.016308         28407             1               1             11614           11650         82.863584        2.576706       541.153230      273.157887      41.302890        4.627026          743      
      0.10          5.016308         28124             1               1             10714           10838         77.513031        1.629020       528.461835      260.462682      36.884950        2.210632          640      
      0.20          5.016308         28519             1               1             10889           11182         76.888571        1.791605       514.321432      254.328439      37.932397        2.952663          649      
      0.30          5.016308         28934             1               1             11062           11523         78.026028        2.865993       524.194333      251.961470      39.413185        4.072144          670      
      0.40          5.016308         29217             1               1             10972           11550         79.654831        3.488737       535.060826      264.551052      39.279123        5.921836          690      
      0.50          5.016308         29615             1               1             11265           11888         83.882517        5.243506       609.450895      271.840074      42.120080        7.402342          756      
      0.60          5.016308         29830             1               1             10742           11402         83.579918        3.863837       584.248375      298.322976      38.805822        6.588648          729      
      0.70          5.016308         30156             1               1              9563           10415         83.800804        4.554377       596.787912      359.140558      33.172713        8.379290          674      
      0.80          5.016308         30489             2               2              9053            9958         76.856885       24.262081       542.405856      378.196369      22.461788       27.895361          688      
      0.80          5.016308         30489             2               1              135             114           9.308309        2.191906       70.031578        0.000000        9.308309        2.191906           21      
      0.90          5.016308         30694             3               3              7852            8844         85.115068        4.563195       586.699302      385.271017      26.877934        7.235085          596      
      1.00          5.016308         31051             1               1              7506            8572         86.204622        3.737779       633.069037      404.877923      25.736903        6.378571          597      
      1.10          5.016308         31213             5               5              9106           10077         113.519712       8.653274       72.964335       452.945740      56.488033       17.231490          759      
      1.10          5.016308         31213             5               1              169             157           9.601229        4.421185       105.958282       0.000000        9.601229        4.421185           27      
      1.10          5.016308         31213             5               6               64              71           6.084621        3.085994       48.545937        0.000000        6.084621        3.085994           11      
      1.20          5.016308         31337             3               3              7097            8278         86.260502        2.534638       589.983339      413.694457      23.723687        4.881995          565      
      1.20          5.016308         31337             3               1              151             137          69.152835       21.039041       490.490948       0.000000       69.152835       21.039041           22      
      1.30          5.016308         31377             6               6              7710            8877         94.508557       11.304887       726.802402      425.030002      32.214374       13.833027          650      
      1.30          5.016308         31377             6               1              110              86          87.852126       34.492755       679.518162       0.000000       87.852126       34.492755           17      
      1.30          5.016308         31377             6               4               79              69           6.569706        0.722155       42.877380        0.000000        6.569706        0.722155           13      
      1.30          5.016308         31377             6               2               71              56           5.632101        1.503553       43.652478        0.000000        5.632101        1.503553           11      
      1.40          5.016308         31549             5               5              7529            8814         76.726459       20.051113       463.084530      441.545474      14.257031       23.455056          627      
      1.40          5.016308         31549             5               1              133             118           8.557326        2.629931       60.303396        0.000000        8.557326        2.629931           20      
      1.40          5.016308         31549             5               3              122             109          68.541726       40.564284       521.677050       0.000000       68.541726       40.564284           21      
      1.40          5.016308         31549             5               2              131              84           8.282205        2.287298       64.974943        0.000000        8.282205        2.287298           21      
      1.40          5.016308         31549             5               8               97              92           7.315676        1.387065       52.168028        0.000000        7.315676        1.387065           16      
      1.50          5.016308         31572             4               4              7119            8518         89.075630        8.044008       646.889207      433.123442      25.420031       11.297209          584      
      1.50          5.016308         31572             4               1              111              94           8.472868        2.569389       63.723603        0.000000        8.472868        2.569389           20      
      1.50          5.016308         31572             4               2               69              64           4.809573        2.447981       37.566498        0.000000        4.809573        2.447981           13      
      1.60          5.016308         31653             4               4              7694            9107         90.814448        8.012068       655.192175      424.696172      27.997642       11.326175          650      
      1.60          5.016308         31653             4               8              144             138           7.818328        1.678269       55.482637        0.000000        7.818328        1.678269           26      
      1.60          5.016308         31653             4               11             140             109          71.909808       40.963802       590.513451       0.000000       71.909808       40.963802           21      
