    Timestep        gasArea         gasSigXX        gasSigXY        gasSigYX        gasSigYY        gasTrace        bulkArea       bulkSigXX       bulkSigXY       bulkSigYX       bulkSigYY       bulkTrace         Length          NDense    
     0.000         37962.424        5523.418        152.936         152.936         4831.703        5330.496       25145.279      47977276.841     26415.363       26415.363      47972983.231    48001545.400       531.9           43621     
     0.100         43707.340       146566.832       4664.172        4664.172       146902.013      151398.595      19569.294     272437989.108     26329.285       26329.285     273796927.866   273143787.772       488.0           43861     
     0.200         43304.700       116458.967      -1117.421       -1117.421       116618.903      115421.514      19856.350     270544902.114    -877108.484     -877108.484    270613024.728   269701854.937       521.8           44370     
     0.300         42449.885       104250.793       -393.268        -393.268       111396.536      107430.396      20607.012     225164000.985    -138143.350     -138143.350    228608240.512   226747977.398       542.1           44757     
     0.400         41748.759       102358.852       -472.113        -472.113       93280.594       97347.609       21238.279     189932888.463    1144259.690     1144259.690    191865982.253   192043695.048       566.9           44969     
     0.500         41235.616       98728.591        -488.169        -488.169       92676.722       95214.487       21761.584     163049452.154    1587334.765     1587334.765    164357409.513   165290765.598       550.0           45020     
     0.600         40742.796       102571.557       616.237         616.237        96919.551       100361.791      22185.816     142115752.419    1605898.579     1605898.579    141438528.625   143383039.101       564.6           44982     
     0.700         40410.015       94696.519        2532.293        2532.293       94116.957       96939.031       22519.867     126128360.536    1209770.306     1209770.306    126390514.927   127469208.037       578.2           44936     
     0.800         40073.423       106894.332       -253.609        -253.609       106334.352      106360.733      22784.059     114216113.458     689275.461      689275.461    113722560.312   114658612.345       587.2           44807     
     0.900         39795.259       105734.513      -3026.933       -3026.933       99532.611       99606.629       23036.820     104011477.160     -53490.237      -53490.237    102894645.835   103399571.261       600.7           44670     
     1.000         39602.195       134893.708       3615.981        3615.981       127020.236      134572.953      23186.699      97389787.188    -137198.813     -137198.813     94503474.463    95809432.013       614.2           44465     
     1.100         39654.272       144394.803       240.687         240.687        135606.771      140241.474      23167.646      91597972.454     395042.527      395042.527     88733432.914    90560745.210       608.6           44086     
     1.200         39654.272       163242.138      -2340.694       -2340.694       168508.812      163534.781      23134.622      88180781.015    -359945.033     -359945.033     84931730.110    86196310.529       628.9           43734     
     1.300         39606.006       159903.114       900.982         900.982        160855.834      161280.456      23081.276      85118005.851     432450.552      432450.552     83421880.731    84702393.843       633.4           43554     
     1.400         39713.969       170322.120      -3664.544       -3664.544       177543.284      170268.158      23039.361      81568285.445     853178.936      853178.936     80859871.352    82067257.335       631.1           43251     
     1.500         39816.852       206992.988       2769.025        2769.025       201013.594      206772.316      22841.216      80936955.796     801136.807      801136.807     80212497.369    81375863.390       664.9           42931     
     1.600         40121.689       212162.444       1600.771        1600.771       215976.092      215670.039      22611.318      82774035.594     237883.158      237883.158     79717116.817    81483459.363       637.9           42617     
