        tauB               sizeBin             clust_size           bulk_area            bulk_ndens         bulk_ndens_std          int_area            int_ndens          int_ndens_std           bub_area            bub_ndens          bub_ndens_std           gas_area            gas_ndens          gas_ndens_std    
        0.00               5.016308              43621             9536.908115            1.692163             0.048749           20407.473566           1.372242             0.539555             0.000000             0.000000             0.000000           35505.481137           0.164989             0.067074      
        0.10               5.016308              43861             7221.880288            2.262707             0.098492           17035.585209           1.634344             0.796238             0.000000             0.000000             0.000000           41192.397322           0.141215             0.082111      
        0.20               5.016308              44370             7146.390250            2.277513             0.090926           17488.525436           1.631069             0.770672             0.000000             0.000000             0.000000           40814.947132           0.127380             0.075656      
        0.30               5.016308              44757             7448.350401            2.207603             0.065952           17891.138971           1.610797             0.727307             0.000000             0.000000             0.000000           40110.373446           0.118124             0.074052      
        0.40               5.016308              44969             8505.210931            2.142922             0.079068           16985.258517           1.600741             0.670551             0.000000             0.000000             0.000000           39959.393370           0.114741             0.070240      
        0.50               5.016308              45020             9385.928040            2.087806             0.103638           16582.644982           1.561934             0.642059             0.000000             0.000000             0.000000           39481.289797           0.114054             0.068189      
        0.60               5.016308              44982             10392.461878           2.036187             0.109276           16129.704755           1.508397             0.632743             0.000000             0.000000             0.000000           38927.696186           0.115830             0.074514      
        0.70               5.016308              44936             12380.366208           1.990733             0.115442           15399.967722           1.357081             0.684566             0.000000             0.000000             0.000000           37669.528888           0.118265             0.070708      
        0.80               5.016308              44807             12984.286511           1.950280             0.114695           14921.864149           1.346078             0.668789             0.000000             0.000000             0.000000           37543.712159           0.122284             0.075619      
        0.90               5.016308              44670             14041.147041           1.913092             0.113643           14871.537457           1.247820             0.691881             0.000000             0.000000             0.000000           36537.178321           0.125379             0.074261      
        1.00               5.016308              44465             14116.637078           1.889048             0.115802           14091.473732           1.308167             0.643359             0.000000             0.000000             0.000000           37241.752007           0.131546             0.079673      
        1.10               5.016308              44086             14494.087268           1.865864             0.106344           13512.716776           1.307731             0.632779             0.000000             0.000000             0.000000           37443.058775           0.141148             0.080371      
        1.20               5.016308              43734             14343.107192           1.852946             0.100003           14393.433884           1.246124             0.662844             0.000000             0.000000             0.000000           36713.321742           0.149455             0.080721      
        1.30               5.016308              43554             14745.720727           1.842162             0.089137           13990.820349           1.229163             0.655653             0.000000             0.000000             0.000000           36713.321742           0.153595             0.081235      
        1.40               5.016308              43251             14418.597230           1.829928             0.088063           15475.457760           1.159513             0.686832             0.000000             0.000000             0.000000           35555.807829           0.159496             0.083142      
        1.50               5.016308              42931             14594.740652           1.824630             0.087468           13034.613203           1.298773             0.618270             0.000000             0.000000             0.000000           37820.508964           0.170304             0.088492      
        1.60               5.016308              42617             14116.637078           1.829756             0.085306           13890.166965           1.266363             0.649350             0.000000             0.000000             0.000000           37443.058775           0.175734             0.088052      
        1.70               5.016308              42497             14041.147041           1.834822             0.083048           13890.166965           1.261828             0.653506             0.000000             0.000000             0.000000           37518.548813           0.178845             0.089241      
        1.80               5.016308              42418             14015.983695           1.836261             0.083978           14041.147041           1.249684             0.654355             0.000000             0.000000             0.000000           37392.732083           0.179607             0.089428      
        1.90               5.016308              42320             14066.310387           1.834241             0.087589           13865.003619           1.251064             0.651659             0.000000             0.000000             0.000000           37518.548813           0.182656             0.093621      
        2.00               5.016308              42204             14041.147041           1.834679             0.090839           13789.513581           1.256099             0.649479             0.000000             0.000000             0.000000           37619.202197           0.183895             0.089834      
        2.10               5.016308              42237             13965.657003           1.839942             0.085987           13210.756624           1.299698             0.627558             0.000000             0.000000             0.000000           38273.449191           0.186396             0.091624      
        2.20               5.016308              42088             13613.370159           1.842160             0.087218           13890.166965           1.283858             0.641618             0.000000             0.000000             0.000000           37946.325694           0.186817             0.089579      
        2.30               5.016308              41939             13537.880122           1.846153             0.084622           13764.350235           1.288764             0.642832             0.000000             0.000000             0.000000           38147.632462           0.190523             0.095375      
        2.40               5.016308              41865             13537.880122           1.842755             0.083469           13839.840273           1.282457             0.640037             0.000000             0.000000             0.000000           38072.142424           0.191846             0.092392      
        2.50               5.016308              41768             13663.696851           1.849280             0.088635           13386.900046           1.289171             0.645886             0.000000             0.000000             0.000000           38399.265921           0.194639             0.093116      
        2.60               5.016308              41781             13487.553430           1.854302             0.086717           14619.903997           1.216424             0.682585             0.000000             0.000000             0.000000           37342.405391           0.192971             0.093137      
        2.70               5.016308              41887             13814.676927           1.855201             0.081179           13412.063392           1.272437             0.647582             0.000000             0.000000             0.000000           38223.122499           0.191115             0.092551      
        2.80               5.016308              41982             13839.840273           1.855007             0.076612           13563.043468           1.263065             0.661342             0.000000             0.000000             0.000000           38046.979078           0.189135             0.092448      
        2.90               5.016308              42298             14041.147041           1.848211             0.075565           13915.330311           1.232669             0.677175             0.000000             0.000000             0.000000           37493.385467           0.183926             0.093182      
        3.00               5.016308              42503             14418.597230           1.842967             0.078369           13386.900046           1.249281             0.659849             0.000000             0.000000             0.000000           37644.365542           0.178061             0.090016      
        3.10               5.016308              42621             14670.230689           1.836849             0.083413           13261.083316           1.240472             0.665228             0.000000             0.000000             0.000000           37518.548813           0.175993             0.088493      
        3.20               5.016308              42645             14695.394035           1.833500             0.077465           13160.429932           1.246996             0.651262             0.000000             0.000000             0.000000           37594.038851           0.176757             0.088989      
        3.30               5.016308              42504             14720.557381           1.829550             0.077992           12657.163013           1.284253             0.631959             0.000000             0.000000             0.000000           38072.142424           0.178950             0.089350      
        3.40               5.016308              42396             14343.107192           1.830426             0.081918           13386.900046           1.265117             0.642306             0.000000             0.000000             0.000000           37719.855580           0.180542             0.088154      
        3.50               5.016308              42362             14292.780500           1.836452             0.077293           13688.860197           1.239913             0.653172             0.000000             0.000000             0.000000           37468.222121           0.180927             0.089416      
        3.60               5.016308              42317             14418.597230           1.839985             0.078052           13311.410008           1.243219             0.660757             0.000000             0.000000             0.000000           37719.855580           0.183484             0.089236      
        3.70               5.016308              42428             14166.963770           1.843161             0.076727           13739.186889           1.243232             0.668443             0.000000             0.000000             0.000000           37543.712159           0.181309             0.090650      
        3.80               5.016308              42476             13764.350235           1.842150             0.073187           15576.111144           1.170446             0.696418             0.000000             0.000000             0.000000           36109.401439           0.177599             0.089506      
        3.90               5.016308              42377             13990.820349           1.840635             0.073042           13588.206813           1.284496             0.638361             0.000000             0.000000             0.000000           37870.835656           0.179399             0.089397      
        4.00               5.016308              42414             13915.330311           1.839554             0.075797           14192.127116           1.244493             0.657215             0.000000             0.000000             0.000000           37342.405391           0.180492             0.092157      
        4.10               5.016308              42297             13789.513581           1.840457             0.078709           13739.186889           1.285593             0.642935             0.000000             0.000000             0.000000           37921.162348           0.183486             0.091815      
        4.20               5.016308              42210             13563.043468           1.845677             0.077823           14015.983695           1.283749             0.640904             0.000000             0.000000             0.000000           37870.835656           0.184152             0.091791      
        4.30               5.016308              42099             13286.246662           1.854022             0.070157           14091.473732           1.298941             0.638012             0.000000             0.000000             0.000000           38072.142424           0.185516             0.091424      
        4.40               5.016308              42083             13261.083316           1.861311             0.074054           14720.557381           1.251040             0.662604             0.000000             0.000000             0.000000           37468.222121           0.184183             0.090167      
        4.50               5.016308              42122             13739.186889           1.860954             0.070325           13487.553430           1.287335             0.633338             0.000000             0.000000             0.000000           38223.122499           0.184940             0.092231      
        4.60               5.016308              42275             13563.043468           1.860202             0.072123           14393.433884           1.243414             0.670510             0.000000             0.000000             0.000000           37493.385467           0.183312             0.089797      
        4.70               5.016308              42349             13814.676927           1.856504             0.071591           13487.553430           1.290820             0.644557             0.000000             0.000000             0.000000           38147.632462           0.182003             0.090416      
        4.80               5.016308              42370             13814.676927           1.850568             0.069701           14041.147041           1.253601             0.663249             0.000000             0.000000             0.000000           37594.038851           0.181758             0.087673      
        4.90               5.016308              42457             14091.473732           1.841255             0.068508           13940.493657           1.243500             0.658080             0.000000             0.000000             0.000000           37417.895429           0.179566             0.090204      
        5.00               5.016308              42467             14494.087268           1.832747             0.067504           13185.593278           1.264865             0.643292             0.000000             0.000000             0.000000           37770.182272           0.178924             0.089112      
