      tauB          sizeBin        clust_size       Na_bulk         Nb_bulk        NBin_bulk         Na_gas          Nb_gas         NBin_gas         Na_int          Nb_int         NBin_int         Na_bub          Nb_bub         NBin_bub   
      0.00          5.016308         36746            5564            5388            280             6084            6096            1500           13352           13516            821              0               0               0       
      0.10          5.016308         36315            5945            5710            250             6454            6057            1622           12601           13233            729              0               0               0       
      0.20          5.016308         37016            6107            5901            238             6366            5591            1635           12527           13508            728              0               0               0       
      0.30          5.016308         37506            6614            6452            260             6234            5239            1629           12152           13309            712              0               0               0       
      0.40          5.016308         37964            6941            6744            277             6048            4802            1589           12011           13454            735              0               0               0       
      0.50          5.016308         38328            7116            6929            290             5828            4439            1541           12056           13632            770              0               0               0       
      0.60          5.016308         38514            7763            7577            324             5815            4283            1538           11422           13140            739              0               0               0       
      0.70          5.016308         38558            9057            8916            387             5818            4178            1526           10125           11906            688              0               0               0       
      0.80          5.016308         38595            9632            9479            418             5743            4109            1505            9485           11316            645             140              96              33      
      0.90          5.016308         38666           10358           10222            458             5800            4098            1510            8786           10633            620              56              47              13      
      1.00          5.016308         38528           11008           10873            494             5840            4083            1500            8152           10044            607              0               0               0       
      1.10          5.016308         38572           10623           10517            482             5665            3912            1436            8507           10438            630             205             133              53      
      1.20          5.016308         38501           11050           10968            507             5838            4001            1454            8026            9979            619              86              52              21      
      1.30          5.016308         38057           10664           10564            491             5786            4099            1431            8375           10218            639             175             119              40      
      1.40          5.016308         37717           10982           10860            508             6194            4415            1495            7824            9725            598              0               0               0       
      1.50          5.016308         37484           10816           10698            501             5985            4309            1415            8028            9858            638             171             135              47      
      1.60          5.016308         37227           10768           10626            500             6632            4827            1544            7600            9547            557              0               0               0       
      1.70          5.016308         37010           10670           10529            496             6578            4847            1514            7602            9525            559             150              99              32      
      1.80          5.016308         36970           10465           10357            487             6423            4765            1483            7938            9748            591             174             130              40      
      1.90          5.016308         36549           10710           10596            498             7043            5204            1570            7188            9154            519              59              46              14      
      2.00          5.016308         36423           10282           10171            479             6711            5041            1513            7935            9736            591              72              52              18      
      2.10          5.016308         36424           10275           10137            479             6183            4700            1402            8447           10086            695              95              77              25      
      2.20          5.016308         36339            9987            9855            466             6467            4830            1441            8419           10196            665             127             119              29      
      2.30          5.016308         36270            9967            9804            465             6647            4997            1465            8199           10068            633             187             131              38      
      2.40          5.016308         36085            9955            9841            465             7011            5231            1529            7953            9862            593              81              66              14      
      2.50          5.016308         35842            9947            9779            464             7059            5209            1511            7886            9929            601             108              83              25      
      2.60          5.016308         35951            9915            9772            464             7000            5141            1499            7938            9973            603             147             114              35      
      2.70          5.016308         35662            9959            9843            466             7298            5302            1552            7743            9855            583              0               0               0       
      2.80          5.016308         35788            9760            9563            454             7271            5245            1532            7887           10123            599              82              69              16      
      2.90          5.016308         35469            9330            9144            432             6803            4911            1441            8867           10945            728              0               0               0       
      3.00          5.016308         35376            9207            8980            424             7203            5134            1495            8438           10751            645             152             135              37      
      3.10          5.016308         35134            9490            9336            439             7698            5512            1568            7812           10152            594              0               0               0       
      3.20          5.016308         34910            9473            9316            438             7467            5314            1500            7965           10287            640              95              83              23      
      3.30          5.016308         34922            9626            9488            445             7771            5497            1539            7365            9826            562             238             189              55      
      3.40          5.016308         34909            9466            9273            437             7696            5434            1523            7737           10218            621             101              75              20      
      3.50          5.016308         34585            9139            8921            421             7681            5388            1498            7803           10425            609             377             266              73      
      3.60          5.016308         34371            8915            8706            410             7498            5285            1461            8403           10842            687             184             167              43      
      3.70          5.016308         34229            9006            8849            416             8195            5686            1569            7673           10373            590             126              92              26      
      3.80          5.016308         34088            8394            8305            390             7817            5471            1505            8704           11179            693              85              45              13      
      3.90          5.016308         34143            8820            8655            409             8408            5881            1593            7772           10464            599              0               0               0       
      4.00          5.016308         33839            8823            8690            410             8404            5886            1578            7695           10379            600              78              45              13      
      4.10          5.016308         33645            9029            8875            419             8504            5955            1585            7411           10115            583              56              55              14      
      4.20          5.016308         33625            8622            8421            398             8777            6071            1601            7548           10455            586              53              53              16      
      4.30          5.016308         33378            8466            8255            390             8554            5902            1567            7765           10675            603             215             168              41      
      4.40          5.016308         33545            8475            8244            389             8528            5813            1548            7713           10734            608             284             209              56      
      4.50          5.016308         33388            8627            8419            395             8684            5923            1576            7689           10658            630              0               0               0       
      4.60          5.016308         32995            8413            8187            384             8948            6134            1609            7639           10679            608              0               0               0       
      4.70          5.016308         33019            8531            8335            390             8903            6061            1592            7441           10512            594             125              92              25      
      4.80          5.016308         32961            8523            8299            388             8971            6137            1610            7506           10564            603              0               0               0       
      4.90          5.016308         32912            8373            8167            382             9000            6143            1605            7563           10640            600              64              50              14      
      5.00          5.016308         33021            8291            8107            378             8955            6069            1592            7606           10734            605             148              90              26      
      5.10          5.016308         33094            8015            7839            366             8567            5781            1533            8202           11222            662             216             158              40      
      5.20          5.016308         32938            8221            8088            376             9274            6185            1628            7446           10673            584              59              54              13      
      5.30          5.016308         32566            7835            7685            357             8211            5554            1455            8373           11350            687             581             411             102      
      5.40          5.016308         32512            7933            7805            362             9230            6242            1613            7837           10953            626              0               0               0       
      5.50          5.016308         32544            8352            8278            384             9316            6304            1617            7260           10361            585              72              57              15      
      5.60          5.016308         32444            8406            8258            385             9437            6358            1628            7157           10384            588              0               0               0       
      5.70          5.016308         32337            8197            8071            376             9320            6329            1608            7384           10548            604              99              52              13      
      5.80          5.016308         32161            8309            8257            384             9622            6487            1640            7069           10256            577              0               0               0       
      5.90          5.016308         32051            8117            8037            375             9209            6263            1576            7448           10539            609             226             161              41      
      6.00          5.016308         31912            8299            8179            382             9493            6413            1594            7015           10252            581             193             156              44      
      6.10          5.016308         31729            7905            7742            362             9485            6482            1606            7453           10666            609             157             110              24      
      6.20          5.016308         31836            8340            8225            383             9649            6493            1620            6814           10147            567             197             135              31      
      6.30          5.016308         31982            8132            7980            374             9426            6318            1588            7376           10653            625              66              49              14      
      6.40          5.016308         31822            8191            8052            379             9527            6360            1600            7185           10527            609              97              61              13      
      6.50          5.016308         32134            8271            8169            384             9468            6230            1582            7091           10490            605             170             111              30      
      6.60          5.016308         32007            8301            8199            385             9658            6264            1597            6828           10372            578             213             165              41      
      6.70          5.016308         32005            8063            7906            372             9546            6108            1587            7086           10785            594             305             201              48      
      6.80          5.016308         32061            8221            8108            380            10123            6424            1668            6656           10468            553              0               0               0       
      6.90          5.016308         32086            8098            7976            373            10050            6347            1657            6852           10677            571              0               0               0       
      7.00          5.016308         31816            7885            7908            365             9881            6182            1614            7097           10799            595             137             111              27      
      7.10          5.016308         31992            8238            8254            381            10188            6350            1661            6574           10396            559              0               0               0       
      7.20          5.016308         31640            7537            7430            345             9897            6196            1607            7396           11277            620             170              97              29      
      7.30          5.016308         31464            7899            7877            363            10427            6554            1669            6603           10521            556              71              48              13      
      7.40          5.016308         31427            7972            7989            367            10285            6563            1660            6659           10395            563              84              53              11      
      7.50          5.016308         31321            8003            8129            371            10508            6597            1678            6489           10274            552              0               0               0       
      7.60          5.016308         31252            7944            8067            369            10334            6489            1642            6519           10307            555             203             137              35      
      7.70          5.016308         31328            7634            7646            352            10507            6539            1668            6739           10746            564             120              69              17      
      7.80          5.016308         31131            7780            7906            362            10677            6670            1681            6469           10375            547              74              49              11      
      7.90          5.016308         31043            7698            7811            359            10763            6762            1684            6466           10386            548              73              41              10      
      8.00          5.016308         30848            7645            7733            356            10410            6548            1637            6711           10565            574             234             154              34      
      8.10          5.016308         31082            7602            7609            352            10477            6542            1648            6850           10808            590              71              41              11      
      8.20          5.016308         30825            7766            7828            361            11008            6896            1707            6226           10276            533              0               0               0       
      8.30          5.016308         30779            7583            7522            349            10631            6646            1658            6556           10702            563             230             130              31      
      8.40          5.016308         30681            7623            7587            351            11099            6948            1709            6278           10465            541              0               0               0       
      8.50          5.016308         30428            7402            7303            341            10892            6826            1678            6706           10871            582              0               0               0       
      8.60          5.016308         30670            7143            7100            331            10690            6709            1650            6958           11056            590             209             135              30      
      8.70          5.016308         30651            7340            7331            341            10636            6668            1647            7024           11001            613              0               0               0       
      8.80          5.016308         30307            7366            7387            343            10729            6759            1647            6842           10809            598              63              45              13      
      8.90          5.016308         30532            7282            7282            339            10494            6597            1599            6744           10791            585             480             330              78      
      9.00          5.016308         30225            7484            7532            350            10889            6898            1653            6533           10498            575              94              72              23      
      9.10          5.016308         30118            7106            7061            330            10764            6849            1645            6934           10951            601             196             139              25      
      9.20          5.016308         29908            7112            7138            331            11078            7124            1678            6746           10694            581              64              44              11      
      9.30          5.016308         29760            7081            7048            327            11016            7122            1669            6903           10830            605              0               0               0       
      9.40          5.016308         29615            7115            7054            328            11106            7136            1674            6581           10673            573             198             137              26      
      9.50          5.016308         29411            6935            6855            319            11249            7297            1693            6816           10848            589              0               0               0       
      9.60          5.016308         29459            7068            6999            326            11584            7495            1729            6348           10506            546              0               0               0       
      9.70          5.016308         29372            6845            6703            314            11181            7306            1673            6802           10899            587             172              92              27      
      9.80          5.016308         29478            6815            6661            312            11063            7171            1664            6915           11055            598             207             113              27      
      9.90          5.016308         29243            6998            6944            322            11094            7146            1657            6670           10748            584             238             162              38      
     10.00          5.016308         29763            6841            6814            316            11327            7290            1688            6716           10825            582             116              71              15      
     10.10          5.016308         29421            7104            7088            329            11351            7198            1692            6460           10648            565              85              66              15      
     10.20          5.016308         29568            7102            7012            328            11361            7229            1685            6347           10638            557             190             121              31      
     10.30          5.016308         29405            6999            6999            326            11547            7380            1714            6454           10621            561              0               0               0       
     10.40          5.016308         29592            6827            6813            318            11553            7268            1708            6546           10845            561              74              74              14      
     10.50          5.016308         29662            6946            6916            324            11432            7196            1691            6483           10775            564             139             113              22      
     10.60          5.016308         29212            7098            7090            332            11034            6969            1636            6540           10743            591             328             198              42      
     10.70          5.016308         29736            7159            7112            332            11407            7244            1688            6289           10552            561             145              92              20      
     10.80          5.016308         29246            6813            6686            314            10978            6946            1620            6910           11164            624             299             204              43      
     10.90          5.016308         29166            7051            6957            326            11323            7130            1653            6334           10725            575             292             188              47      
     11.00          5.016308         29368            7156            7107            332            11760            7395            1718            6084           10498            551              0               0               0       
     11.10          5.016308         29144            7191            7127            333            11732            7350            1716            6077           10523            552              0               0               0       
     11.20          5.016308         29347            6996            6979            325            11159            6952            1635            6375           10771            577             470             298              64      
     11.30          5.016308         29193            6877            6727            316            11168            6902            1630            6720           11214            622             235             157              33      
     11.40          5.016308         29123            7261            7183            336            11737            7255            1699            5930           10520            555              72              42              11      
     11.50          5.016308         29082            6897            6758            318            11552            7105            1673            6345           11006            581             206             131              29      
     11.60          5.016308         29139            6936            6812            320            11672            7205            1683            6308           10932            586              84              51              12      
     11.70          5.016308         28993            6567            6474            303            11489            7135            1649            6625           11177            597             319             214              52      
     11.80          5.016308         28777            6590            6451            302            11132            6963            1601            7107           11482            673             171             104              25      
     11.90          5.016308         28383            6891            6837            318            12153            7651            1725            5800           10422            537             156              90              21      
     12.00          5.016308         28124            6855            6824            318            12294            7809            1735            5685           10285            527             166              82              21      
     12.10          5.016308         28412            6743            6671            312            12200            7718            1719            5939           10530            550             118              81              20      
     12.20          5.016308         28068            6472            6435            299            12040            7665            1706            6416           10860            585              72              40              11      
     12.30          5.016308         27839            6441            6404            298            11872            7628            1671            6308           10725            576             379             243              56      
     12.40          5.016308         27705            6466            6333            297            12318            7897            1725            6132           10727            567              84              43              12      
     12.50          5.016308         27645            6604            6532            304            12476            7987            1745            5920           10481            552              0               0               0       
     12.60          5.016308         27648            6404            6289            293            12497            8074            1748            6099           10637            560              0               0               0       
     12.70          5.016308         27690            6464            6362            296            12429            8006            1739            6107           10632            566              0               0               0       
     12.80          5.016308         27840            6318            6259            291            11541            7426            1633            6746           11054            620             395             261              57      
     12.90          5.016308         27897            6552            6485            302            12276            7871            1735            6172           10644            564              0               0               0       
     13.00          5.016308         28177            6615            6601            306            11946            7570            1693            6357           10763            589              82              66              13      
     13.10          5.016308         28393            6646            6657            308            12360            7769            1746            5994           10574            547              0               0               0       
     13.20          5.016308         28300            6473            6478            299            12337            7710            1740            6190           10812            562              0               0               0       
     13.30          5.016308         28584            6572            6631            304            12406            7680            1745            6022           10689            552              0               0               0       
     13.40          5.016308         28155            6447            6434            297            12420            7650            1747            6133           10916            557              0               0               0       
     13.50          5.016308         28023            6376            6464            296            12127            7511            1697            6105           10823            552             392             202              56      
     13.60          5.016308         28376            6435            6480            297            12159            7433            1708            6329           11028            584              77              59              12      
     13.70          5.016308         28519            6491            6529            299            12329            7503            1731            6180           10968            571              0               0               0       
     13.80          5.016308         28542            6476            6495            298            12017            7291            1694            6507           11214            609              0               0               0       
     13.90          5.016308         28765            6276            6308            290            11914            7148            1680            6722           11476            619              88              68              12      
     14.00          5.016308         28746            6237            6354            291            12216            7294            1716            6547           11352            594              0               0               0       
     14.10          5.016308         28791            6300            6427            294            12216            7238            1705            6310           11237            578             174              98              24      
     14.20          5.016308         28485            6368            6451            296            12436            7391            1732            6196           11158            573              0               0               0       
     14.30          5.016308         28375            6150            6216            285            12214            7259            1706            6565           11488            599              71              37              11      
     14.40          5.016308         28540            6272            6384            291            12475            7392            1738            6170           11175            561              83              49              11      
     14.50          5.016308         28441            6343            6452            294            12491            7305            1735            6166           11243            572              0               0               0       
     14.60          5.016308         28370            6279            6356            291            12768            7480            1758            5953           11164            552              0               0               0       
     14.70          5.016308         28543            6419            6560            299            12559            7347            1730            6022           11093            572              0               0               0       
     14.80          5.016308         28561            6516            6675            304            12870            7485            1764            5614           10840            533              0               0               0       
     14.90          5.016308         28501            6524            6639            303            12806            7393            1754            5670           10968            544              0               0               0       
     15.00          5.016308         28394            6424            6473            297            12690            7340            1740            5808           11138            554              78              49              10      
     15.10          5.016308         28390            6499            6592            302            12575            7280            1724            5847           11066            564              79              62              11      
     15.20          5.016308         28262            6502            6755            306            12775            7510            1746            5723           10735            549              0               0               0       
     15.30          5.016308         27933            6525            6847            310            12800            7512            1747            5675           10641            544              0               0               0       
     15.40          5.016308         28059            6564            6781            308            13040            7721            1777            5396           10498            516              0               0               0       
     15.50          5.016308         27936            6419            6567            299            12867            7618            1754            5714           10815            548              0               0               0       
     15.60          5.016308         27804            6362            6482            295            12677            7530            1732            5961           10988            574              0               0               0       
     15.70          5.016308         28005            6381            6564            297            12777            7551            1748            5842           10885            556              0               0               0       
     15.80          5.016308         27876            6053            6091            278            12409            7306            1696            6303           11458            596             235             145              31      
     15.90          5.016308         27954            6253            6340            288            12745            7538            1734            5933           11085            567              69              37              12      
     16.00          5.016308         28160            6398            6551            297            12490            7331            1702            6047           11073            591              65              45              11      
     16.10          5.016308         27947            6665            6920            312            12599            7420            1728            5736           10660            561              0               0               0       
     16.20          5.016308         28221            6622            6829            309            12505            7329            1714            5761           10782            564             112              60              14      
     16.30          5.016308         28181            6478            6714            304            12381            7227            1708            5992           10984            573             149              75              16      
     16.40          5.016308         28184            6446            6667            303            12033            7024            1659            6521           11309            639              0               0               0       
     16.50          5.016308         28335            6172            6293            288            12448            7261            1706            6135           11310            574             245             136              33      
     16.60          5.016308         28029            6236            6342            291            12640            7413            1724            6012           11168            573             112              77              13      
     16.70          5.016308         27754            6224            6423            293            12785            7547            1738            5886           10972            556             105              58              14      
     16.80          5.016308         28076            6075            6163            284            12611            7495            1714            6041           11185            566             273             157              37      
     16.90          5.016308         27877            6200            6365            292            12370            7369            1683            6210           11150            601             220             116              25      
     17.00          5.016308         27539            6225            6352            292            12750            7678            1716            5701           10804            547             324             166              46      
     17.10          5.016308         27544            6188            6305            289            13135            7875            1760            5543           10745            536             134              75              16      
     17.20          5.016308         27213            6246            6343            290            13311            8050            1781            5443           10607            530              0               0               0       
     17.30          5.016308         27192            6171            6380            288            13140            7984            1745            5432           10487            529             257             149              39      
     17.40          5.016308         26958            6090            6186            282            13072            7988            1754            5838           10826            565              0               0               0       
     17.50          5.016308         27204            6158            6354            288            13459            8267            1792            5383           10379            521              0               0               0       
     17.60          5.016308         27076            5964            6096            277            12672            7824            1697            6104           10904            591             260             176              36      
     17.70          5.016308         26520            6091            6339            286            13083            8086            1747            5653           10460            544             173             115              24      
     17.80          5.016308         26630            5988            6189            280            13085            8065            1741            5749           10611            553             178             135              27      
     17.90          5.016308         26745            5990            6188            280            13056            8096            1748            5627           10545            538             327             171              35      
     18.00          5.016308         27066            5972            6225            280            12843            7844            1721            5859           10722            563             326             209              37      
     18.10          5.016308         26926            6122            6440            289            13248            8052            1766            5553           10460            535              77              48              11      
     18.20          5.016308         27090            6111            6334            286            13156            7909            1757            5625           10690            542             108              67              16      
     18.30          5.016308         27213            5959            6101            277            13007            7754            1734            6034           11145            590              0               0               0       
     18.40          5.016308         27091            6067            6240            283            13490            8051            1791            5443           10709            527              0               0               0       
     18.50          5.016308         26999            5889            6056            274            13326            8030            1760            5643           10823            546             142              91              21      
     18.60          5.016308         26891            5891            6109            275            13231            8002            1747            5604           10730            541             274             159              38      
