        tauB               sizeBin             clust_size          interface_id       press_align_bub1     press_align_bub2     press_align_bub3     press_align_bub4     press_align_bub5  
        0.00               5.016308              42651                  1               3632.345382            0.000000             0.000000             0.000000             0.000000      
        0.10               5.016308              42696                  1               2449.970476          -560.637587           -63.229374            0.000000             0.000000      
        0.20               5.016308              42807                  1               5956.684202          -2088.708339         -584.855475            0.000000             0.000000      
        0.30               5.016308              42792                  1                687.285930            0.000000             0.000000             0.000000             0.000000      
        0.40               5.016308              42785                  1                743.230937            0.000000             0.000000             0.000000             0.000000      
        0.50               5.016308              42475                  2                300.378748            0.000000             0.000000             0.000000             0.000000      
        0.60               5.016308              42048                  1               -5657.911795           0.000000             0.000000             0.000000             0.000000      
        0.70               5.016308              41494                  1               -2318.594692           0.000000             0.000000             0.000000             0.000000      
        0.80               5.016308              40490                  1                765.159563            0.000000             0.000000             0.000000             0.000000      
        0.90               5.016308              40982                  1               -2140.335943          -7.153922             0.000000             0.000000             0.000000      
        1.00               5.016308              26479                  1               7827.595736            0.000000             0.000000             0.000000             0.000000      
        1.10               5.016308              41141                  1               1761.552170          -241.063939            0.000000             0.000000             0.000000      
        1.20               5.016308              23174                  1               -8959.881122          -51.802634            0.000000             0.000000             0.000000      
        1.30               5.016308              23187                  1                75.537792             0.000000             0.000000             0.000000             0.000000      
        1.40               5.016308              23212                  1               7386.953748            0.000000             0.000000             0.000000             0.000000      
        1.50               5.016308              40938                  2               4506.641396           40.186934             0.000000             0.000000             0.000000      
        1.60               5.016308              22436                  1               3162.095877            0.000000             0.000000             0.000000             0.000000      
        1.70               5.016308              39889                  2                334.351825            0.000000             0.000000             0.000000             0.000000      
        1.80               5.016308              21339                  1               2685.643209            0.000000             0.000000             0.000000             0.000000      
        1.90               5.016308              21355                  1               4390.240093            0.000000             0.000000             0.000000             0.000000      
        2.00               5.016308              36973                  1               2965.810991            0.000000             0.000000             0.000000             0.000000      
        2.10               5.016308              34631                  1               -1851.336022          488.692342            0.000000             0.000000             0.000000      
        2.20               5.016308              21112                  1               6842.857417           15.885333           -199.389510            0.000000             0.000000      
        2.30               5.016308              21353                  1               2866.116849          1379.611713           -19.698131            0.000000             0.000000      
        2.40               5.016308              21491                  1               6749.396581          1001.586915          -359.200906           -75.556960            0.000000      
        2.50               5.016308              35141                  1               1306.591534          -1355.468324           0.000000             0.000000             0.000000      
        2.60               5.016308              32785                  1               6238.075917           -1.627541            43.481328             0.000000             0.000000      
        2.70               5.016308              33357                  1               7006.697989            0.000000             0.000000             0.000000             0.000000      
        2.80               5.016308              33758                  3               6545.623249          1522.656001            0.000000             0.000000             0.000000      
        2.90               5.016308              34248                  1               1993.748427            0.000000             0.000000             0.000000             0.000000      
        3.00               5.016308              34520                  3               1360.322847           251.770653           16.656041             0.000000             0.000000      
        3.10               5.016308              34520                  5                768.097998          -842.227111           -79.357010            0.000000             0.000000      
        3.20               5.016308              34689                  2                722.878070          -170.480570            0.000000             0.000000             0.000000      
        3.30               5.016308              35063                  1               1128.061450            0.000000             0.000000             0.000000             0.000000      
        3.40               5.016308              35380                  5                556.691719           66.222109             0.000000             0.000000             0.000000      
        3.50               5.016308              35467                  3                618.912792           49.853207             0.000000             0.000000             0.000000      
        3.60               5.016308              35654                  1                666.358163            0.000000             0.000000             0.000000             0.000000      
        3.70               5.016308              35807                  1                800.685396            0.000000             0.000000             0.000000             0.000000      
        3.80               5.016308              36141                  1                477.696430            0.000000             0.000000             0.000000             0.000000      
        3.90               5.016308              36105                  1                612.455018            0.000000             0.000000             0.000000             0.000000      
        4.00               5.016308              36324                  1                930.532026            0.000000             0.000000             0.000000             0.000000      
        4.10               5.016308              36189                  2                767.784860            0.000000             0.000000             0.000000             0.000000      
        4.20               5.016308              36291                  2                367.668516            0.000000             0.000000             0.000000             0.000000      
        4.30               5.016308              36296                  2                325.336519            0.000000             0.000000             0.000000             0.000000      
        4.40               5.016308              36491                  1                537.033700            0.000000             0.000000             0.000000             0.000000      
        4.50               5.016308              36340                  1                 5.721424             0.000000             0.000000             0.000000             0.000000      
        4.60               5.016308              36322                  1                512.623675            0.000000             0.000000             0.000000             0.000000      
        4.70               5.016308              36142                  1               -453.397018            0.000000             0.000000             0.000000             0.000000      
        4.80               5.016308              36147                  1               -139.949459            0.000000             0.000000             0.000000             0.000000      
        4.90               5.016308              36063                  1                69.571912             0.000000             0.000000             0.000000             0.000000      
        5.00               5.016308              35966                  1               3300.212395            0.000000             0.000000             0.000000             0.000000      
        5.10               5.016308              35555                  1               5630.122797            0.000000             0.000000             0.000000             0.000000      
        5.20               5.016308              35680                  1                54.664837             0.000000             0.000000             0.000000             0.000000      
        5.30               5.016308              35687                  1                132.586447            0.000000             0.000000             0.000000             0.000000      
        5.40               5.016308              35697                  1                224.913035            0.000000             0.000000             0.000000             0.000000      
        5.50               5.016308              35730                  1                -62.095204            0.000000             0.000000             0.000000             0.000000      
        5.60               5.016308              35305                  1                69.687000             0.000000             0.000000             0.000000             0.000000      
        5.70               5.016308              35608                  3                301.576254            0.000000             0.000000             0.000000             0.000000      
        5.80               5.016308              35596                  2                293.541490            0.000000             0.000000             0.000000             0.000000      
        5.90               5.016308              35409                  1                238.888183            0.000000             0.000000             0.000000             0.000000      
        6.00               5.016308              24096                  1                266.774213            0.000000             0.000000             0.000000             0.000000      
        6.10               5.016308              35030                  1               5435.771888            0.000000             0.000000             0.000000             0.000000      
        6.20               5.016308              35196                  1               2102.564546            0.000000             0.000000             0.000000             0.000000      
        6.30               5.016308              34377                  1                955.296323            0.000000             0.000000             0.000000             0.000000      
        6.40               5.016308              34467                  1               1538.930692            0.000000             0.000000             0.000000             0.000000      
        6.50               5.016308              34213                  1               1225.898636            0.000000             0.000000             0.000000             0.000000      
        6.60               5.016308              23962                  1               1419.984379            0.000000             0.000000             0.000000             0.000000      
        6.70               5.016308              33467                  2                696.895465            0.000000             0.000000             0.000000             0.000000      
        6.80               5.016308              33767                  1               1925.951423            0.000000             0.000000             0.000000             0.000000      
        6.90               5.016308              33461                  1               1339.998306            0.000000             0.000000             0.000000             0.000000      
        7.00               5.016308              33559                  1               3138.109643            0.000000             0.000000             0.000000             0.000000      
        7.10               5.016308              33464                  1                658.846907            0.000000             0.000000             0.000000             0.000000      
        7.20               5.016308              33185                  1               3413.767089            0.000000             0.000000             0.000000             0.000000      
        7.30               5.016308              33347                  1               3233.507286            0.000000             0.000000             0.000000             0.000000      
        7.40               5.016308              33562                  1                72.736921             0.000000             0.000000             0.000000             0.000000      
        7.50               5.016308              33795                  1               3100.118916            0.000000             0.000000             0.000000             0.000000      
        7.60               5.016308              33828                  1               3199.295911            0.000000             0.000000             0.000000             0.000000      
        7.70               5.016308              33910                  1                331.511616            0.000000             0.000000             0.000000             0.000000      
        7.80               5.016308              34083                  1               3121.282750            0.000000             0.000000             0.000000             0.000000      
        7.90               5.016308              33807                  1               2965.445915            0.000000             0.000000             0.000000             0.000000      
        8.00               5.016308              33944                  1               3037.139153            0.000000             0.000000             0.000000             0.000000      
        8.10               5.016308              34043                  1                329.154466            0.000000             0.000000             0.000000             0.000000      
        8.20               5.016308              33984                  1               3104.548781            0.000000             0.000000             0.000000             0.000000      
        8.30               5.016308              33657                  1               3264.699831            0.000000             0.000000             0.000000             0.000000      
        8.40               5.016308              33593                  1               3214.540989            0.000000             0.000000             0.000000             0.000000      
        8.50               5.016308              33678                  1               3137.494720            0.000000             0.000000             0.000000             0.000000      
        8.60               5.016308              33731                  2               2926.904605            0.000000             0.000000             0.000000             0.000000      
        8.70               5.016308              33637                  1               3003.320954            0.000000             0.000000             0.000000             0.000000      
        8.80               5.016308              33683                  1               2777.153587            0.000000             0.000000             0.000000             0.000000      
        8.90               5.016308              33557                  1                299.343692            0.000000             0.000000             0.000000             0.000000      
        9.00               5.016308              33769                  1                395.070413            0.000000             0.000000             0.000000             0.000000      
        9.10               5.016308              33360                  2               3007.227245            0.000000             0.000000             0.000000             0.000000      
        9.20               5.016308              33016                  1                327.434022            0.000000             0.000000             0.000000             0.000000      
        9.30               5.016308              32622                  1                182.119287            0.000000             0.000000             0.000000             0.000000      
        9.40               5.016308              32258                  1                311.846108            0.000000             0.000000             0.000000             0.000000      
        9.50               5.016308              32039                  2               2941.783498            0.000000             0.000000             0.000000             0.000000      
        9.60               5.016308              31925                  1               2675.689705            0.000000             0.000000             0.000000             0.000000      
        9.70               5.016308              31402                  1               2802.152218            0.000000             0.000000             0.000000             0.000000      
        9.80               5.016308              31307                  1               2812.701665            0.000000             0.000000             0.000000             0.000000      
        9.90               5.016308              30335                  1               2855.849378            0.000000             0.000000             0.000000             0.000000      
       10.00               5.016308              30618                  1               2634.431836            0.000000             0.000000             0.000000             0.000000      
       10.10               5.016308              30788                  1               2667.222197          -184.396363            0.000000             0.000000             0.000000      
       10.20               5.016308              30986                  1               2721.678122           -43.892517            0.000000             0.000000             0.000000      
       10.30               5.016308              31217                  1               2771.424708            0.000000             0.000000             0.000000             0.000000      
       10.40               5.016308              31439                  2               2825.813520            0.000000             0.000000             0.000000             0.000000      
       10.50               5.016308              31647                  2               2846.779951            0.000000             0.000000             0.000000             0.000000      
       10.60               5.016308              31831                  1               2905.356521            0.000000             0.000000             0.000000             0.000000      
       10.70               5.016308              32171                  1               2750.500598            0.000000             0.000000             0.000000             0.000000      
       10.80               5.016308              32331                  1               2690.276011            0.000000             0.000000             0.000000             0.000000      
       10.90               5.016308              32386                  1               2462.539286            0.000000             0.000000             0.000000             0.000000      
       11.00               5.016308              32645                  1               2485.491043            0.000000             0.000000             0.000000             0.000000      
       11.10               5.016308              32675                  2               2687.585917            0.000000             0.000000             0.000000             0.000000      
       11.20               5.016308              32843                  3               2600.006750            0.000000             0.000000             0.000000             0.000000      
       11.30               5.016308              33133                  1               2587.660279            0.000000             0.000000             0.000000             0.000000      
       11.40               5.016308              33114                  1               2477.563739            0.000000             0.000000             0.000000             0.000000      
       11.50               5.016308              33114                  1               2448.652861            0.000000             0.000000             0.000000             0.000000      
       11.60               5.016308              32862                  1               2444.753285            0.000000             0.000000             0.000000             0.000000      
       11.70               5.016308              32893                  1               2415.253436            0.000000             0.000000             0.000000             0.000000      
       11.80               5.016308              32818                  1               2350.804287            0.000000             0.000000             0.000000             0.000000      
       11.90               5.016308              32741                  2               2223.006316            0.000000             0.000000             0.000000             0.000000      
       12.00               5.016308              32787                  2               2311.559549            0.000000             0.000000             0.000000             0.000000      
       12.10               5.016308              32644                  1               2426.833512            0.000000             0.000000             0.000000             0.000000      
       12.20               5.016308              32654                  1               2406.099123            0.000000             0.000000             0.000000             0.000000      
       12.30               5.016308              32556                  1               2373.951143            0.000000             0.000000             0.000000             0.000000      
       12.40               5.016308              32426                  1               2315.578170            0.000000             0.000000             0.000000             0.000000      
       12.50               5.016308              32064                  1               2474.624057            0.000000             0.000000             0.000000             0.000000      
       12.60               5.016308              31960                  1               2658.198318            0.000000             0.000000             0.000000             0.000000      
       12.70               5.016308              32036                  2               2550.017989            0.000000             0.000000             0.000000             0.000000      
       12.80               5.016308              32001                  2               2494.866946            0.000000             0.000000             0.000000             0.000000      
       12.90               5.016308              31801                  3               2634.329082            0.000000             0.000000             0.000000             0.000000      
       13.00               5.016308              31600                  1               2732.212296            0.000000             0.000000             0.000000             0.000000      
       13.10               5.016308              31735                  1               2634.674631            0.000000             0.000000             0.000000             0.000000      
       13.20               5.016308              31989                  1               2601.331195            0.000000             0.000000             0.000000             0.000000      
       13.30               5.016308              32118                  1               2630.287340            0.000000             0.000000             0.000000             0.000000      
       13.40               5.016308              32010                  1               2583.855478            0.000000             0.000000             0.000000             0.000000      
       13.50               5.016308              32023                  1               2698.523005            0.000000             0.000000             0.000000             0.000000      
       13.60               5.016308              32234                  1               2634.223529            0.000000             0.000000             0.000000             0.000000      
       13.70               5.016308              31965                  1               2577.179343            0.000000             0.000000             0.000000             0.000000      
       13.80               5.016308              31794                  2               2557.378815            0.000000             0.000000             0.000000             0.000000      
       13.90               5.016308              31697                  1               2534.005103            0.000000             0.000000             0.000000             0.000000      
       14.00               5.016308              31735                  1               2497.507133            0.000000             0.000000             0.000000             0.000000      
       14.10               5.016308              32000                  1               2474.398010            0.000000             0.000000             0.000000             0.000000      
       14.20               5.016308              32085                  1               2513.774564            0.000000             0.000000             0.000000             0.000000      
       14.30               5.016308              32108                  1               2541.494453            0.000000             0.000000             0.000000             0.000000      
       14.40               5.016308              31817                  2               2616.807991            0.000000             0.000000             0.000000             0.000000      
       14.50               5.016308              31718                  1               2721.764465            0.000000             0.000000             0.000000             0.000000      
       14.60               5.016308              31523                  1               2753.104646            0.000000             0.000000             0.000000             0.000000      
       14.70               5.016308              31652                  1               2683.583335            0.000000             0.000000             0.000000             0.000000      
       14.80               5.016308              31744                  1               2360.392565            0.000000             0.000000             0.000000             0.000000      
       14.90               5.016308              31893                  3               2424.773334            0.000000             0.000000             0.000000             0.000000      
       15.00               5.016308              32106                  2               2463.203743            0.000000             0.000000             0.000000             0.000000      
       15.10               5.016308              32548                  1               2535.519416            0.000000             0.000000             0.000000             0.000000      
       15.20               5.016308              32532                  1               2361.452228            0.000000             0.000000             0.000000             0.000000      
       15.30               5.016308              32413                  1               2560.125745            0.000000             0.000000             0.000000             0.000000      
       15.40               5.016308              31975                  1               2650.358683            0.000000             0.000000             0.000000             0.000000      
       15.50               5.016308              31735                  3               2547.203284            0.000000             0.000000             0.000000             0.000000      
       15.60               5.016308              31912                  1               2703.510282            0.000000             0.000000             0.000000             0.000000      
       15.70               5.016308              31889                  1               2622.496953            0.000000             0.000000             0.000000             0.000000      
       15.80               5.016308              31886                  1               2681.975362            0.000000             0.000000             0.000000             0.000000      
       15.90               5.016308              31731                  1               2625.019039            0.000000             0.000000             0.000000             0.000000      
       16.00               5.016308              31445                  1               2784.845138            0.000000             0.000000             0.000000             0.000000      
       16.10               5.016308              31512                  1               2556.719941            0.000000             0.000000             0.000000             0.000000      
       16.20               5.016308              31510                  2               2426.744664            0.000000             0.000000             0.000000             0.000000      
       16.30               5.016308              31608                  2               2475.659309           31.093496             0.000000             0.000000             0.000000      
       16.40               5.016308              31503                  2               2450.852567            0.000000             0.000000             0.000000             0.000000      
       16.50               5.016308              31469                  1               2671.200220            0.000000             0.000000             0.000000             0.000000      
       16.60               5.016308              31766                  1               -322.818270            0.000000             0.000000             0.000000             0.000000      
       16.70               5.016308              31734                  1               2615.869228            0.000000             0.000000             0.000000             0.000000      
       16.80               5.016308              31744                  1               2462.829635            0.000000             0.000000             0.000000             0.000000      
       16.90               5.016308              31900                  1               2432.859124            0.000000             0.000000             0.000000             0.000000      
       17.00               5.016308              31998                  1               2294.628730            0.000000             0.000000             0.000000             0.000000      
       17.10               5.016308              32013                  1               2355.364775            0.000000             0.000000             0.000000             0.000000      
       17.20               5.016308              31976                  1               2327.878140           171.452894            0.000000             0.000000             0.000000      
       17.30               5.016308              31985                  2               2435.181684            0.000000             0.000000             0.000000             0.000000      
       17.40               5.016308              32128                  1               2367.066819            0.000000             0.000000             0.000000             0.000000      
       17.50               5.016308              31962                  1               2379.554807            0.000000             0.000000             0.000000             0.000000      
       17.60               5.016308              31973                  1               2452.833119            0.000000             0.000000             0.000000             0.000000      
       17.70               5.016308              31897                  1               2434.480404            0.000000             0.000000             0.000000             0.000000      
       17.80               5.016308              31433                  1               2568.370348           127.330066            0.000000             0.000000             0.000000      
       17.90               5.016308              31469                  1               2480.901181            0.000000             0.000000             0.000000             0.000000      
       18.00               5.016308              31224                  1               2588.942316            0.000000             0.000000             0.000000             0.000000      
       18.10               5.016308              31280                  2               2615.144580            0.000000             0.000000             0.000000             0.000000      
       18.20               5.016308              31423                  2               2671.700998            0.000000             0.000000             0.000000             0.000000      
       18.30               5.016308              31395                  1               2545.348385            0.000000             0.000000             0.000000             0.000000      
       18.40               5.016308              31730                  1               2443.322712            0.000000             0.000000             0.000000             0.000000      
       18.50               5.016308              31614                  2               2550.863271            0.000000             0.000000             0.000000             0.000000      
       18.60               5.016308              31232                  1               2375.271906            0.000000             0.000000             0.000000             0.000000      
       18.70               5.016308              31208                  2               2389.030793           -90.562938            0.000000             0.000000             0.000000      
       18.80               5.016308              31087                  1               2441.141197            0.000000             0.000000             0.000000             0.000000      
       18.90               5.016308              31191                  1               2496.379147            0.000000             0.000000             0.000000             0.000000      
       19.00               5.016308              31448                  1               2445.544657            0.000000             0.000000             0.000000             0.000000      
       19.10               5.016308              31609                  2               2399.782405           -43.030026            0.000000             0.000000             0.000000      
       19.20               5.016308              31590                  1               2292.797157            0.000000             0.000000             0.000000             0.000000      
       19.30               5.016308              31130                  1               2408.471494           48.504740             0.000000             0.000000             0.000000      
       19.40               5.016308              31088                  1               2554.349171            0.000000             0.000000             0.000000             0.000000      
       19.50               5.016308              31123                  1               2707.718227            0.000000             0.000000             0.000000             0.000000      
       19.60               5.016308              31037                  1               2506.962461           -0.684538             0.000000             0.000000             0.000000      
