        tauB               sizeBin             clust_size          press_align          press_alignA     press_alignB
        0.00               5.016308              36510              983.472988          -161.083706          1144.556694     
        0.10               5.016308              36520              459.733770          -417.246047           876.979818     
        0.20               5.016308              36780              51.020716           -620.173880           671.194596     
        0.30               5.016308              36920             -209.859620          -719.642888           509.783269     
        0.40               5.016308              37082             -408.632501          -799.579253           390.946752     
        0.50               5.016308              37072             -437.942015          -734.059757           296.117742     
        0.60               5.016308              37377             -707.714280          -940.057866           232.343586     
        0.70               5.016308              37629             -806.664115          -990.126377           183.462263     
        0.80               5.016308              37860             -694.798232          -852.114307           157.316076     
        0.90               5.016308              37976             -1105.676519         -1249.455243          143.778724     
        1.00               5.016308              38414             -1321.842180         -1450.390406          128.548226     
        1.10               5.016308              38657             -1297.987703         -1424.820060          126.832357     
        1.20               5.016308              38721             -1559.892841         -1672.338284          112.445443     
        1.30               5.016308              26975             1315.240996          1408.747369           -93.506373     
        1.40               5.016308              25426             1332.950933          1433.333793          -100.382859     
        1.50               5.016308              28070             1488.432056          1575.150736           -86.718679     
        1.60               5.016308              28968             1416.995024          1505.418751           -88.423727     
        1.70               5.016308              29701             1353.348163          1442.392985           -89.044822     
        1.80               5.016308              30321             1255.629298          1324.091550           -68.462252     
        1.90               5.016308              31282             1152.251466          1239.115258           -86.863792     
        2.00               5.016308              31829              947.739754          1054.756658          -107.016905     
        2.10               5.016308              32760              878.408392           972.940121           -94.531730     
        2.20               5.016308              33535              807.848030           876.055044           -68.207014     
        2.30               5.016308              34111              732.065397           796.179518           -64.114121     
        2.40               5.016308              34831              684.284976           770.832962           -86.547987     
        2.50               5.016308              35269              628.707213           722.372182           -93.664968     
        2.60               5.016308              35348              582.723863           672.632913           -89.909050     
        2.70               5.016308              36052              549.511004           639.958398           -90.447394     
        2.80               5.016308              36195              666.291556           737.895892           -71.604336     
        2.90               5.016308              36722              644.431123           719.244530           -74.813407     
        3.00               5.016308              37001              497.082222           551.011981           -53.929759     
        3.10               5.016308              37174              466.316991           549.874696           -83.557705     
        3.20               5.016308              37608              550.105841           631.451171           -81.345329     
        3.30               5.016308              37711              512.930309           598.157691           -85.227382     
        3.40               5.016308              37993              496.537359           583.351615           -86.814256     
        3.50               5.016308              38226              555.917790           638.631640           -82.713849     
        3.60               5.016308              38249              838.136867           884.001863           -45.864996     
        3.70               5.016308              38583             1070.305080          1116.923384           -46.618304     
        3.80               5.016308              38655             1124.242645          1141.211190           -16.968545     
        3.90               5.016308              38998             1116.850643          1101.879407           14.971236      
