        tauB               sizeBin             clust_size      press_align
        0.00               5.016308              33368             1580.705325     
        0.10               5.016308              33573             1308.455589     
        0.20               5.016308              33963             1092.794344     
        0.30               5.016308              34348              990.974354     
        0.40               5.016308              34679              816.649666     
        0.50               5.016308              35018              751.905693     
        0.60               5.016308              35205              550.726027     
        0.70               5.016308              35413              548.739373     
        0.80               5.016308              35624              607.382346     
        0.90               5.016308              35909              427.335797     
        1.00               5.016308              36046              408.718863     
        1.10               5.016308              36211              324.541770     
        1.20               5.016308              36279              370.452043     
        1.30               5.016308              36387              149.247429     
        1.40               5.016308              36435              213.834313     
        1.50               5.016308              36426              260.233705     
        1.60               5.016308              36545              339.412467     
        1.70               5.016308              36534              454.723272     
        1.80               5.016308              36634              450.080315     
        1.90               5.016308              36475              328.688287     
        2.00               5.016308              36275              402.167520     
        2.10               5.016308              36197              482.982997     
        2.20               5.016308              36031              309.010514     
        2.30               5.016308              35707              317.821781     
        2.40               5.016308              32742              249.582147     
        2.50               5.016308              32612              291.107678     
        2.60               5.016308              32494              213.561144     
        2.70               5.016308              32509              289.778064     
        2.80               5.016308              32395              290.705663     
        2.90               5.016308              32651              213.960410     
        3.00               5.016308              26855              463.817028     
        3.10               5.016308              26795              439.167017     
        3.20               5.016308              26791              547.194106     
        3.30               5.016308              26983              485.563312     
        3.40               5.016308              27007              411.083893     
        3.50               5.016308              26969              564.095128     
        3.60               5.016308              29459              583.648952     
        3.70               5.016308              23573              403.538132     
        3.80               5.016308              20858              531.491824     
        3.90               5.016308              20775              429.137177     
        4.00               5.016308              23194              364.259767     
        4.10               5.016308              21572              469.735628     
        4.20               5.016308              21532              637.529741     
        4.30               5.016308              22867              458.552168     
        4.40               5.016308              21386              555.305644     
        4.50               5.016308              21405              443.864353     
        4.60               5.016308              21405              442.574258     
        4.70               5.016308              21134              515.195195     
        4.80               5.016308              21138              434.731533     
        4.90               5.016308              20338              342.266786     
        5.00               5.016308              20257              351.204973     
        5.10               5.016308              20377              269.858127     
        5.20               5.016308              20130              257.914290     
        5.30               5.016308              20195              350.614930     
        5.40               5.016308              20035              289.692617     
        5.50               5.016308              20241              333.761539     
        5.60               5.016308              20396              271.707383     
        5.70               5.016308              20345              252.158056     
        5.80               5.016308              20442              328.261337     
        5.90               5.016308              15482              436.917321     
        6.00               5.016308              15692              396.710137     
        6.10               5.016308              15640              479.467878     
        6.20               5.016308              15722              427.067557     
        6.30               5.016308              15800              470.148268     
        6.40               5.016308              15628              491.006467     
        6.50               5.016308              15702              449.946191     
        6.60               5.016308              15627              326.892416     
        6.70               5.016308              17787              388.414913     
        6.80               5.016308              17782              389.932905     
        6.90               5.016308              15563              306.693049     
        7.00               5.016308              17717              409.380742     
        7.10               5.016308              17679              391.620423     
        7.20               5.016308              15371              304.532111     
        7.30               5.016308              15318              204.341066     
        7.40               5.016308              17635              155.690476     
        7.50               5.016308              17782              142.187971     
        7.60               5.016308              17920              388.405712     
        7.70               5.016308              17904              440.440155     
        7.80               5.016308              17836              363.745196     
        7.90               5.016308              18047              468.015566     
        8.00               5.016308              18018              407.039040     
        8.10               5.016308              17992              398.422772     
        8.20               5.016308              17899              387.168375     
        8.30               5.016308              17756              387.095574     
        8.40               5.016308              17863              384.925564     
        8.50               5.016308              17749              457.609750     
        8.60               5.016308              17724              371.169579     
        8.70               5.016308              17742              395.982220     
        8.80               5.016308              17851              469.416951     
        8.90               5.016308              17866              447.205983     
        9.00               5.016308              17874              434.288076     
        9.10               5.016308              17932              441.028252     
        9.20               5.016308              18092              457.038378     
        9.30               5.016308              17911              502.917333     
        9.40               5.016308              17954              455.984307     
        9.50               5.016308              17910              450.570229     
        9.60               5.016308              17833              431.537584     
        9.70               5.016308              17798              288.860430     
        9.80               5.016308              17851              338.175436     
        9.90               5.016308              11365              358.100365     
       10.00               5.016308              11372              303.338038     
       10.10               5.016308              11356              330.106341     
       10.20               5.016308              11446              343.226220     
       10.30               5.016308              11365              372.166418     
       10.40               5.016308              11473              318.029117     
       10.50               5.016308              11519              228.213935     
       10.60               5.016308              11674              349.637834     
       10.70               5.016308              11764              316.409690     
       10.80               5.016308              13206             -110.289201     
       10.90               5.016308              11800              374.447127     
       11.00               5.016308              11938              301.159222     
       11.10               5.016308              12127              323.967857     
       11.20               5.016308              12278              332.801634     
       11.30               5.016308              12388              325.439381     
       11.40               5.016308              12449              366.650419     
       11.50               5.016308              12475              364.091228     
       11.60               5.016308              12546              303.101470     
       11.70               5.016308              12629              360.637176     
       11.80               5.016308              12695              358.811633     
       11.90               5.016308              12797              411.654444     
       12.00               5.016308              12846              428.549478     
       12.10               5.016308              12878              418.866953     
       12.20               5.016308              12993              413.867955     
       12.30               5.016308              13049              420.135868     
       12.40               5.016308              13081              398.526912     
