      tauB          sizeBin        clust_size        int_id          bub_id            Na              Nb            radius        radius_err        sa_ext          sa_int        edge_width    edge_width_err       NBin     
      0.00          5.016308         41923             1               1              7184           17604         93.398051        1.540677       608.602033      415.574325      32.041695        4.041363          742      
      0.10          5.016308         42148             1               1              6746           17562         85.772606        1.378496       556.006823      361.478751      29.366555        2.408978          634      
      0.20          5.016308         42641             1               1              6534           18193         85.942843        1.909522       561.902396      357.979365      30.318322        3.186225          653      
      0.30          5.016308         43146             1               1              5963           18822         87.822003        2.839214       592.263580      366.740627      30.906023        4.386809          677      
      0.40          5.016308         43573             2               2              4033           19266         88.610376        1.659251       582.363213      398.523639      28.076492        3.358630          647      
      0.50          5.016308         43924             1               1              3221           19518         89.431459        2.125326       593.780153      412.067886      27.037660        4.711990          639      
      0.60          5.016308         44099             2               2              1996           19448         91.416767        3.885042       628.068195      433.380689      26.253069        6.756749          639      
      0.70          5.016308         44215             1               1              816            18786         91.870607        2.453770       619.288773      454.877837      23.505570        5.037983          602      
      0.80          5.016308         44251             2               2              603            18805         93.326855        3.351387       641.608701      458.945490      23.708440        6.166482          623      
      0.90          5.016308         44221             1               1              147            17308         91.197903        2.325435       608.630388      475.434680      19.222290        4.624470          527      
      1.00          5.016308         44085             3               3              238            17479         92.216151        2.876003       624.709929      474.596211      20.195441        5.200374          551      
      1.10          5.016308         43857             1               1              365            17712         92.175322        2.218100       611.991393      472.414465      20.513451        4.552470          557      
      1.20          5.016308         43694             4               4              240            17396         94.850076        6.620450       677.771758      481.105890      22.434176        9.097894          589      
      1.20          5.016308         43694             4               5               0              214          75.440007       39.880196       645.738705       0.000000       75.440007       39.880196           48      
      1.30          5.016308         43440             1               1              298            17073         94.361788        6.082532       686.993327      484.639601      21.708087        8.717292          584      
      1.30          5.016308         43440             1               4               0              112          73.948377       40.502883       593.342631       0.000000       73.948377       40.502883           33      
      1.40          5.016308         43382             2               2              334            16873         95.037661        7.002444       672.921530      487.343718      22.206209       10.112474          579      
      1.50          5.016308         43271             3               3              338            16565         92.191323        6.997953       258.110497      489.733693      18.971420        9.886882          563      
      1.60          5.016308         43109             1               1              402            16498         92.759964        3.321551       623.832191      489.553735      19.574687        6.458927          552      
      1.70          5.016308         42987             2               2              507            16201         92.451966        3.233262       626.436927      495.200816      19.243919        6.816462          536      
      1.80          5.016308         42885             4               4              583            16437         92.621886        3.729812       617.077924      490.028076      19.837576        7.609577          557      
      1.90          5.016308         42676             1               1              302            15185         90.908682        3.667519       605.412136      500.257039      16.563287        7.344438          481      
      2.00          5.016308         42491             2               2              515            16324         79.922303       25.380702       527.734478      486.697441       7.049377       28.976274          563      
      2.10          5.016308         42351             1               1              853            16342         92.052535        3.763843       612.659512      485.864567      19.872003        7.717171          553      
      2.20          5.016308         42132             2               2              1004           16483         92.298820        4.544819       626.183662      480.640303      20.771323        8.175155          565      
      2.30          5.016308         42051             2               2              598            15487         90.936381        4.605430       619.119783      483.398546      18.146115        8.098948          508      
      2.40          5.016308         41963             2               2              910            16027         92.776818        5.171399       626.384627      481.841895      20.738449        8.662382          563      
      2.50          5.016308         41900             1               1              1067           15705         91.362460        3.906375       616.739038      487.114431      19.451227        8.071176          535      
      2.60          5.016308         41927             1               1              1009           15396         91.543814        3.984266       612.993165      493.813436      18.982932        8.715182          530      
      2.70          5.016308         42049             1               1              947            15592         92.084251        5.363803       632.592387      490.151431      19.655371        9.963775          546      
      2.80          5.016308         41950             1               1              1080           16060         120.447953       4.949678       73.926806       492.674853      48.303251        9.906670          601      
      2.90          5.016308         42084             1               1              1007           15740         93.006473        5.005345       635.005585      504.917880      20.295894       10.061006          566      
      3.00          5.016308         42140             1               1              984            15367         92.807415        5.048057       640.260110      502.643677      19.532862        9.876642          546      
      3.10          5.016308         42200             1               1              1239           15938         92.908778        4.731770       625.588512      501.345924      20.542737        9.613733          565      
      3.20          5.016308         42230             2               2              1321           15736         92.050455        4.232764       635.022840      502.468618      19.687950        9.734977          551      
      3.30          5.016308         42201             1               1              1161           15621         92.238488        4.789831       630.274343      498.776896      19.689004        9.868855          545      
      3.40          5.016308         42208             3               3              1454           16070         93.066936        5.386937       653.204042      486.924912      21.376092       10.140785          578      
      3.50          5.016308         42238             1               1              1203           15719         93.797362        6.528384       660.394325      501.362194      21.096456       11.495865          574      
      3.60          5.016308         42292             2               2              1410           16271         94.296256        5.208399       656.131746      492.456920      22.429552       10.223104          608      
      3.70          5.016308         42377             2               2              1160           15977         95.132438        6.154121       687.047541      498.418591      22.271904       11.367747          612      
      3.80          5.016308         42422             1               1              1250           15618         92.711555        5.500728       632.078078      496.201636      19.857676       11.111381          556      
      3.90          5.016308         42503             2               2              1402           15666         93.273442        4.738107       640.948502      510.024855      20.518287       11.260638          572      
