    Timestep        gasArea         gasSigXX        gasSigXY        gasSigYX        gasSigYY        gasTrace        bulkArea       bulkSigXX       bulkSigXY       bulkSigYX       bulkSigYY       bulkTrace         Length          NDense    
     0.000         38269.802        7571.239        -576.402        -576.402        7921.064        7169.750       24862.034      43474572.851      5775.936        5775.936      43497837.485    43491981.104       512.8           42651     
     0.100         39537.417       92814.285        -398.908        -398.908       93115.204       92565.836       23262.908      79184414.639    -860511.285     -860511.285     78289494.948    77876443.508       581.5           42696     
     0.200         39067.460       84696.362        -612.210        -612.210       87904.356       85688.149       22706.580      79991995.005    -572682.727     -572682.727     80174534.238    79510581.895       830.6           42807     
     0.300         38536.535       94645.912        -625.723        -625.723       92859.774       93127.119       22625.290      76894737.585    -386136.376     -386136.376     76437098.720    76279781.777       979.4           42792     
     0.400         37704.582       107663.965      -1600.909       -1600.909       110754.648      107608.397      22541.459      70572042.128    -142157.829     -142157.829     69859498.321    70073612.395       1205.9          42785     
     0.500         36984.404       118674.313       359.582         359.582        119132.464      119262.970      21952.107      66888587.526     107742.517      107742.517     67578515.037    67341293.799       1522.6          42475     
     0.600         36776.098       191480.668       5684.106        5684.106       189843.920      196346.399      21555.818      64747770.324     -34094.746      -34094.746     64556078.651    64617829.741       1670.2          42048     
     0.700         36853.578       260470.077      -3514.708       -3514.708       259188.775      256314.718      21028.704      63529232.219     75635.592       75635.592      63649185.208    63664844.306       1784.1          41494     
     0.800         37528.031       579566.151       6533.515        6533.515       575046.187      583839.684      20445.702      62125905.619    -134339.251     -134339.251     63257301.353    62557264.235       1748.0          40490     
     0.900         36459.829       322181.132       2190.520        2190.520       324013.572      325287.873      20366.952      59068060.541     460180.906      460180.906     60794698.752    60391560.552       2025.2          40982     
     1.000         37761.739      2585307.366      13390.818       13390.818      2609090.898     2610589.950      18981.212      61243194.312     295966.024      295966.024     61691820.265    61763473.313       2115.4          26479     
     1.100         36038.138       426512.244       4446.732        4446.732       430238.606      432822.157      19740.765      65321664.953     -15071.144      -15071.144     64305207.399    64798365.032       2369.0          41141     
     1.200         37320.995       554429.698      -3146.568       -3146.568       581088.858      564612.710      19227.622      69120111.383     -77427.654      -77427.654     69432385.480    69198820.778       2237.1          23174     
     1.300         37627.103       638271.543      -1758.307       -1758.307       647788.125      641271.527      19151.413      73133715.425     892728.686      892728.686     74182930.102    74551051.449       2198.8          23187     
     1.400         36910.735       540801.050       2253.665        2253.665       517032.142      531170.261      19480.383      75357943.622     474709.474      474709.474     76704665.765    76506014.168       2349.8          23212     
     1.500         36868.820       451610.530      -7039.685       -7039.685       460907.256      449219.209      19985.905      73604208.807     776752.701      776752.701     75704651.853    75431183.031       2229.2          40938     
     1.600         37549.623       491727.509      -8530.521       -8530.521       481831.724      478249.096      20100.219      74172043.730     507660.784      507660.784     74748708.217    74968036.757       1968.9          22436     
     1.700         37582.647       583948.526       -546.529        -546.529       557484.223      570169.845      19447.359      73346583.363    -559205.142     -559205.142     73710504.896    72969338.988       2185.3          39889     
     1.800         38311.717       703098.854       442.060         442.060        712547.084      708265.029      18588.734      73134855.496    -796196.271     -796196.271     73022550.297    72282506.626       2238.2          21339     
     1.900         38807.078       753004.890      -2635.517       -2635.517       757737.142      752735.499      18149.260      74663899.888     216665.489      216665.489     73907513.287    74502372.076       2250.6          21355     
     2.000         40484.954       892466.663      -3405.043       -3405.043       896257.241      890956.909      17985.410      76610463.821     236393.319      236393.319     74735822.309    75909536.384       1797.6          36973     
     2.100         42625.167      2846558.186      -30226.197      -30226.197     2839831.648     2812968.720      17126.784      75679810.220     232012.219      232012.219     72567530.659    74355682.659       1449.3          34631     
     2.200         42664.542      2564562.497      17719.648       17719.648      2593049.371     2596525.582      17373.194      76175336.010     511311.824      511311.824     73346234.912    75272097.284       1326.5          21112     
     2.300         42355.894      2224692.003       6876.662        6876.662      2204479.502     2221462.414      17163.619      77952260.045    -405504.141     -405504.141     73975993.837    75558622.800       1532.7          21353     
     2.400         42783.936      2068510.266       -39.923         -39.923       2016637.836     2042534.128      17149.647      78182041.874    -432002.080     -432002.080     75139695.167    76228866.440       1393.0          21491     
     2.500         42369.865      1268125.596      10719.565       10719.565      1252118.843     1270841.785      17093.760      79158453.420     -95659.562      -95659.562     77254987.530    78111060.913       1572.2          35141     
     2.600         42449.885      1076439.603      16836.095       16836.095      1068130.883     1089121.338      17230.937      78874032.708     265020.913      265020.913     77542248.170    78473161.353       1510.2          32785     
     2.700         41830.049       854698.686      -2536.123       -2536.123       874911.023      862268.731      17628.496      78787750.306     263783.986      263783.986     77433072.061    78374195.169       1565.4          33357     
     2.800         44223.023      2815249.539      91626.624       91626.624      2754348.491     2876425.639      16783.842      77055161.659    -309549.011     -309549.011     75867058.507    76151561.072       1121.4          33758     
     2.900         43632.401      2189732.752      12761.595       12761.595      2189516.323     2202386.133      16942.612      78364669.627     -58729.716      -58729.716     75863813.419    77055511.806       1249.9          34248     
     3.000         43410.123      1713931.726      23981.104       23981.104      1692115.643     1727004.788      17251.259      75771224.622     -27583.430      -27583.430     76278965.066    75997511.414       1216.0          34520     
     3.100         43511.736      1238488.583       5129.507        5129.507      1258534.815     1253641.206      17220.776      76420572.057    -198840.012     -198840.012     76644757.587    76333824.810       1191.3          34520     
     3.200         43572.703       983788.689       9502.104        9502.104      1002876.900     1002834.898      17407.489      77598810.981    -156418.775     -156418.775     76969480.826    77127727.129       1109.0          34689     
     3.300         43312.321       900427.750       5332.702        5332.702       923252.144      917172.649      17613.254      76884467.418    -724993.136     -724993.136     77163317.368    76298899.257       1122.5          35063     
     3.400         42969.379       851558.287       -662.959        -662.959       848876.756      849554.563      17764.402      76157980.388    -391887.755     -391887.755     76283948.441    75829076.660       1203.6          35380     
     3.500         42932.545       818755.004       2453.828        2453.828       805035.410      814349.034      17797.427      76955535.600     263659.399      263659.399     77352606.632    77417730.515       1208.2          35467     
     3.600         42755.993       811786.199      -9154.377       -9154.377       817543.042      805510.243      17798.697      77825177.337    -219474.277     -219474.277     77820719.382    77603474.082       1258.9          35654     
     3.700         43027.806       791717.421       247.746         247.746        790417.551      791315.231      17904.120      79969990.183    -677479.170     -677479.170     81152666.665    79883849.254       1145.0          35807     
     3.800         42674.703       734619.179      -1610.712       -1610.712       736557.576      733977.666      18117.506      79381878.867    -286549.836     -286549.836     80655525.436    79732152.316       1187.9          36141     
     3.900         42656.921       722491.327      13902.662       13902.662       721760.836      736028.744      18147.990      78451796.826     -91983.866      -91983.866     78383584.631    78325706.862       1173.2          36105     
     4.000         42329.220       699563.374       -503.769        -503.769       692252.777      695404.306      18102.264      77354783.250    -416524.641     -416524.641     78120611.132    77321172.550       1299.4          36324     
     4.100         42602.304       678623.851      -1252.889       -1252.889       665834.436      670976.254      18121.316      79179411.443    -372213.926     -372213.926     78656139.084    78545561.338       1183.4          36189     
     4.200         42609.925       680142.870       6677.314        6677.314       666727.997      680112.748      18197.526      79587112.317    -148740.212     -148740.212     77971943.260    78630787.576       1183.4          36291     
     4.300         42474.018       673524.006      -2351.643       -2351.643       665162.909      666991.814      18179.744      78011876.845     98833.875       98833.875      77115852.054    77662698.325       1247.6          36296     
     4.400         42235.229       678143.510      -1179.726       -1179.726       673771.573      674777.815      18370.267      76447544.621     473056.548      473056.548     75560561.461    76477109.589       1258.9          36491     
