        tauB               sizeBin             clust_size           bulk_area            bulk_ndens         bulk_ndens_std          int_area            int_ndens          int_ndens_std           bub_area            bub_ndens          bub_ndens_std           gas_area            gas_ndens          gas_ndens_std    
        0.00               5.016308              33379             11298.342332           1.511815             0.123556           15500.621106           1.151438             0.465341             0.000000             0.000000             0.000000           38650.899381           0.389926             0.074999      
        0.10               5.016308              33409             11851.935943           1.513339             0.092340           14921.864149           1.138531             0.501415             0.000000             0.000000             0.000000           38676.062726           0.389776             0.123269      
        0.20               5.016308              33733             12028.079365           1.496332             0.140355           14242.453808           1.131547             0.487637             0.000000             0.000000             0.000000           39179.329645           0.405469             0.178271      
        0.30               5.016308              33990             9687.888191            1.492379             0.151064           16607.808328           1.129589             0.474619            352.286843            1.354010             0.295282           38801.879456           0.420212             0.207543      
        0.40               5.016308              34153             4806.199077            1.462694             0.227071           24735.569070           1.130235             0.473629            377.450189            0.410650             0.130331           35530.644483           0.418174             0.208707      
        0.50               5.016308              34462             1937.577638            1.533874             0.157960           28560.397654           1.145572             0.469949             0.000000             0.000000             0.000000           34951.887526           0.409420             0.187065      
        0.60               5.016308              34540             1509.800757            1.574380             0.100298           27704.843892           1.141461             0.479372            478.103573            0.416228             0.152758           35757.114596           0.441870             0.247559      
        0.70               5.016308              34828             1132.350568            1.541042             0.173505           26748.636746           1.132618             0.495500            352.286843            0.451337             0.160098           37216.588661           0.478281             0.296624      
        0.80               5.016308              35304             1107.187222            1.546261             0.101608           26723.473400           1.099633             0.521670            352.286843            0.391726             0.147825           37266.915353           0.503503             0.319244      
        0.90               5.016308              35626             1358.820681            1.507925             0.159955           25289.162681           1.103437             0.515091            729.737033            0.417959             0.153602           38072.142424           0.518516             0.336276      
        1.00               5.016308              36018              100.653384            1.619419             0.032951           31504.509130           1.054103             0.518677            503.266919            0.409326             0.155496           33341.433385           0.492540             0.302197      
        1.10               5.016308              36072              805.227070            1.543664             0.100884           30548.301984           1.021071             0.531650             0.000000             0.000000             0.000000           34096.333763           0.515158             0.315959      
        1.20               5.016308              35220             1031.697184            1.546966             0.101751           24332.955534           1.034482             0.534316            880.717108            1.005998             0.400995           39204.492991           0.569986             0.361251      
        1.30               5.016308              21645              176.143422            1.464716             0.272387           24735.569070           1.052775             0.531561           1082.023876            0.977797             0.409523           39456.126451           0.573878             0.361919      
        1.40               5.016308              19814              100.653384            1.500198             0.032951           27050.596897           1.026225             0.529385           1560.127449            1.053119             0.410007           36738.485088           0.556528             0.345069      
        1.50               5.016308              14563              201.306768            1.505165             0.041857           30749.608752           0.991135             0.526384             0.000000             0.000000             0.000000           34498.947299           0.557118             0.345178      
        1.60               5.016308              16961              503.266919            1.504172             0.077748           3120.254898            0.888068             0.520775           24458.772264           1.008554             0.538230           37367.568737           0.583501             0.369050      
        1.70               5.016308              24239              301.960151            1.510133             0.036278            528.430265            0.734250             0.340011           24383.282226           1.056462             0.526565           40236.190175           0.581467             0.385092      
        1.80               5.016308              23071              981.370492            1.506057             0.101336           14947.027495           1.002139             0.468239           10241.481802           1.160086             0.535776           39279.983029           0.551477             0.377734      
