      tauB          sizeBin        clust_size       Na_bulk         Nb_bulk        NBin_bulk         Na_gas          Nb_gas         NBin_gas         Na_int          Nb_int         NBin_int         Na_bub          Nb_bub         NBin_bub   
      0.00          5.016308         41910           17677             0              422              0              7438            1437            7296           17589            742              0               0               0       
      0.10          5.016308         41876           16148             0              380              0              7326            1415            8515           17701            796             310              0               10      
      0.20          5.016308         41723           10062             3              230             104             6981            1353           14521           18043            1008            286              0               10      
      0.30          5.016308         41713            4053             21              92             246             6428            1284           20674           18578            1225             0               0               0       
      0.40          5.016308         40685            1857            1328             75             359             5862            1164           22757           17837            1362             0               0               0       
      0.50          5.016308         31849            1448            4778            146             1321            5325            1173           22204           14924            1282             0               0               0       
      0.60          5.016308         33358            904             6145            169             1484            4898            979            22585           13984            1453             0               0               0       
      0.70          5.016308         34571            3916            9666            325             4725            4017            1242           14163           11150            950             2169            194              84      
      0.80          5.016308         35421            1819            9043            256             3874            3623            987            19280           12361            1358             0               0               0       
      0.90          5.016308         37082            1948            9557            270             4544            2888            888            17559           12571            1380            922              11              63      
      1.00          5.016308         38566            2195            8070            224             3111            2305            647            19667           14652            1730             0               0               0       
      1.10          5.016308         40620            2850            6912            212             3295            1734            782            18828           16381            1607             0               0               0       
      1.20          5.016308         42223            2413            5489            169             4471            1906            1306           18089           17632            1126             0               0               0       
      1.30          5.016308         43177            4470            7578            258             3909            2248            1417           16594           15201            926              0               0               0       
      1.40          5.016308         43049            2902            5501            179             3466            2284            1368           18605           17242            1054             0               0               0       
      1.50          5.016308         42573            1554            4059            118             3543            2684            1380           19876           18284            1103             0               0               0       
      1.60          5.016308         41881            2833            5499            177             3585            2765            1349           18555           16763            1075             0               0               0       
      1.70          5.016308         41040            1742            4327            128             3075            2456            1172           20156           18244            1301             0               0               0       
      1.80          5.016308         40931            1538            3128             97             2859            2122            1025           20461           19773            1441            115              4               38      
      1.90          5.016308         40461            2393            4887            151             4128            3673            1367           18357           16420            1050             95              47              33      
      2.00          5.016308         40052            2548            4236            142             4170            3685            1401           18255           17106            1058             0               0               0       
      2.10          5.016308         39680            2412            4160            138             3864            3727            1303           18697           17140            1160             0               0               0       
      2.20          5.016308         38934            3217            4768            168             4561            4883            1458           17195           15376            975              0               0               0       
      2.30          5.016308         39065            2696            4242            145             4240            4439            1387           18037           16346            1069             0               0               0       
      2.40          5.016308         29643            3227            4686            166             4528            5180            1445           17218           15161            990              0               0               0       
      2.50          5.016308         28736            3048            4260            153             4049            4796            1255           17364           15616            1050            512             355             143      
      2.60          5.016308         28420            3726            4833            179             4509            5868            1391           11940           10496            681             4798            3830            350      
      2.70          5.016308         28767            4165            5092            193             4906            6171            1497           15834           13689            896              68              75              15      
      2.80          5.016308         36897            4569            5432            208             4861            6145            1502           15484           13395            874              59              55              17      
      2.90          5.016308         37141            5062            5782            225             4848            6317            1540           15063           12928            836              0               0               0       
      3.00          5.016308         37466            4930            5778            222             4761            6254            1531           15282           12995            848              0               0               0       
      3.10          5.016308         37249            5260            5751            229             4609            6228            1511           15104           13048            861              0               0               0       
      3.20          5.016308         36929            5512            5904            236             4733            6483            1533           14728           12640            832              0               0               0       
      3.30          5.016308         29228            5390            5681            228             4430            6391            1483           14977           12781            832             176             174              58      
      3.40          5.016308         36889            5395            5483            224             4600            6720            1518           14865           12768            820             113              56              39      
      3.50          5.016308         37155            5671            5729            235             4625            6788            1548           14677           12510            818              0               0               0       
      3.60          5.016308         36881            5513            5798            233             4587            6902            1546           14873           12327            822              0               0               0       
      3.70          5.016308         30047            5446            5720            230             4503            7103            1535           14957           12147            810              67              57              26      
      3.80          5.016308         29846            5226            5435            220             4155            6855            1401           15204           12438            838             388             299             142      
      3.90          5.016308         30251            5745            5810            239             4359            7096            1455           14651           11894            825             218             227              82      
      4.00          5.016308         30225            5821            5732            239             4587            7415            1502           11203            8855            585             3362            3025            275      
      4.10          5.016308         30759            5994            5821            244             4881            7974            1570           14098           11232            787              0               0               0       
      4.20          5.016308         30844            6077            5905            247             5143            8506            1624           11188            8704            588             2565            1912            142      
      4.30          5.016308         30972            5755            5521            233             4859            7919            1534           11696            9248            625             2663            2339            209      
      4.40          5.016308         30819            6003            5966            248             5366            8761            1626           11539            8652            596             2065            1648            131      
      4.50          5.016308         34268            6154            6015            253             5173            8405            1534           13422           10335            745             224             272              69      
      4.60          5.016308         31821            5948            5530            238             5179            8302            1476           13616           10961            815             230             234              72      
      4.70          5.016308         31490            5900            5727            240             5783            8683            1571           12649            9763            718             641             854              72      
      4.80          5.016308         31568            5939            5644            238             6093            9578            1618           12605            9456            688             336             349              57      
      4.90          5.016308         31631            6307            5954            250             6292           10196            1698           12238            8793            621             136              84              32      
      5.00          5.016308         31804            6215            5808            245             6261           10333            1733           12448            8831            613              49              55              10      
      5.10          5.016308         32057            6696            6153            263             6072           10312            1725           12140            8452            594              65             110              19      
      5.20          5.016308         32571            7103            6122            271             5711           10120            1711           12159            8785            619              0               0               0       
      5.30          5.016308         32845            6709            5895            258             5359            9824            1647           12735            9053            640             170             255              56      
      5.40          5.016308         33143            6937            6169            269             5083            9753            1635           12835            8933            653             118             172              44      
      5.50          5.016308         33342            7132            6128            273             5172           10100            1695           12669            8799            633              0               0               0       
      5.60          5.016308         33382            7592            6418            289             5135           10221            1698           12246            8388            614              0               0               0       
      5.70          5.016308         33103            7408            6245            282             4519            9223            1529           12930            9370            745             116             189              45      
      5.80          5.016308         33053            7701            6411            294             4920           10185            1647           12217            8251            610             135             180              50      
      5.90          5.016308         33011            6881            5760            264             4701            9827            1574           13024            8890            647             367             550             116      
      6.00          5.016308         32799            7183            5835            271             5061           10309            1660           12654            8757            641              75             126              29      
      6.10          5.016308         32238            7022            5546            261             4971           10087            1596           12901            9312            715              79              82              29      
      6.20          5.016308         32318            7546            5731            275             5478           10984            1712           11790            8049            567             159             263              47      
      6.30          5.016308         31866            7233            5831            270             5424           11102            1697           12066            7784            570             250             310              64      
      6.40          5.016308         31789            7450            5812            273             5705           11378            1740           11764            7726            571              54             111              17      
      6.50          5.016308         31796            8083            6288            297             5912           11674            1770           10978            7065            534              0               0               0       
      6.60          5.016308         31201            7554            6022            280             6050           11897            1784           11369            7108            537              0               0               0       
      6.70          5.016308         31118            7195            5713            266             5839           11577            1734           11812            7553            569             127             184              32      
      6.80          5.016308         31212            6584            5383            245             5916           11522            1742           12473            8122            614              0               0               0       
      6.90          5.016308         30997            6596            5403            244             6056           12007            1784           12321            7617            573              0               0               0       
      7.00          5.016308         31279            6692            5462            247             5908           11693            1759           12373            7872            595              0               0               0       
      7.10          5.016308         31131            6795            5418            249             5832           11765            1765           12346            7844            587              0               0               0       
      7.20          5.016308         31204            6526            5190            239             5861           11895            1769           12586            7942            593              0               0               0       
      7.30          5.016308         31204            6915            5393            251             5873           12037            1767           12082            7453            560             103             144              23      
      7.40          5.016308         31010            6714            5321            245             5811           11842            1741           12387            7762            593              61             102              22      
      7.50          5.016308         30843            7089            5496            257             5858           12121            1765           11921            7208            549             105             202              30      
      7.60          5.016308         30781            6929            5325            251             5965           12273            1776           12050            7344            564              29              85              10      
      7.70          5.016308         30130            7323            5621            266             5933           12293            1772           11717            7113            563              0               0               0       
      7.80          5.016308         30474            7400            5650            269             5881           12310            1771           11692            7067            561              0               0               0       
      7.90          5.016308         30555            7579            5673            274             5940           12678            1800           11454            6676            527              0               0               0       
      8.00          5.016308         30891            7460            5493            268             5648           12087            1728           11808            7374            586              57              73              19      
      8.10          5.016308         30546            7814            5626            278             5925           12812            1802           11234            6589            521              0               0               0       
      8.20          5.016308         30252            7846            5706            280             5939           12848            1798           11188            6473            523              0               0               0       
      8.30          5.016308         30071            7499            5478            269             5949           12881            1797           11525            6668            535              0               0               0       
      8.40          5.016308         30306            7743            5626            277             6082           13095            1815           11148            6306            509              0               0               0       
      8.50          5.016308         29715            7610            5575            273             5822           12596            1763           11497            6763            554              44              93              11      
      8.60          5.016308         30038            7710            5618            276             5973           12868            1786           11290            6541            539              0               0               0       
