        tauB               sizeBin             clust_size          interface_id            bub_id               r_min                r_max                align                alignA               alignB              num_dens            num_densA            num_densB              press                pressA               pressB       
        0.00               5.016308                2                    1                    0                 0.000000             3.045615            -0.016200            -0.016200               nan                1.750130             1.750130             0.000000            -12.758783           -12.758783            0.000000      
        0.00               5.016308                2                    1                    0                 3.045615             6.091230            -0.033443            -0.033443               nan                1.681497             1.681497             0.000000            -25.305182           -25.305182            0.000000      
        0.00               5.016308                2                    1                    0                 6.091230             9.136846             0.013853             0.013853               nan                1.612865             1.612865             0.000000            10.054059            10.054059             0.000000      
        0.00               5.016308                2                    1                    0                 9.136846            12.182461             0.042140             0.042140               nan                1.588353             1.588353             0.000000            30.119762            30.119762             0.000000      
        0.00               5.016308                2                    1                    0                12.182461            15.228076            -0.031344            -0.031344               nan                1.647181             1.647181             0.000000            -23.232856           -23.232856            0.000000      
        0.00               5.016308                2                    1                    0                15.228076            18.273691             0.002994             0.002994               nan                1.662779             1.662779             0.000000             2.240450             2.240450             0.000000      
        0.00               5.016308                2                    1                    0                18.273691            21.319307             0.006707             0.006707               nan                1.639262             1.639262             0.000000             4.947431             4.947431             0.000000      
        0.00               5.016308                2                    1                    0                21.319307            24.364922            -0.035210            -0.035210               nan                1.617440             1.617440             0.000000            -25.627420           -25.627420            0.000000      
        0.00               5.016308                2                    1                    0                24.364922            27.410537            -0.013789            -0.013789               nan                1.633051             1.633051             0.000000            -10.133272           -10.133272            0.000000      
        0.00               5.016308                2                    1                    0                27.410537            30.456152            -0.043248            -0.043248               nan                1.614671             1.614671             0.000000            -31.424410           -31.424410            0.000000      
        0.00               5.016308                2                    1                    0                30.456152            33.501768             0.001184             0.001184               nan                1.625937             1.625937             0.000000             0.866438             0.866438             0.000000      
        0.00               5.016308                2                    1                    0                33.501768            36.547383             0.015438             0.015438               nan                1.653149             1.653149             0.000000            11.484475            11.484475             0.000000      
        0.00               5.016308                2                    1                    0                36.547383            39.592998            -0.017905            -0.017905               nan                1.645808             1.645808             0.000000            -13.260913           -13.260913            0.000000      
        0.00               5.016308                2                    1                    0                39.592998            42.638613            -0.026192            -0.026192               nan                1.644639             1.644639             0.000000            -19.384404           -19.384404            0.000000      
        0.00               5.016308                2                    1                    0                42.638613            45.684229            -0.000103            -0.000103               nan                1.614048             1.614048             0.000000            -0.074626            -0.074626             0.000000      
        0.00               5.016308                2                    1                    0                45.684229            48.729844             0.005261             0.005261               nan                1.608437             1.608437             0.000000             3.807627             3.807627             0.000000      
        0.00               5.016308                2                    1                    0                48.729844            51.775459            -0.004126            -0.004126               nan                1.684617             1.684617             0.000000            -3.127765            -3.127765             0.000000      
        0.00               5.016308                2                    1                    0                51.775459            54.821074            -0.012657            -0.012657               nan                1.646200             1.646200             0.000000            -9.376290            -9.376290             0.000000      
        0.00               5.016308                2                    1                    0                54.821074            57.866690            -0.003955            -0.003955               nan                1.622139             1.622139             0.000000            -2.887301            -2.887301             0.000000      
        0.00               5.016308                2                    1                    0                57.866690            60.912305             0.017579             0.017579               nan                1.612865             1.612865             0.000000            12.758865            12.758865             0.000000      
