        tauB              sizeBin_x            sizeBin_y            clust_size       all-all_bulk_press   all-all_bulk_shear   all-all_int_press    all-all_int_shear    all-all_gas_press    all-all_gas_shear   all-all_dense_press  all-all_dense_shear  all-all_system_press all-all_system_shear   all-A_bulk_press     all-A_bulk_shear     all-A_int_press      all-A_int_shear      all-A_gas_press      all-A_gas_shear     all-A_dense_press    all-A_dense_shear    all-A_system_press   all-A_system_shear    all-B_bulk_press     all-B_bulk_shear     all-B_int_press      all-B_int_shear      all-B_gas_press      all-B_gas_shear     all-B_dense_press    all-B_dense_shear    all-B_system_press   all-B_system_shear     A-A_bulk_press       A-A_bulk_shear       A-A_int_press        A-A_int_shear        A-A_gas_press        A-A_gas_shear       A-A_dense_press      A-A_dense_shear      A-A_system_press     A-A_system_shear      A-B_bulk_press       A-B_bulk_shear       A-B_int_press        A-B_int_shear        A-B_gas_press        A-B_gas_shear       A-B_dense_press      A-B_dense_shear      A-B_system_press     A-B_system_shear      B-B_bulk_press       B-B_bulk_shear       B-B_int_press        B-B_int_shear        B-B_gas_press        B-B_gas_shear       B-B_dense_press      B-B_dense_shear      B-B_system_press     B-B_system_shear  
    0.000000000          5.016308000          5.016308000             30433            6753.750035432       -89.380407134        2601.978786643        6.794654901          37.445180608         -0.298898280        3784.377557239       -20.595407869        1155.330426385        -6.354296758        2102.736652364       -35.534676182        658.180204638         -2.094275364         21.390742038         -0.238352537        1069.580945549       -11.617894669        334.114924247         -3.633402400        4651.013383068       -53.845730951        1943.798582006        8.888930265          16.054438570         -0.060545743        2714.796611690        -8.977513200        821.215502138         -2.720894358        738.347241131         -6.967299584        213.942181647         0.933593665          10.348345025         -0.243411382        363.289498845         -1.316531861        115.647205219         -0.563573432        1364.610941266       -27.781506658        444.222043358         -3.375695346         11.020429804         0.015670659         706.343108355        -10.326319444        218.467718753         -3.069828887        3286.402441803       -26.064224293        1499.576538648        12.264625610         5.034008766          -0.076216402        2008.453503335        1.348806244         602.747783385         0.348934529     
    0.300000000          5.016308000          5.016308000             29989            6169.019480130        -3.986480426        2424.244867614        6.010321590          35.404859608         0.232162169         3532.772675797        3.051069252         1116.482800483        1.103519837         1909.095433562        -6.347087275        605.986040218         3.884736092          20.514155097         0.120802315         991.732353173         0.855912757         320.729238239         0.348033686         4259.924046569        2.360606849         1818.258827397        2.125585499          14.890704511         0.111359853         2541.040322624        2.195156495         795.753562244         0.755486151         666.106463074         1.226499048         201.962262293         2.226483311          10.181402401         0.022526204         339.358182424         1.930468069         111.933855741         0.612293701         1243.719776265        -7.713544666        403.621834295         1.816550873          10.362562074         0.066952766         652.307543485         -1.004547060        208.795382164         -0.264260560        3016.204270304        10.074151514        1414.636993102        0.309034626          4.528142437          0.044407087         1888.732779139        3.199703555         586.958180080         1.019746711     
    0.600000000          5.016308000          5.016308000             31066            6323.501602742        -2.462528640        2630.189568329        33.886141539         33.894532907         0.171429742         3783.456035849        22.535976141        1151.122585494        6.835221922         1945.358424539        -8.679332425        641.363988349         4.357802161          19.790278879         0.136885302         1048.546767134        0.286851749         326.320951081         0.181569653         4378.143178203        6.216803785         1988.825579980        29.528339377         14.104254028         0.034544440         2734.909268715        22.249124392        824.801634413         6.653652269         679.188326961         -1.154446020        207.605932594         -2.133854191         9.950047766          -0.062781726        354.861338319         -1.828026091        112.720616846         -0.588758036        1266.809397316        -8.270702447        433.474049898         6.808231670          9.838405089          0.206103835         693.689732576         2.099712888         213.600334656         0.770327986         3111.333780886        14.487506232        1555.351530081        22.720107707         4.265848938          -0.171559395        2041.219536139        20.149411505        611.201299758         5.883324283     
    0.900000000          5.016308000          5.016308000             30802            6543.933525750        41.442425222        2641.476590830        0.186223013          32.456419829         -0.144856758        3797.394214591        12.406414553        1175.978472064        3.667332529         2039.708057997        16.781110517        651.327610670         -2.391893162         19.064153738         -0.124552694        1062.569414055        3.287199067         336.007312389         0.911696399         4504.225467752        24.661314705        1990.148980161        2.578116175          13.392266091         -0.020304064        2734.824800536        9.119215486         839.971159675         2.755636130         726.266813365         2.962212354         213.834834990         -0.768404517         9.588025916          -0.160916922        365.618484280         0.336613644         117.724920229         -0.009802294        1312.822424178        12.834434572        437.629541826         -1.216202151         9.514097753          0.038524712         696.863889257         2.945632018         218.282392750         0.921498481         3191.403043574        11.826880133        1552.519438335        3.794318326          3.878168339          -0.058828776        2037.960911279        6.173583469         621.688766925         1.834137650     
    1.200000000          5.016308000          5.016308000             30599            6864.994984603       -47.503885241        2610.725600466        16.402665351         32.142991647         0.187728904         3788.582737161        -1.290804408        1174.528166081        -0.261913483        2139.846545318        3.772424950         638.201770084         2.758563901          19.058823816         0.012612406         1053.954242620        3.039266265         333.784804698         0.933059620         4725.148439285       -51.276310191        1972.523830382        13.644101450         13.084167831         0.175116498         2734.628494541        -4.330070673        840.743361383         -1.194973103        760.006471801         8.890117920         207.365808685         2.118485923          9.703867421          -0.028629491        360.372515667         3.993311975         116.347043415         1.194498421         1381.320388511        -5.002064533        430.280211575         0.567124061          9.351475902          0.050306260         693.589691662         -0.974787825        217.437761433         -0.261439000        3343.828050774       -46.274245658        1542.243618807        13.076977389         3.732691929          0.124810238         2041.038802879        -3.355282848        623.305599949         -0.933534103    
    1.500000000          5.016308000          5.016308000             30095            6818.906992391       -20.525029715        2355.074104613        11.349699516         35.422946718         -0.035308366        3584.005874952        2.574311098         1140.517976272        0.777375896         2083.674465905        -1.201419284        567.666609310         1.577773540          20.516572197         0.093223241         985.036673533         0.812637738         320.886153928         0.317262357         4735.232526486       -19.323610431        1787.407495303        9.771925976          14.906374520         -0.128531607        2598.969201419        1.761673360         819.631822343         0.460113539         729.707685568        -10.934236572        180.905388070         0.055050096          10.192829061         0.093613219         331.995403307         -2.970395493        110.408163601         -0.860576345        1360.742739450        10.093824613        384.214219558         1.408918788          10.314838262         -0.008039347        653.060960220         3.799948417         210.477990429         1.177839195         3374.489787036       -29.417435044        1403.193275745        8.363007188          4.591536258          -0.120492259        1945.908241199        -2.038275056        609.153831915         -0.717725656    
    1.800000000          5.016308000          5.016308000             31632            6612.147632404       -186.620500257       2680.739651028       -22.600227127         36.587431299         0.067979848         3850.547188965       -71.405172529        1115.816336198       -20.156641509        2025.225318371       -49.348405401        655.082109895         -1.398099085         21.147187381         -0.042099783        1062.774178722       -15.665921209        315.894386776         -4.463142678        4586.922314033       -137.272094856       2025.657541133       -21.202128042         15.440243918         0.110079631         2787.773010243       -55.739251320        799.921949422        -15.693498831        703.159795999        -17.369828520        212.688624899         -2.057794667         10.459286131         -0.023538156        358.630454343         -6.613956914        108.980616313         -1.888416359        1323.185600631       -31.930837734        441.911383613         0.689642412          10.690017940         -0.032469379        704.138358513         -9.016723284        206.913769828         -2.574726539        3263.736713403       -105.341257122       1583.746157520       -21.891770454         4.750225979          0.142549009         2083.634651730       -46.722528036        593.008179594        -13.118772292    
    2.100000000          5.016308000          5.016308000             29422            6945.496961022        84.625844790        2651.074025522       -41.695646369         38.622743358         0.352841729         3861.735810530        -6.083736628        1143.959547092        -1.508099034        2182.940778625        35.217699782        635.259303177         -6.357589784         22.103589885         0.110612135         1071.573761681        5.363103551         325.525954049         1.629210191         4762.556182397        49.408145007        2015.814722344       -35.338056585         16.519153473         0.242229594         2790.162048848       -11.446840179        818.433593043         -3.137309225        765.325286647         3.859070432         205.109420320         -1.687017528         10.908903043         0.028538276         363.042616678         -0.123492731        112.717650699         -0.015416863        1413.939368327        31.672488933        431.535495811         -4.826887104         11.211510811         0.091739915         708.489779020         5.462830608         212.808303465         1.644627343         3348.616814070        17.735656074        1584.279226533       -30.511169481         5.307642662          0.150489679         2081.672269828       -16.909670787        605.625289578         -4.781936568    
    2.400000000          5.016308000          5.016308000             29209            6592.567617491       134.066210458        2647.597949822        23.315878106         37.258949035         -0.117946714        3824.260007822        56.349266185        1130.699085578        16.186119756        2030.747625304        58.193274452        641.254654329         6.935301302          21.464860710         -0.070948050        1055.697298135        22.223964398        320.084068901         6.366375768         4561.819992188        75.872936006        2006.343295493        16.380576805         15.794088326         -0.046998664        2768.562709687        34.125301786        810.615016677         9.819743988         700.222987100         18.398218831        204.111567313         2.241187054          10.722832458         -0.083942850        352.086211830         7.060328357         109.286422580         1.978859025         1328.640798191        39.021001092        437.918756651         5.063702021          10.749164953         0.001436095         703.593506725         15.192110799        210.797646564         4.387517103         3233.179193996        36.851934915        1568.424538842        11.316874783         5.044923373          -0.048434759        2064.969202962        18.933190988        599.817370113         5.432226885     
    2.700000000          5.016308000          5.016308000             30250            6380.166299737        11.038599877        2541.347303913        45.623983608         37.306518252         -0.557272226        3639.579006230        35.729595544        1102.338253452        10.171140429        1970.571062011        9.701932552         615.567005411         7.778346306          21.422764267         -0.217662011        1003.214459835        8.328657065         311.694895713         2.309104375         4409.595237726        1.336667325         1925.780298502        37.845637302         15.883753985         -0.339610214        2636.364546395        27.400938479        790.643357738         7.862036054         678.219627447         1.485105365         192.921166657         0.978522185          10.593848979         -0.029394419        331.758177547         1.123448453         105.547854618         0.311449937         1288.900617697        8.064628417         423.987385864         6.933824086          10.841288631         -0.210146736        671.426801993         7.257331177         206.147040178         1.997654308         3120.694620029        -6.727961093        1501.792912639        30.911813216         5.042465354          -0.129463479        1964.937744402        20.143607302        584.496317560         5.864381746     
