        tauB              sizeBin_x            sizeBin_y            clust_size        bulk_all-all_XX      bulk_all-all_XY      bulk_all-all_YX      bulk_all-all_YY       bulk_all-A_XX        bulk_all-A_XY        bulk_all-A_YX        bulk_all-A_YY        bulk_all-B_XX        bulk_all-B_XY        bulk_all-B_YX        bulk_all-B_YY         bulk_A-A_XX          bulk_A-A_XY          bulk_A-A_YX          bulk_A-A_YY          bulk_A-B_XX          bulk_A-B_XY          bulk_A-B_YX          bulk_A-B_YY          bulk_B-B_XX          bulk_B-B_XY          bulk_B-B_YX          bulk_B-B_YY         gas_all-all_XX       gas_all-all_XY       gas_all-all_YX       gas_all-all_YY        gas_all-A_XX         gas_all-A_XY         gas_all-A_YX         gas_all-A_YY         gas_all-B_XX         gas_all-B_XY         gas_all-B_YX         gas_all-B_YY          gas_A-A_XX           gas_A-A_XY           gas_A-A_YX           gas_A-A_YY           gas_A-B_XX           gas_A-B_XY           gas_A-B_YX           gas_A-B_YY           gas_B-B_XX           gas_B-B_XY           gas_B-B_YX           gas_B-B_YY        dense_all-all_XX     dense_all-all_XY     dense_all-all_YX     dense_all-all_YY      dense_all-A_XX       dense_all-A_XY       dense_all-A_YX       dense_all-A_YY       dense_all-B_XX       dense_all-B_XY       dense_all-B_YX       dense_all-B_YY        dense_A-A_XX         dense_A-A_XY         dense_A-A_YX         dense_A-A_YY         dense_A-B_XX         dense_A-B_XY         dense_A-B_YX         dense_A-B_YY         dense_B-B_XX         dense_B-B_XY         dense_B-B_YX         dense_B-B_YY    
    0.000000000          5.016308000          5.016308000             30433          37209129.659610167   -497053.333411040    -497053.333411040    37907421.624791950   11554457.178957205   -197611.868356504    -197611.868356504    11832598.124575963   25654672.480652962   -299441.465054535    -299441.465054535    26074823.500215985   4050788.267812748     -38745.845921979     -38745.845921979    4161256.612904294    7513008.561413182    -154495.721541180    -154495.721541180    7664465.762491252    18141663.919239782   -144945.743513356    -144945.743513356    18410357.737724736   1724977.010674786     -13726.337502872     -13726.337502872    1714221.012790341     984491.106322667     -10945.888904478     -10945.888904478     980167.537140118     740485.904352119     -2780.448598394      -2780.448598394      734053.475650223     478552.836455099     -11178.206789854     -11178.206789854     471903.461998143     505470.423203209      719.645359085        719.645359085       506714.316882550     235015.481148910     -3500.093957479      -3500.093957479      227339.158767673    73992134.031315640   -402161.513617461    -402161.513617461    73801103.778363988   20900166.093865421   -226859.799762311    -226859.799762311    20870727.177575111   53091967.937450215   -175301.713855150    -175301.713855150    52930376.600788862   7115226.522761097     -25707.597019672     -25707.597019672    7072504.612553079    13785407.414615002   -201639.524882665    -201639.524882665    13799772.290474087   39306560.522835225    26337.811027516      26337.811027516     39130604.310314789 
    0.300000000          5.016308000          5.016308000             29989          37476994.782303579    -23874.538290839     -23874.538290839    36413994.783220068   11578452.669688083    -38011.920785230     -38011.920785230    11288220.261925854   25898542.112615496    14137.382494390      14137.382494390     25125774.521294210   4045565.005231700      7345.351125078       7345.351125078     3932893.463094468    7540117.829527135     -46195.465116949     -46195.465116949    7356850.044610091    18358424.283088367    60332.847611339      60332.847611339     17768924.476684123   1594241.642898046     10498.032619614      10498.032619614     1607669.959128384     917776.061608497      5462.503446854       5462.503446854      937463.923446230     676465.581289549      5035.529172760       5035.529172760      670206.035682154     453313.568801909      1018.601883671       1018.601883671      467462.585432096     465436.733125700      3027.505850638       3027.505850638      471722.970368406     211028.848163849      2008.023322122       2008.023322122      198483.065313747    71715638.389602944    61727.189331544      61727.189331544     71229742.269397169   20159556.708614212    17316.253556554      17316.253556554     19968572.595420815   51556081.680988729    44410.935774990      44410.935774990     51261169.673976362   6883544.008234663     39055.936837500      39055.936837500     6847790.843491768    13275038.425803954    -20323.323220360     -20323.323220360    13119060.110167040   38281043.255184777    64734.258995349      64734.258995349     38142109.563809328 
    0.600000000          5.016308000          5.016308000             31066          39178808.827019677    -14995.641337705     -14995.641337705    37835493.063086644   12098184.040477820    -52853.052752600     -52853.052752600    11594451.844512250   27080624.786541857    37857.411414895      37857.411414895     26241041.218574401   4273929.373018511     -7030.033349621      -7030.033349621     3997945.632138985    7829679.831224288     -50364.688356035     -50364.688356035    7598867.118116597    19250944.955317568    88222.099770930      88222.099770930     18642174.100457806   1578355.135157711      7876.900020031       7876.900020031     1536435.143960585     921170.222066877      6289.642775871       6289.642775871      897487.920925089     657184.913090834      1587.257244161       1587.257244161      638947.223035496     460520.697276948     -2884.711693658      -2884.711693658      453854.259381854     460338.009402474      9470.114592006       9470.114592006      443777.371631008     196846.903688360     -7882.857347845      -7882.857347845      195169.851404488    74270177.305693522    439487.437080701     439487.437080701    73296663.030227482   20723559.690551240     5594.066086330       5594.066086330     20173105.132369693   53546617.615142286    433893.370994372     433893.370994372    53123557.897857793   7033999.401849451     -35649.421026478     -35649.421026478    6806723.460233081    13689871.827820897    40947.746386661      40947.746386661     13366237.993402082   39856745.787321381    392945.624607710     392945.624607710    39757319.904455706 
    0.900000000          5.016308000          5.016308000             30802          39438815.302961364    244022.239398582     244022.239398582    37625463.868973345   12274111.518456522    98810.920114879      98810.920114879     11746400.088549050   27164703.784504838    145211.319283703     145211.319283703    25879063.780424297   4352418.417760837     17442.166773474      17442.166773474     4200423.422428640    7919153.961053275     75572.012228191      75572.012228191     7541228.300156673    19245549.823451564    69639.307055512      69639.307055512     18337835.480267622   1471194.063224643     -6601.241154371      -6601.241154371     1486937.237163203     867369.609754930     -5675.968334715      -5675.968334715      870168.608698951     603824.453469713      -925.272819656       -925.272819656      616768.628464252     433336.739084272     -7333.116023668      -7333.116023668      440531.658042091     435627.818410095      1755.602716520       1755.602716520      431502.644702373     168196.635059618     -2680.875536177      -2680.875536177      185265.983761879    76224504.643113449    246627.652113406     246627.652113406    74752623.403924972   21324179.248627551    65346.372586702      65346.372586702     20921547.536410376   54900325.394485906    181281.279526704     181281.279526704    53831075.867514595   7270402.586467124      6691.557214547       6691.557214547     7265888.774981789    14052181.773301637    58556.346430770      58556.346430770     13653793.085833492   40848143.621184267    122724.933095934     122724.933095934    40177282.781681098 
    1.200000000          5.016308000          5.016308000             30599          38206205.838262215   -261783.116931577    -261783.116931577    37456648.923584536   11934155.821810067    20788.976668025      20788.976668025     11650260.297088055   26272050.016452149   -282572.093599602    -282572.093599602    25806388.626496475   4234471.306162849     48991.419697780      48991.419697780     4141974.623205953    7705191.774621241     -27565.240989370     -27565.240989370    7519093.774001451    18566858.241830908   -255006.852610232    -255006.852610232    18287294.852495022   1459957.095699141      8550.236131315       8550.236131315     1467990.196006940     867801.874359947      574.440311660        574.440311660       868291.398703030     592155.221339194      7975.795819655       7975.795819655      599698.797303911     440482.678780585     -1303.948950320      -1303.948950320      443455.339351523     426641.020843606      2291.231620273       2291.231620273      425197.191446140     165514.200495588      5684.564199382       5684.564199382      174501.605857771    75944236.601465121    -25692.437687649     -25692.437687649    74873230.798984647   21096540.576547883    60494.183789689      60494.183789689     20859705.506926030   54847696.024917230    -86186.621477338     -86186.621477338    54013525.292058617   7220181.797820304     79483.706760996      79483.706760996     7125676.245735057    13877036.998895042    -19402.378314597     -19402.378314597    13733668.103447124   40970659.026022181    -66784.243162741     -66784.243162741    40279857.188611485 
    1.500000000          5.016308000          5.016308000             30095          38109513.259175397   -115174.688413167    -115174.688413167    38418072.723532498   11661724.905176289    -6741.675583086      -6741.675583086     11723045.854633346   26447788.353999108   -108433.012830080    -108433.012830080    26695026.868899155   4112050.346571880     -61356.660995972     -61356.660995972    4077351.226418722    7598688.545620210     56640.751357189      56640.751357189     7672726.229474343    18849099.808378894   -165073.764187269    -165073.764187269    19022300.639424808   1603669.815016146     -1591.261639100      -1591.261639100     1589181.213739529     927427.492353429      4201.343299656       4201.343299656      921835.900925032     676242.322662717     -5792.604938756      -5792.604938756      667345.312814498     461553.453859437      4218.918678011       4218.918678011      457178.265775660     465062.038805910      -362.313699018       -362.313699018      464666.993009658     211180.283856807     -5430.291239738      -5430.291239738      202678.319804840    72851520.257292002    52470.407409181      52470.407409181     73249118.891286954   20005153.454845320    16563.434472869      16563.434472869     20149492.661614388   52846366.802446686    35906.972936312      35906.972936312     53099626.229672559   6771434.568086019     -60543.522408715     -60543.522408715    6762232.035687089    13234530.861589475    77451.727446200      77451.727446200     13387251.306205839   39611835.940857209    -41544.754509888     -41544.754509888    39712374.923466712 
    1.800000000          5.016308000          5.016308000             31632          35738303.306564525   -1028423.169880915   -1028423.169880915   37137782.851774797   10960002.661901502   -271947.848395111    -271947.848395111    11361110.385899061   24778300.644663028   -756475.321485804    -756475.321485804    25776672.465875730   3784172.226198298     -95721.177908945     -95721.177908945    3965735.477797976    7186702.430537935    -175963.590890294    -175963.590890294    7396847.906794026    17591598.214125089   -580511.730595510    -580511.730595510    18379824.559081703   1723978.163807182      3190.269801793       3190.269801793     1710091.809482262     995030.931354722     -1975.727656758      -1975.727656758      989828.858605491     728947.232452461      5165.997458551       5165.997458551      720262.950876771     492616.298061687     -1104.637211611      -1104.637211611      489084.771663036     502304.166770738     -1523.776253402      -1523.776253402      501053.224471027     226643.065681722      6689.773711953       6689.773711953      219209.726405744    70575755.512915611   -1322439.691437399   -1322439.691437399   72050226.782707006   19490491.910267815   -290136.348334839    -290136.348334839    19875136.858803570   51085263.602647796   -1032303.343102560   -1032303.343102560   52175089.923903435   6547823.445510972    -122491.954440662    -122491.954440662    6736008.259864165    12942778.891242482   -166991.722514734    -166991.722514734    13138819.418424260   38142484.711405315   -865311.620587826    -865311.620587825    39036270.505479172 
    2.100000000          5.016308000          5.016308000             29422          36656702.476041771    451447.514670989     451447.514670989    37446601.284247667   11524450.136631330    187873.374601050     187873.374601050    11765909.720555441   25132252.339410435    263574.140069939     263574.140069939    25680691.563692231   4042956.224835674     20586.710356598      20586.710356598     4122497.235164801    7469364.812845078     168960.988783534     168960.988783534    7616320.070147611    17662887.526565358    94613.151286405      94613.151286405     18064371.493544616   1796166.382397877     16416.676527653      16416.676527653     1797836.437658184    1023036.132655328      5146.453751032       5146.453751032     1033792.499196592     773130.249742549     11270.222776621      11270.222776621      764043.938461592     505186.564224785      1327.801137942       1327.801137942      509931.081244452     518441.193287837      4268.385451230       4268.385451230      524835.331631753     254689.056454712      7001.837325391       7001.837325391      239208.606829839    72921106.088265687   -115121.551414268    -115121.551414268    73228881.945214897   20256726.071502596    101485.129778373     101485.129778373    20297703.369190648   52664380.016763091   -216606.681192641    -216606.681192641    52931178.576024242   6871450.853545489     -2336.832711369      -2336.832711369     6868141.051861799    13384683.587871619    103372.248546153     103372.248546153    13428588.423977686   39279696.428891473   -319978.929738794    -319978.929738794    39502590.152046554 
    2.400000000          5.016308000          5.016308000             29209          37923263.964494243    755676.193234525     755676.193234525    36395930.764708899   11692650.708626598    328011.599339201     328011.599339201    11200330.746789504   26230613.255867645    427664.593895325     427664.593895325    25195600.017919399   4001495.475345177     103703.206954190     103703.206954190    3892243.588331249    7692881.909676421     219945.364759389     219945.364759389    7285123.616418855    18537731.346191220    207719.229135936     207719.229135936    17910476.401500542   1719328.254054869     -5490.677830399      -5490.677830399     1749643.095996391     990419.199796467     -3302.787086992      -3302.787086992     1008053.348748305     728909.054258402     -2187.890743407      -2187.890743407      741589.747248086     497641.873275936     -3907.723489603      -3907.723489603      500700.794753955     493378.413456438       66.853356308         66.853356308       507415.925211550     235530.640801964     -2254.744099714      -2254.744099714      234173.822036536    73158928.971558362   1064869.995390900    1064869.995390900    71380299.757918417   20250824.491516046    419981.207722853     419981.207722853    19649619.759686913   52908104.480042309    644888.787668047     644888.787668047    51730679.998231500   6754681.175467262     133423.775206615     133423.775206615    6552538.888038276    13495542.265519805    287095.539151424     287095.539151424    13097017.495854948   39412562.214522496    357793.248516624     357793.248516624    38633662.502376556 
    2.700000000          5.016308000          5.016308000             30250          35402139.478458256    61108.983651544      61108.983651544     35238246.524241865   10933506.496819217    53709.278743647      53709.278743647     10884404.499004103   24468632.981639042     7399.704907897       7399.704907897     24353842.025237765   3738482.467585403      8221.448416279       8221.448416279     3770678.583504081    7165432.216296429     44645.267661542      44645.267661542     7105110.725034961    17303200.765342612    -37245.562753645     -37245.562753645    17248731.300202802   1723639.064869683     -25689.831520391     -25689.831520391    1715965.941885290     986140.110679879     -10034.055418585     -10034.055418585     989006.611222030     737498.954189804     -15655.776101806     -15655.776101806     726959.330663260     491079.827391711     -1355.060647331      -1355.060647331      485657.153062479     496038.017672792     -9687.606865062      -9687.606865062      503512.527434988     241460.936517013     -5968.169236744      -5968.169236744      223446.803228273    70653299.599582478    691389.577313959     691389.577313959    70202870.328971982   19481662.228679888    161164.619984641     161164.619984641    19343967.380521119   51171637.370902583    530224.957329318     530224.957329318    50858902.948450878   6397730.900681583     21739.416273394      21739.416273394     6441717.329922901    13082953.539789936    140433.807280093     140433.807280093    12902086.915218446   38088683.831112646    389791.150049225     389791.150049225    37956816.033232428 
