        tauB              sizeBin_x            sizeBin_y            clust_size         bulk_all_mean         bulk_all_std         bulk_A_mean           bulk_A_std          bulk_B_mean           bulk_B_std          int_all_mean         int_all_std           int_A_mean           int_A_std            int_B_mean           int_B_std          dense_all_mean       dense_all_std         dense_A_mean         dense_A_std          dense_B_mean         dense_B_std     
    0.000000000          5.016308000          5.016308000             30433             0.765616000          0.027241461          0.765571535          0.025615504          0.765636206          0.027950145          0.910857737          0.284739792          1.020527720          0.361405730          0.847822905          0.204249650          0.855956256          0.235944942          0.933219671          0.317408025          0.815215409          0.164599389     
    0.300000000          5.016308000          5.016308000             29989             0.770754695          0.028769851          0.770134449          0.026335305          0.771032572          0.029791979          0.919814348          0.293702185          1.039707780          0.373268127          0.848311365          0.202302560          0.861054957          0.240601644          0.945303559          0.327590942          0.816030860          0.160168886     
    0.600000000          5.016308000          5.016308000             31066             0.769702435          0.029420884          0.769579887          0.027516041          0.769757390          0.030236676          0.903579772          0.273151964          1.016710281          0.355082601          0.839312196          0.184311599          0.849596262          0.221783876          0.926210999          0.307187378          0.809932113          0.145560786     
    0.900000000          5.016308000          5.016308000             30802             0.767486870          0.027501542          0.766916692          0.025745563          0.767744005          0.028254062          0.903415382          0.268615812          1.015026093          0.348251253          0.838849604          0.179893076          0.851163685          0.221542016          0.929120839          0.305697739          0.810086250          0.144262180     
    1.200000000          5.016308000          5.016308000             30599             0.765116513          0.027192676          0.765198112          0.026444742          0.765079200          0.027527086          0.904969990          0.266016871          1.010965824          0.339778781          0.844295919          0.187280983          0.854066610          0.223170847          0.929865360          0.301559210          0.814041257          0.153131545     
    1.500000000          5.016308000          5.016308000             30095             0.765034318          0.025451668          0.764987051          0.025081784          0.765055180          0.025613228          0.921712697          0.288606346          1.039499283          0.362843573          0.850681543          0.201784909          0.863165200          0.241155356          0.949754477          0.324656129          0.816528499          0.162776873     
    1.800000000          5.016308000          5.016308000             31632             0.767172456          0.028652817          0.766619205          0.026458250          0.767417133          0.029568061          0.897361994          0.252306581          0.994779348          0.325026184          0.843966365          0.180538833          0.847990334          0.209329665          0.915836453          0.284801662          0.813649178          0.146400958     
    2.100000000          5.016308000          5.016308000             29422             0.763967812          0.026172247          0.763431430          0.024614902          0.764213026          0.026850298          0.906344473          0.273395747          1.020781159          0.350878656          0.842338443          0.190445364          0.853329659          0.227828711          0.932879031          0.310105413          0.811998188          0.154641017     
    2.400000000          5.016308000          5.016308000             29209             0.767109990          0.027597031          0.767204762          0.027220553          0.767067373          0.027764343          0.902589023          0.272328436          1.012068748          0.354331821          0.841050565          0.186422288          0.850143313          0.223837003          0.925795197          0.308639884          0.811082065          0.149355441     
    2.700000000          5.016308000          5.016308000             30250             0.768702805          0.026844054          0.768823266          0.027062736          0.768648744          0.026745005          0.910617590          0.274382770          1.019183636          0.347174078          0.848926961          0.197670504          0.857403278          0.228135884          0.934248447          0.306494355          0.817329288          0.159730613     
    3.000000000          5.016308000          5.016308000             29593             0.765956163          0.027555380          0.765490770          0.025987454          0.766157985          0.028205849          0.902297795          0.275288522          1.007734656          0.350855082          0.841475248          0.195900217          0.850667059          0.227479041          0.926562488          0.308466345          0.811248004          0.157026201     
    3.300000000          5.016308000          5.016308000             29821             0.769967020          0.026928319          0.769643962          0.024854202          0.770103037          0.027754223          0.897538364          0.258519828          0.995153189          0.333676577          0.840875208          0.179597080          0.845692992          0.209504768          0.914913356          0.289136142          0.810281694          0.140975058     
    3.600000000          5.016308000          5.016308000             30296             0.766942918          0.026613882          0.766747773          0.025980923          0.767023981          0.026871907          0.896859348          0.265359521          1.001342177          0.342947364          0.835633278          0.180590495          0.842228889          0.212641388          0.915581524          0.296020269          0.804862976          0.139551476     
    3.900000000          5.016308000          5.016308000             31412             0.767900229          0.026159456          0.767810524          0.024856806          0.767937243          0.026676431          0.908841252          0.277850598          1.010794282          0.349564552          0.846511245          0.198629037          0.850912333          0.224855959          0.926020026          0.305271089          0.811665237          0.154259577     
